Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI_65,0.2,0.00664206,0.00496008,0.0234695,0.0185094,0.07,-0.148141,0.0675918,0.0284014,61277,Y,1.54666025159772
ANGPT2.13660.76.3,ANM_65,0.1,0.003288,0.00261189,0.118293,0.115682,0.07,0.114802,0.0813125,0.15799,37112,N,0.801370400907981
ANGPT2.13660.76.3,GERAD_65,5e-05,0.000498926,0.000401149,0.0330514,0.0326503,0.07,-0.0424997,0.0363415,0.24222,45,N,0.615790000206042
APCS.2474.54.5,ADNI_65,5e-08,0.00591998,0.00441995,0.0229293,0.0185094,0.07,-0.147116,0.0733392,0.0448604,3,Y,1.34813685832732
APCS.2474.54.5,ANM_65,0.01,0.0104158,0.00829724,0.123979,0.115682,0.07,-0.206484,0.0826489,0.0124781,5772,Y,1.9038515382381
APCS.2474.54.5,GERAD_65,5e-05,0.000861297,0.000692549,0.0333428,0.0326503,0.07,-0.0557803,0.0363602,0.125004,49,N,0.903076089790877
APOB.2797.56.2,ADNI_65,0.01,0.0047688,0.0035593,0.0220687,0.0185094,0.07,-0.125894,0.0677503,0.0631391,5796,N,1.19970161293825
APOB.2797.56.2,ANM_65,0.001,0.00816639,0.00649958,0.122181,0.115682,0.07,0.180644,0.0812845,0.0262583,781,Y,1.58073339418401
APOB.2797.56.2,GERAD_65,5e-05,0.000798869,0.000642345,0.0332926,0.0326503,0.07,-0.0535779,0.0361958,0.138814,60,N,0.857566731171273
APOE.2937.10.2,ADNI_65,0.001,0.00230916,0.00172229,0.0202317,0.0185094,0.07,0.0874811,0.0676363,0.195871,773,N,0.70802985942273
APOE.2937.10.2,ANM_65,0.001,0.00235449,0.00186965,0.117551,0.115682,0.07,0.0958806,0.0802406,0.232121,775,N,0.634285567120318
APOE.2937.10.2,GERAD_65,5e-05,0.00133059,0.00106998,0.0337203,0.0326503,0.07,0.0694905,0.0364262,0.0564291,54,N,1.24849687633196
C3.2755.8.2,ADNI_65,0.01,0.000978672,0.00072967,0.0192391,0.0185094,0.07,0.0569032,0.0675389,0.399494,5836,N,0.398489738969412
C3.2755.8.2,ANM_65,5e-04,0.0149393,0.0119219,0.127603,0.115682,0.07,0.247694,0.0828717,0.0028,397,Y,2.55284196865778
C3.2755.8.2,GERAD_65,5e-05,0.00203066,0.00163315,0.0342834,0.0326503,0.07,0.0854708,0.036253,0.0183924,52,Y,1.73536159655045
C4A.C4B.4481.34.2,ADNI_65,0.05,0.00145709,0.00108651,0.0195959,0.0185094,0.07,0.0691101,0.067222,0.303908,21229,N,0.517257867507666
C4A.C4B.4481.34.2,ANM_65,5e-08,0.00169718,0.00134735,0.117029,0.115682,0.07,0.0826271,0.0816152,0.311347,39,N,0.506755314589193
C4A.C4B.4481.34.2,GERAD_65,0.001,0.000488916,0.0003931,0.0330434,0.0326503,0.07,0.0420329,0.0362741,0.246555,808,N,0.608086185789947
CCL26.9168.31.3,ADNI_65,0.05,0.00230308,0.00171775,0.0202271,0.0185094,0.07,-0.086862,0.0672255,0.196323,21486,N,0.707028818138409
CCL26.9168.31.3,ANM_65,1,0.00120674,0.000957818,0.116639,0.115682,0.07,-0.0686896,0.080292,0.392276,149834,N,0.406408261807778
CCL26.9168.31.3,GERAD_65,0.001,0.000178606,0.000143596,0.0327939,0.0326503,0.07,0.0252899,0.0361376,0.484037,809,N,0.315121439426542
CFH.4159.130.1,ADNI_65,5e-08,0.0020442,0.00152456,0.0200339,0.0185094,0.07,-0.0825981,0.0678715,0.223613,6,N,0.650502951840408
CFH.4159.130.1,ANM_65,5e-08,0.00225191,0.00178812,0.11747,0.115682,0.07,0.0941744,0.0806202,0.242757,7,N,0.614828238175706
CFH.4159.130.1,GERAD_65,0.01,0.00100824,0.000810727,0.033461,0.0326503,0.07,-0.0603323,0.036297,0.0964758,5964,N,1.01558161146976
CLU.4542.24.2,ADNI_65,5e-05,0.000863986,0.000644143,0.0191535,0.0185094,0.07,-0.0535237,0.0676106,0.428567,50,N,0.367981273027427
CLU.4542.24.2,ANM_65,0.05,0.00784632,0.00624406,0.121926,0.115682,0.07,-0.175083,0.0803009,0.0292328,21220,Y,1.53412958470037
CLU.4542.24.2,GERAD_65,5e-04,0.000651505,0.000523841,0.0331741,0.0326503,0.07,-0.0482762,0.0361297,0.181487,371,N,0.741154478233745
CRP.4337.49.2,ADNI_65,5e-08,0.00868602,0.0064902,0.0249996,0.0185094,0.07,-0.169759,0.0677364,0.0122045,4,Y,1.91348000827375
CRP.4337.49.2,ANM_65,5e-05,0.00643508,0.00511816,0.1208,0.115682,0.07,0.160338,0.0813394,0.0486979,55,Y,1.3124897664666
CRP.4337.49.2,GERAD_65,0.01,0.00133179,0.00107095,0.0337212,0.0326503,0.07,0.0691943,0.0362396,0.0562159,5785,N,1.25014083201756
CSF3.8952.65.3,ADNI_65,5e-05,0.000727971,0.000542716,0.0190521,0.0185094,0.07,0.0500191,0.0687796,0.467081,44,N,0.330607798657376
CSF3.8952.65.3,ANM_65,0.01,0.00823847,0.00655714,0.122239,0.115682,0.07,-0.189526,0.0849934,0.0257544,6010,Y,1.58914856341976
CSF3.8952.65.3,GERAD_65,0.5,0.000355443,0.000285778,0.032936,0.0326503,0.07,0.0362852,0.0367547,0.323532,108993,N,0.490082757542072
CXCL8.3447.64.2,ADNI_65,1,0.011811,0.008833,0.0273424,0.0185094,0.07,0.215521,0.073928,0.00355375,147246,Y,2.4493131273015
CXCL8.3447.64.2,ANM_65,5e-05,0.00279539,0.00222015,0.117902,0.115682,0.07,0.10546,0.0810926,0.193434,35,N,0.713467187364736
