Protein,Threshold,nSNP,Total_Sample_n,beta,z,p,ci_lower,ci_upper,se,i2,Q,Q-p,r,r2,Significant,P_MinusLog10
ANGPT2.13660.76.3,5e-05,45,6237,-0.0200107472709483,-0.673417096024837,0.500681975274517,-0.0782515376908952,0.0382300431489986,0.0297152350141854,0,1.16865476847433,0.557480706045336,-0.00852805741360931,7.27277632498168e-05,N,0.300438043072271
ANGPT2.13660.76.3,5e-04,401,6237,-0.022171777643816,-0.747955354746283,0.454487087015832,-0.0802713492016005,0.0359277939139684,0.0296431832503385,0,0.412452605152964,0.813648924598718,-0.00947191875134698,8.97172448321186e-05,N,0.342478451534284
ANGPT2.13660.76.3,0.001,774,6237,-0.0167344224569197,-0.558052564381108,0.576808490868125,-0.0755082144096823,0.0420393694958429,0.0299871795687894,1.2324844805976,1.50742213512838,0.470616817250158,-0.00706717805850371,4.99450057105963e-05,N,0.238968355240721
ANGPT2.13660.76.3,0.01,5747,6237,-0.00581710212834127,-0.19651757495296,0.844205078035378,-0.0638338503437071,0.0521996460870246,0.0296009256664891,0,0.329684970696826,0.848027270288339,-0.00248875314793459,6.19389223135432e-06,N,0.07355203981948
ANGPT2.13660.76.3,0.05,21097,6237,-0.00334960160578996,-0.112878200937754,0.910127118990592,-0.0615105082765665,0.0548113050649866,0.0296744772503691,0.000342738198400677,2.52045505647794,0.283589494540344,-0.00142952385280744,2.04353844574544e-06,N,0.0408979447991846
ANGPT2.13660.76.3,0.1,36717,6237,0.00194246742705184,0.034362769590443,0.972587871490083,-0.108850877915596,0.1127358127697,0.0565282557315193,62.373533155337,4.92701002201441,0.085136024699738,0.000435180964175001,1.89382471580283e-07,N,0.0120711505377091
ANGPT2.13660.76.3,0.2,61277,6237,-0.0267518771889848,-0.475493264410693,0.63443543299556,-0.13702203185507,0.0835182774771001,0.0562613168077994,62.2879924363432,5.08829175209793,0.0785401063262129,-0.00602168822984844,3.62607291374952e-05,N,0.197612569819198
ANGPT2.13660.76.3,0.5,109588,6237,-0.0202269026314031,-0.513553959699423,0.607563875675088,-0.0974222974435695,0.0569684921807634,0.039386129245779,29.8190698103551,3.24702367349475,0.197204930074686,-0.00650367256696105,4.22977568582417e-05,N,0.216408056174238
ANGPT2.13660.76.3,1,147287,6237,-0.0172297934678064,-0.418705987188258,0.675431019516022,-0.0978825084784958,0.0634229215428831,0.0411501005359628,34.4218168779003,3.46728085922142,0.17664019188108,-0.00530255078313114,2.81170448076847e-05,N,0.170418998045752
APCS.2474.54.5,5e-08,3,6237,-0.0615380695843324,-2.00415253496851,0.0450537232716891,-0.121719317248351,-0.00135682192031345,0.0307052824126978,0,1.67524125985469,0.432738945541782,-0.0253730514933036,0.000643791742081834,Y,1.3462693127974
APCS.2474.54.5,5e-05,49,6237,-0.0548461489574718,-1.84541092692258,0.0649777848316646,-0.113096848072289,0.00340455015734586,0.029720290563649,0,0.301338103254872,0.860132310949119,-0.0233644889402488,0.00054589934343901,N,1.18723509834319
