Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI_65,0.2,0.00681871,0.00509225,0.0236016,0.0185094,0.07,-0.150126,0.0676084,0.0263828,61293,Y,1.57867911477832
ANGPT2.13660.76.3,ANM_65,0.1,0.00328538,0.00260981,0.118291,0.115682,0.07,0.114749,0.0813065,0.15815,37119,N,0.800930803748258
ANGPT2.13660.76.3,GERAD_65,5e-05,0.000498926,0.000401149,0.0330514,0.0326503,0.07,-0.0424997,0.0363415,0.24222,45,N,0.615790000206042
APCS.2474.54.5,ADNI_65,5e-08,0.00591998,0.00441995,0.0229293,0.0185094,0.07,-0.147116,0.0733392,0.0448604,3,Y,1.34813685832732
APCS.2474.54.5,ANM_65,0.01,0.0103954,0.00828087,0.123962,0.115682,0.07,-0.206317,0.0826644,0.0125659,5773,Y,1.90080640074144
APCS.2474.54.5,GERAD_65,5e-05,0.000861297,0.000692549,0.0333428,0.0326503,0.07,-0.0557803,0.0363602,0.125004,49,N,0.903076089790877
APOB.2797.56.2,ADNI_65,5e-08,0.0960458,0.0735887,0.0920981,0.0185094,0.07,0.618693,0.0776489,1.61482e-15,2,Y,14.7918758803691
APOB.2797.56.2,ANM_65,5e-08,0.093056,0.0766202,0.192302,0.115682,0.07,0.700905,0.0996002,1.96159e-12,2,Y,11.7073917611482
APOB.2797.56.2,GERAD_65,5e-08,0.0644522,0.0524157,0.0850659,0.0326503,0.07,0.48932,0.0373764,3.67344e-39,2,Y,38.434927049295
APOE.2937.10.2,ADNI_65,5e-08,0.018018,0.0134988,0.0320082,0.0185094,0.07,0.242864,0.0677176,0.000335243,5,Y,3.47464028161391
APOE.2937.10.2,ANM_65,5e-08,0.0152362,0.0121602,0.127842,0.115682,0.07,0.259441,0.0871746,0.00291929,4,Y,2.53472276039263
APOE.2937.10.2,GERAD_65,5e-08,0.0194124,0.0156606,0.0483108,0.0326503,0.07,0.253927,0.0345346,1.94051e-13,4,Y,12.7120841148752
C3.2755.8.2,ADNI_65,0.01,0.000948316,0.000707031,0.0192164,0.0185094,0.07,0.0560085,0.0675313,0.406895,5837,N,0.390517646803759
C3.2755.8.2,ANM_65,5e-04,0.0149393,0.0119219,0.127603,0.115682,0.07,0.247694,0.0828717,0.0028,397,Y,2.55284196865778
C3.2755.8.2,GERAD_65,5e-05,0.00203066,0.00163315,0.0342834,0.0326503,0.07,0.0854708,0.036253,0.0183924,52,Y,1.73536159655045
C4A.C4B.4481.34.2,ADNI_65,0.05,0.00143251,0.00106817,0.0195776,0.0185094,0.07,0.0685165,0.0672133,0.308019,21236,N,0.5114224934325
C4A.C4B.4481.34.2,ANM_65,5e-08,0.00169718,0.00134735,0.117029,0.115682,0.07,0.0826271,0.0816152,0.311347,39,N,0.506755314589193
C4A.C4B.4481.34.2,GERAD_65,0.001,0.000488916,0.0003931,0.0330434,0.0326503,0.07,0.0420329,0.0362741,0.246555,808,N,0.608086185789947
CCL26.9168.31.3,ADNI_65,0.05,0.00230122,0.00171636,0.0202258,0.0185094,0.07,-0.086828,0.0672261,0.196502,21491,N,0.706633025010979
CCL26.9168.31.3,ANM_65,1,0.00128103,0.00101681,0.116698,0.115682,0.07,-0.0707747,0.0802966,0.378093,149885,N,0.422401363075219
CCL26.9168.31.3,GERAD_65,0.001,0.000178606,0.000143596,0.0327939,0.0326503,0.07,0.0252899,0.0361376,0.484037,809,N,0.315121439426542
CFH.4159.130.1,ADNI_65,5e-08,0.0020442,0.00152456,0.0200339,0.0185094,0.07,-0.0825981,0.0678715,0.223613,6,N,0.650502951840408
CFH.4159.130.1,ANM_65,5e-08,0.00225191,0.00178812,0.11747,0.115682,0.07,0.0941744,0.0806202,0.242757,7,N,0.614828238175706
CFH.4159.130.1,GERAD_65,0.01,0.00103977,0.000836081,0.0334864,0.0326503,0.07,-0.0612811,0.0363052,0.0914226,5968,N,1.03894643181505
CLU.4542.24.2,ADNI_65,5e-05,0.000863986,0.000644143,0.0191535,0.0185094,0.07,-0.0535237,0.0676106,0.428567,50,N,0.367981273027427
CLU.4542.24.2,ANM_65,0.05,0.00794368,0.00632177,0.122003,0.115682,0.07,-0.176168,0.0803055,0.0282551,21225,Y,1.54890315131525
CLU.4542.24.2,GERAD_65,5e-04,0.000651505,0.000523841,0.0331741,0.0326503,0.07,-0.0482762,0.0361297,0.181487,371,N,0.741154478233745
CRP.4337.49.2,ADNI_65,5e-08,0.0552232,0.0418147,0.0603241,0.0185094,0.07,-0.445768,0.0716753,4.99472e-10,5,Y,9.30148885295618
CRP.4337.49.2,ANM_65,5e-08,0.0179199,0.0143173,0.129999,0.115682,0.07,-0.271203,0.0827766,0.0010517,5,Y,2.97810812608089
CRP.4337.49.2,GERAD_65,5e-08,0.0137553,0.0110857,0.0437359,0.0326503,0.07,-0.224976,0.0367958,9.70526e-10,5,Y,9.01299282554581
CSF3.8952.65.3,ADNI_65,5e-05,0.000727971,0.000542716,0.0190521,0.0185094,0.07,0.0500191,0.0687796,0.467081,44,N,0.330607798657376
CSF3.8952.65.3,ANM_65,0.01,0.00820134,0.00652749,0.122209,0.115682,0.07,-0.189101,0.0849944,0.0260906,6011,Y,1.58351593340676
CSF3.8952.65.3,GERAD_65,0.5,0.000404241,0.000325015,0.0329753,0.0326503,0.07,0.0386973,0.0367567,0.292435,109032,N,0.533970650191578
CXCL8.3447.64.2,ADNI_65,1,0.0116702,0.00872735,0.0272367,0.0185094,0.07,0.214156,0.0738972,0.00375516,147298,Y,2.42537155382979
CXCL8.3447.64.2,ANM_65,5e-05,0.00279539,0.00222015,0.117902,0.115682,0.07,0.10546,0.0810926,0.193434,35,N,0.713467187364736
CXCL8.3447.64.2,GERAD_65,5e-05,0.00260515,0.00209539,0.0347457,0.0326503,0.07,-0.0968565,0.0362696,0.00757473,35,Y,2.12063284290486
FGA.FGB.FGG.4907.56.1,ADNI_65,5e-05,0.00972194,0.00726637,0.0257758,0.0185094,0.07,0.179847,0.0679324,0.00811049,52,Y,2.09095290684092
FGA.FGB.FGG.4907.56.1,ANM_65,5e-05,0.00494695,0.00393227,0.119614,0.115682,0.07,0.139971,0.0809017,0.0836063,52,N,1.07776099586065
FGA.FGB.FGG.4907.56.1,GERAD_65,0.001,0.000512266,0.000411876,0.0330621,0.0326503,0.07,0.0428484,0.036155,0.235965,764,N,0.627152409886332
GC.6581.50.3,ADNI_65,5e-04,0.00785096,0.00586486,0.0243742,0.0185094,0.07,0.164309,0.0690382,0.0173137,373,Y,1.76161011191249
GC.6581.50.3,ANM_65,0.05,0.0120809,0.00962993,0.125311,0.115682,0.07,0.230849,0.0856955,0.00706358,21024,Y,2.15097513178399
GC.6581.50.3,GERAD_65,5e-05,0.000984729,0.000791815,0.0334421,0.0326503,0.07,0.0596531,0.0363238,0.100537,53,N,0.997674078157918
HP.3054.3.2,ADNI_65,0.2,0.00103982,0.00077527,0.0192847,0.0185094,0.07,-0.0583381,0.0671507,0.384976,61437,N,0.414566344238133
HP.3054.3.2,ANM_65,5e-05,0.00572374,0.00455112,0.120233,0.115682,0.07,-0.152556,0.0820321,0.0629266,125,N,1.20116573307262
HP.3054.3.2,GERAD_65,5e-05,0.00114353,0.000919531,0.0335698,0.0326503,0.07,0.0639486,0.0361513,0.0769081,122,N,1.11402791767517
IGFBP2.2570.72.5,ADNI_65,5e-04,0.0086772,0.00648359,0.024993,0.0185094,0.07,0.170751,0.0682374,0.0123384,429,Y,1.90874115442136
IGFBP2.2570.72.5,ANM_65,5e-05,0.000860196,0.000682664,0.116364,0.115682,0.07,-0.0580597,0.0803413,0.469887,65,N,0.328006570100188
IGFBP2.2570.72.5,GERAD_65,1,0.00127748,0.00102727,0.0336775,0.0326503,0.07,-0.0682026,0.0364515,0.0613381,145664,N,1.21226968078743
IL10.2773.50.2,ADNI_65,0.1,0.00636431,0.00475229,0.0232617,0.0185094,0.07,0.160266,0.0747199,0.0319616,36877,Y,1.49537148800078
IL10.2773.50.2,ANM_65,0.05,0.00180621,0.00143397,0.117115,0.115682,0.07,0.0898043,0.0857844,0.295164,21262,N,0.52993661282039
IL10.2773.50.2,GERAD_65,1,0.000918597,0.00073863,0.0333889,0.0326503,0.07,-0.057677,0.0363577,0.112654,146040,N,0.948253383193712
IL13.3072.4.2,ADNI_65,1,0.00381145,0.00284399,0.0213534,0.0185094,0.07,0.13111,0.0788773,0.0964717,147209,N,1.01560006838033
IL13.3072.4.2,ANM_65,5e-05,0.003124,0.00248145,0.118163,0.115682,0.07,0.112766,0.0819496,0.16881,54,N,0.772601830126345
IL13.3072.4.2,GERAD_65,0.1,0.000576208,0.000463292,0.0331136,0.0326503,0.07,0.0460211,0.0366165,0.208811,36573,N,0.680246626773855
IL3.4717.55.2,ADNI_65,0.001,0.00326717,0.00243749,0.0209469,0.0185094,0.07,-0.105471,0.068591,0.124126,803,N,0.906137239662867
IL3.4717.55.2,ANM_65,0.001,0.00173509,0.00137747,0.117059,0.115682,0.07,-0.0848508,0.0826698,0.304711,808,N,0.516111867559173
IL3.4717.55.2,GERAD_65,0.05,0.000262992,0.000211444,0.0328617,0.0326503,0.07,0.0309227,0.036414,0.395771,20915,N,0.40255603176023
KITLG.9377.25.3,ADNI_65,5e-05,0.00212016,0.00158124,0.0200906,0.0185094,0.07,-0.0839245,0.067658,0.21482,51,N,0.667925287752314
KITLG.9377.25.3,ANM_65,0.2,0.00893967,0.0071172,0.122799,0.115682,0.07,-0.189732,0.0817232,0.0202523,61999,Y,1.69352564797591
KITLG.9377.25.3,GERAD_65,5e-08,0.00017101,0.000137488,0.0327878,0.0326503,0.07,0.0248058,0.0362762,0.494098,1,N,0.306186904035541
MMP9.2579.17.5,ADNI_65,0.001,0.00489565,0.0036541,0.0221635,0.0185094,0.07,-0.128218,0.0681462,0.0599024,789,N,1.2225557771787
MMP9.2579.17.5,ANM_65,5e-05,0.00260614,0.00206969,0.117751,0.115682,0.07,0.100059,0.0796053,0.208774,61,N,0.680323587851827
MMP9.2579.17.5,GERAD_65,5e-04,0.000396523,0.000318809,0.0329691,0.0326503,0.07,-0.0377607,0.0362156,0.297104,425,N,0.527091501120491
NPPB.3723.1.2,ADNI_65,0.5,0.00453665,0.0033858,0.0218952,0.0185094,0.07,0.133003,0.0733861,0.0699288,109535,N,1.15534392432447
NPPB.3723.1.2,ANM_65,1,0.00287852,0.00228624,0.117968,0.115682,0.07,0.107727,0.0815968,0.186758,149901,N,0.728720785595883
NPPB.3723.1.2,GERAD_65,0.001,0.00221628,0.00178249,0.0344328,0.0326503,0.07,0.0891871,0.0362144,0.0137876,781,Y,1.86051132464853
PLG.3710.49.2,ADNI_65,0.5,0.00347253,0.00259085,0.0211002,0.0185094,0.07,-0.107207,0.0675843,0.112679,109566,N,0.948157015931996
PLG.3710.49.2,ANM_65,0.001,0.00808894,0.00643775,0.122119,0.115682,0.07,0.17958,0.081248,0.0270864,807,Y,1.56724871235437
PLG.3710.49.2,GERAD_65,0.2,0.00048899,0.00039316,0.0330434,0.0326503,0.07,0.0420931,0.0363531,0.246906,60767,N,0.607468356259926
PPY.4588.1.2,ADNI_65,5e-08,0.00885101,0.00661379,0.0251232,0.0185094,0.07,-0.172562,0.0684041,0.0116463,1,Y,1.93381202698203
PPY.4588.1.2,ANM_65,0.1,0.000907136,0.00071993,0.116401,0.115682,0.07,0.0598469,0.0806468,0.458035,37146,N,0.339101334821243
PPY.4588.1.2,GERAD_65,0.001,0.00108419,0.000871805,0.0335221,0.0326503,0.07,0.0622957,0.0361343,0.0847068,775,N,1.07208172445162
RETN.3046.31.1,ADNI_65,5e-04,0.0042013,0.00313523,0.0216446,0.0185094,0.07,0.118321,0.0678342,0.0811117,414,N,1.09091649623339
RETN.3046.31.1,ANM_65,5e-04,0.00984314,0.00783927,0.123521,0.115682,0.07,-0.197733,0.0813028,0.0150132,414,Y,1.82352672986048
RETN.3046.31.1,GERAD_65,0.001,0.00033421,0.000268705,0.032919,0.0326503,0.07,-0.0346123,0.0361572,0.33843,770,N,0.470531146055674
SERPING1.4479.14.2,ADNI_65,1,0.00250723,0.00187012,0.0203795,0.0185094,0.07,-0.0922849,0.0684467,0.17757,147421,N,0.750630405308484
SERPING1.4479.14.2,ANM_65,5e-08,0.00561854,0.00446729,0.120149,0.115682,0.07,-0.149082,0.0809415,0.0654974,6,N,1.18377593952065
SERPING1.4479.14.2,GERAD_65,1,0.000517159,0.00041581,0.0330661,0.0326503,0.07,-0.0431648,0.036248,0.233724,146141,N,0.631296689694209
TF.4162.54.2,ADNI_65,5e-05,0.00129714,0.000967198,0.0194766,0.0185094,0.07,-0.0651731,0.0671777,0.331967,57,N,0.478905086266503
TF.4162.54.2,ANM_65,5e-05,0.000492446,0.000390756,0.116072,0.115682,0.07,-0.0437544,0.0800528,0.584674,58,N,0.233086218472604
TF.4162.54.2,GERAD_65,0.01,0.000170268,0.000136892,0.0327872,0.0326503,0.07,-0.0247088,0.0361638,0.49445,5763,N,0.305877618772527
TNC.4155.3.2,ADNI_65,5e-08,0.00347699,0.00259418,0.0211036,0.0185094,0.07,0.10886,0.0688107,0.113645,18,N,0.944449667023723
