Protein,Threshold,nSNP,Total_Sample_n,beta,z,p,ci_lower,ci_upper,se,i2,Q,Q-p,r,r2,Significant,P_MinusLog10
ANGPT2.13660.76.3,5e-05,45,6237,-0.0767005709910184,-1.52244817881407,0.12789682066423,-0.175443082445927,0.0220419404638904,0.0503797581148313,0,1.40241601402889,0.495985787444041,-0.0192771834831181,0.000371609803041802,N,0.893140251339507
ANGPT2.13660.76.3,5e-04,401,6237,-0.0752533943298844,-1.50229721663994,0.13302036716752,-0.173432330539892,0.0229255418801232,0.0500922144408931,0,0.358411334923248,0.835933957301111,-0.0190221256758035,0.000361841265226063,N,0.87608185774523
ANGPT2.13660.76.3,0.001,777,6237,-0.0160238441849085,-0.318123488777831,0.750391266972357,-0.114747008629504,0.0826993202596868,0.0503698870098181,0,1.14105708584566,0.565226613209239,-0.00402878399501451,1.62311004784851e-05,N,0.124712228903759
ANGPT2.13660.76.3,0.01,5755,6237,-0.0356793184518256,-0.713748473859248,0.475382726364351,-0.133655260565439,0.0622966236617877,0.0499886441212364,0,0.0864439768453874,0.957698768429114,-0.00903876764251928,8.16993204954536e-05,N,0.322956602963197
ANGPT2.13660.76.3,0.05,21105,6237,-0.0707902760766365,-1.41676784915065,0.156550812534031,-0.168721910852957,0.0271413586996839,0.0499660379215091,0,0.605095358166863,0.738933255758673,-0.0179395096892693,0.000321826007891386,N,0.805344673954889
ANGPT2.13660.76.3,0.1,36719,6237,-0.0583021011137024,-0.967228196569952,0.333429969490092,-0.176443837273898,0.0598396350464934,0.0602775036133739,23.5178676975421,2.64420779065471,0.266573868058453,-0.0122483655762576,0.000150022459289652,N,0.476995367317795
ANGPT2.13660.76.3,0.2,61287,6237,-0.0908321957827685,-1.0999319845503,0.271361757628937,-0.252685687518172,0.071021295952635,0.0825798295336462,56.3727436285582,4.58723671142256,0.100900705889919,-0.0139285359828297,0.000194004114624983,N,0.566451356458771
ANGPT2.13660.76.3,0.5,109474,6237,-0.0699348465504297,-0.993315408119012,0.320556271027266,-0.207927048607115,0.0680573555062555,0.0704054784399867,41.4837283526758,3.42524340457902,0.180392237386181,-0.0125786659258123,0.000158222836473192,N,0.494095722614603
ANGPT2.13660.76.3,1,147096,6237,-0.0627209567374278,-0.876664715543387,0.380668777131312,-0.202946534545765,0.0775046210709098,0.071544976802849,43.3442604858021,3.57694308930019,0.167215555955139,-0.011101675628297,0.000123247201755924,N,0.419452743032402
APCS.2474.54.5,5e-08,3,6237,-0.0888377943018922,-1.09907140972479,0.271736919365507,-0.247261419697885,0.0695858310941005,0.0808298655718259,50.3314708508333,4.00573935192201,0.134947471540721,-0.0139176405594039,0.000193700718740766,N,0.565851352426976
APCS.2474.54.5,5e-05,50,6237,-0.0885284843275289,-1.64074808214217,0.100849719460158,-0.194280636517362,0.0172236678623039,0.0539561711459967,8.37203667440664,2.44424695830427,0.294603916969153,-0.0207744693882635,0.000431578578363897,N,0.996325305553098
APCS.2474.54.5,5e-04,427,6237,0.0463926058776957,0.918758166357315,0.358222078148997,-0.0525755883640543,0.145360800119446,0.0504949045096739,0,0.29789726599307,0.861613372259343,0.0116346570753478,0.000135365245260941,N,0.445847650974998
APCS.2474.54.5,0.001,778,6237,0.0937623684628955,1.85716522937471,0.0632876502057011,-0.00518998234884324,0.192714719274634,0.0504868209784783,0,0.0495357957901258,0.975536309784562,0.0235132264972231,0.000552871820309715,N,1.19868102885764
APCS.2474.54.5,0.01,5766,6237,-0.0662315402939502,-0.385900777489312,0.699570154790006,-0.402617060067491,0.270153979479591,0.171628418903055,89.3123243717633,14.1288350934558,0.000854992768696737,-0.00488711139490209,2.38838577861819e-05,N,0.155168726761248
APCS.2474.54.5,0.05,21185,6237,-0.0619084351538113,-0.39353800522421,0.693922159537796,-0.370235208247997,0.246418337940374,0.157312468762808,87.0331098768453,13.042033323586,0.00147217164061714,-0.0049838281334731,2.4838542863998e-05,N,0.158689243636216
APCS.2474.54.5,0.1,36790,6237,-0.0709030419361989,-0.560350497436999,0.575240389814076,-0.318903907867271,0.177097823994874,0.126533379127,80.0287123142203,8.28670882592925,0.0158695291675593,-0.00709627762186113,5.03571560865271e-05,N,0.240150628088402
APCS.2474.54.5,0.2,61201,6237,-0.028666003229533,-0.272044474676331,0.785587822596894,-0.235192285292199,0.177860278833133,0.105372488316989,71.1885134507804,6.12313625700573,0.0468142269076127,-0.00344523700479905,1.18696580192367e-05,N,0.10480525717116
APCS.2474.54.5,0.5,109522,6237,-0.00907058283793208,-0.123644287047267,0.901596925516447,-0.152854142157076,0.134712976481212,0.0733603068491514,43.0012060908188,3.68643444192363,0.158307296394558,-0.00156586852054338,2.45194422362873e-06,N,0.0449875779219302
APCS.2474.54.5,1,146967,6237,-0.00151750561703166,-0.022731894819987,0.981864134017124,-0.132358175929485,0.129323164695422,0.0667566707064559,32.9240170978926,3.34739411374412,0.187552390449172,-0.000287883908951255,8.28771450330542e-08,N,0.00794860379037853
APOB.2797.56.2,5e-08,2,6237,0.438581853914687,8.4261323599096,3.57278025893881e-17,0.336565341328737,0.540598366500636,0.0520501975498747,0,0.728134357923851,0.694844514241788,0.106108775737034,0.0112590722884122,Y,16.4469936939193
APOB.2797.56.2,5e-05,65,6237,0.140267059209162,2.35449179127427,0.0185480533668692,0.0235036942714926,0.257030424146831,0.0595742400670032,20.5594930755103,2.72429081773431,0.256110724901084,0.0298047833064746,0.000888325107945908,Y,1.73170166321275
APOB.2797.56.2,5e-04,421,6237,0.0116722074789143,0.232077289798691,0.816477983488581,-0.0869031692785235,0.110247584236352,0.0502944837430625,0,0.397132757213549,0.819905344759592,0.00293908766062365,8.63823627683021e-06,N,0.0880555216172517
APOB.2797.56.2,0.001,790,6237,0.0507833284195335,1.00369963743073,0.315523411886262,-0.0483832857800501,0.149949942619117,0.050596141042283,0,0.756804709572473,0.684954850352582,0.0127101435593555,0.000161547749299426,N,0.500968410506109
APOB.2797.56.2,0.01,5811,6237,0.0166137254127201,0.156626535065933,0.875539188688862,-0.191284019654946,0.224511470480386,0.106072227197814,72.8072885232914,6.36322264129188,0.0415187012530629,0.00198356418069441,3.93452685893389e-06,N,0.0577244103453215
APOB.2797.56.2,0.05,21314,6237,0.00106342847875936,0.0152171788807371,0.987858916483902,-0.135905554723573,0.138032411681092,0.069883418411117,40.7547034507677,3.49617196757013,0.174106868105899,0.000192715172856131,3.71391378489685e-08,N,0.00530507582498532
APOB.2797.56.2,0.1,36754,6237,-0.0367874815673505,-0.586406433563203,0.557602421946113,-0.159743395464511,0.0861684323298098,0.0627337618788003,28.2452341203612,2.92255571313989,0.231939699610905,-0.00742623215350148,5.51489239976992e-05,N,0.253675348547873
APOB.2797.56.2,0.2,61010,6237,-0.0570984021809104,-1.13378559237857,0.256884495959227,-0.155803847550515,0.0416070431886942,0.0503608464993135,0,1.0972106979539,0.57775501538326,-0.0143571401662328,0.000206127473752856,N,0.59026210640918
APOB.2797.56.2,0.5,109482,6237,-0.060417903564268,-1.1091525953288,0.267364358739574,-0.167181315114755,0.0463455079862193,0.0544721292802437,10.1871508149805,2.46152889236472,0.292069221118632,-0.0140452744546887,0.000197269734507531,N,0.572896487255013
APOB.2797.56.2,1,147027,6237,-0.0605808054887862,-1.087568370243,0.276785700409101,-0.169756651496443,0.0485950405188702,0.0557029858042401,12.9934437484317,2.5494688342473,0.279505190157291,-0.0137720043050776,0.000189668102579075,N,0.557856350609202
APOE.2937.10.2,5e-08,4,6237,0.182167523778812,3.73902261925014,0.000184737106167882,0.086676850916576,0.277658196641048,0.0487206263051026,0,1.61777187160329,0.445353942835772,0.0472991694706022,0.00223721143260874,Y,3.73344586370744
APOE.2937.10.2,5e-05,62,6237,0.110720488492083,1.33074875394207,0.183271695096945,-0.0523517437022534,0.27379272068642,0.0832016473162924,57.3668065363955,4.61464809352162,0.0995272257357981,0.0168506311756501,0.000283943771017792,N,0.736904603299715
APOE.2937.10.2,5e-04,413,6237,0.0847644626709777,1.68114853078063,0.0927340678662498,-0.0140580333561056,0.183586958698061,0.0504205673199011,0,0.871490710510578,0.646782404707588,0.0212857740713422,0.000453084177816225,N,1.03276068906728
