Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI_Females,0.001,0.00581529,0.00423118,0.0176965,0.0134653,0.07,0.16,0.0997266,0.10863,776,N,0.964050220463326
ANGPT2.13660.76.3,ANM_Females,5e-04,0.00538695,0.00444376,0.160064,0.155621,0.07,-0.156485,0.108739,0.150126,403,N,0.823544086712864
ANGPT2.13660.76.3,GERAD_Females,0.1,0.00095508,0.00079176,0.0183672,0.0175755,0.07,0.0540438,0.0438999,0.218297,36598,N,0.660952232648159
APCS.2474.54.5,ADNI_Females,5e-08,0.00590983,0.00430009,0.0177654,0.0134653,0.07,-0.156933,0.107074,0.142743,3,N,0.8454451800062
APCS.2474.54.5,ANM_Females,0.05,0.0150603,0.0124709,0.168092,0.155621,0.07,-0.25847,0.110921,0.0197947,21312,Y,1.70345107584317
APCS.2474.54.5,GERAD_Females,0.1,0.00200501,0.00166236,0.0192379,0.0175755,0.07,-0.0782241,0.0440924,0.0760474,36561,N,1.11891562953939
APOB.2797.56.2,ADNI_Females,0.01,0.0131843,0.00961563,0.0230809,0.0134653,0.07,-0.23984,0.100424,0.0169279,5809,Y,1.77139691519172
APOB.2797.56.2,ANM_Females,0.01,0.0113256,0.0093645,0.164985,0.155621,0.07,0.221293,0.107233,0.0390499,5832,Y,1.40838007393787
APOB.2797.56.2,GERAD_Females,5e-05,0.0017516,0.00145222,0.0190277,0.0175755,0.07,-0.073309,0.0438789,0.0947789,60,N,1.02328833601119
APOE.2937.10.2,ADNI_Females,1,0.00890728,0.00648735,0.0199526,0.0134653,0.07,0.197777,0.0994981,0.04684,146934,Y,1.32938311359967
APOE.2937.10.2,ANM_Females,5e-05,0.00249773,0.00205807,0.157679,0.155621,0.07,-0.104816,0.106664,0.325767,54,N,0.487092911567643
APOE.2937.10.2,GERAD_Females,0.001,0.00326117,0.00270428,0.0202798,0.0175755,0.07,0.0994288,0.0440474,0.0239884,770,Y,1.61999871803234
C3.2755.8.2,ADNI_Females,0.01,0.0136957,0.00999028,0.0234556,0.0134653,0.07,0.245656,0.100982,0.0149885,5829,Y,1.82424182774671
C3.2755.8.2,ANM_Females,5e-04,0.0112401,0.00929346,0.164914,0.155621,0.07,0.222953,0.11071,0.0440261,398,Y,1.35628978429965
C3.2755.8.2,GERAD_Females,5e-05,0.000848792,0.000703638,0.0182791,0.0175755,0.07,0.0513365,0.0438591,0.241805,52,N,0.616534723119752
C4A.C4B.4481.34.2,ADNI_Females,0.05,0.00542315,0.00394535,0.0174106,0.0134653,0.07,0.153268,0.0986735,0.120356,21211,N,0.919532254354976
C4A.C4B.4481.34.2,ANM_Females,0.05,0.00246218,0.00202874,0.157649,0.155621,0.07,0.10222,0.106833,0.33866,21426,N,0.470236095959882
C4A.C4B.4481.34.2,GERAD_Females,0.01,0.000526399,0.000436361,0.0180118,0.0175755,0.07,0.0400494,0.0437865,0.360375,5879,N,0.443245344603736
CCL26.9168.31.3,ADNI_Females,0.001,0.00212484,0.00154419,0.0150095,0.0134653,0.07,-0.0964758,0.0990423,0.330014,807,N,0.481467635898543
CCL26.9168.31.3,ANM_Females,0.01,0.0056953,0.00469869,0.160319,0.155621,0.07,0.167351,0.109417,0.126145,5859,N,0.899129958903396
CCL26.9168.31.3,GERAD_Females,5e-05,0.000910209,0.000754558,0.01833,0.0175755,0.07,-0.0517958,0.0438524,0.237548,69,N,0.62424862170708
CFH.4159.130.1,ADNI_Females,0.2,0.00489123,0.00355778,0.0170231,0.0134653,0.07,0.149034,0.0997825,0.135282,61221,N,0.868759984782408
CFH.4159.130.1,ANM_Females,0.05,0.00303464,0.00250099,0.158122,0.155621,0.07,-0.119214,0.108071,0.269978,21754,N,0.568671624240567
CFH.4159.130.1,GERAD_Females,0.05,0.00139881,0.00115968,0.0187352,0.0175755,0.07,-0.0656134,0.0441746,0.137459,21526,N,0.861826819862879
CLU.4542.24.2,ADNI_Females,0.1,0.0139687,0.0101903,0.0236556,0.0134653,0.07,0.24793,0.100444,0.0135742,36540,Y,1.86728575627491
CLU.4542.24.2,ANM_Females,0.01,0.00853707,0.00705106,0.162672,0.155621,0.07,-0.192987,0.107939,0.0737865,5755,N,1.13202308955662
CLU.4542.24.2,GERAD_Females,5e-05,0.00106403,0.000882093,0.0184576,0.0175755,0.07,0.0569325,0.0439637,0.195324,50,N,0.709244390469525
CRP.4337.49.2,ADNI_Females,5e-08,0.0135893,0.00991235,0.0233776,0.0134653,0.07,-0.246052,0.100594,0.0144458,4,Y,1.84025840217804
CRP.4337.49.2,ANM_Females,0.5,0.00711627,0.00587429,0.161495,0.155621,0.07,-0.181076,0.109947,0.09957,110675,N,1.00187149287173
CRP.4337.49.2,GERAD_Females,0.01,0.000988183,0.000819206,0.0183947,0.0175755,0.07,0.0558953,0.043989,0.203847,5788,N,0.690695675641959
CSF3.8952.65.3,ADNI_Females,5e-05,0.00215126,0.0015634,0.0150287,0.0134653,0.07,0.0988158,0.0998739,0.322465,44,N,0.491517416320959
CSF3.8952.65.3,ANM_Females,1,0.00289445,0.00238532,0.158006,0.155621,0.07,0.126349,0.119154,0.288969,149530,N,0.539148744963388
