Protein,Threshold,nSNP,Total_Sample_n,beta,z,p,ci_lower,ci_upper,se,i2,Q,Q-p,r,r2,Significant,P_MinusLog10
ANGPT2.13660.76.3,5e-05,45,6237,-0.0246612993120376,-0.654501032982841,0.51278906185135,-0.0985118450373388,0.0491892464132636,0.0376795422302782,0,0.65311983934754,0.721401147632116,-0.00828852380206423,6.86996268173853e-05,N,0.290061247194904
ANGPT2.13660.76.3,5e-04,400,6237,-0.000467067246807658,-0.00654845440771978,0.994775126673377,-0.140261120179681,0.139326985686066,0.0713248070043896,56.4882898474174,4.4091484267089,0.110297478501137,-8.29317018686362e-05,6.87766717482835e-09,N,0.00227508235219051
ANGPT2.13660.76.3,0.001,776,6237,0.0238106094111353,0.538038617958238,0.590550387809451,-0.0629265416745474,0.110547760496818,0.0442544616992221,13.5098147101496,3.19027021137528,0.202881116258089,0.00681373341333162,4.64269630279517e-05,N,0.228743040956478
ANGPT2.13660.76.3,0.01,5747,6237,0.0240225917317083,0.640427888780154,0.521894456489195,-0.0494960907528091,0.0975412742162258,0.0375102211389717,0,0.473560142305093,0.789164829044874,0.00811031501720549,6.57772096783089e-05,N,0.282417316152662
ANGPT2.13660.76.3,0.05,21055,6237,0.0382196150294153,1.01780722729519,0.308769576715898,-0.0353788689975747,0.111818099056405,0.0375509369598245,0,0.78411869150888,0.675664014980069,0.0128887626454244,0.000166120202530089,N,0.510365497569825
ANGPT2.13660.76.3,0.1,36663,6237,0.0523375449746015,1.39253645912394,0.163760009129807,-0.0213263813932571,0.12600147134246,0.0375843265227883,0,0.556437054842425,0.757131349473585,0.0176327812959145,0.000310914976229552,N,0.785792146133139
ANGPT2.13660.76.3,0.2,61117,6237,0.0178486605720052,0.476081358263571,0.634016417290153,-0.055631914304953,0.0913292354489634,0.0374907781247837,0,0.65925516261906,0.719191523929277,0.00602913563120589,3.63504764594765e-05,N,0.197899496304058
ANGPT2.13660.76.3,0.5,109196,6237,0.011987423065126,0.319786830982967,0.749129931193165,-0.0614831366914237,0.0854579828216757,0.0374856682755786,0,0.703509077009891,0.703452771355044,0.00404984857234857,1.64012734589538e-05,N,0.125442850516307
ANGPT2.13660.76.3,1,146713,6237,0.0122022890761375,0.325573347803627,0.744747179784767,-0.061255957059542,0.085660535211817,0.0374793857005072,0,0.294793215141946,0.862951656376946,0.0041231290197078,1.70001929131566e-05,N,0.127991132700005
APCS.2474.54.5,5e-08,3,6237,-0.0471137773099725,-1.22092333776541,0.222115047305807,-0.12274613181324,0.0285185771932954,0.0385886450464632,0,1.27036466253952,0.529838873315329,-0.0154603121185947,0.000239021250804366,N,0.653422018936815
APCS.2474.54.5,5e-05,49,6237,-0.0275549654572506,-0.733540872103299,0.463228608844876,-0.101179683513658,0.0460697525991566,0.0375643219146625,0,0.552837316031831,0.75849531413621,-0.00928939327035483,8.62928273313136e-05,N,0.334204626569516
APCS.2474.54.5,5e-04,426,6237,-0.0578433040164578,-1.53891380123026,0.12382534140012,-0.131512662578598,0.0158260545456824,0.0375870981014114,0,1.30321140633325,0.52120819883487,-0.019485591858666,0.000379688290082512,N,0.90719046594608
APCS.2474.54.5,0.001,771,6237,-0.0373132946341908,-0.994662539289171,0.319900419680533,-0.110838445867703,0.0362118565993215,0.0375135215817583,0,0.902253873229688,0.636909989848459,-0.0125957223675524,0.000158652221960459,N,0.494985190160281
APCS.2474.54.5,0.01,5757,6237,-0.0831547081978604,-1.7208568403091,0.0852768050613462,-0.177863477338395,0.0115540609426738,0.048321688504271,20.9842165401909,2.79919553755444,0.246696172891077,-0.0217883028275763,0.000474730140106168,N,1.06916907907524
APCS.2474.54.5,0.05,21128,6237,-0.0838683853537125,-1.4339076423059,0.151598620693405,-0.198505486018342,0.0307687153109173,0.0584893914219203,38.7104052968399,3.47187604804155,0.176234810243246,-0.0181564674133688,0.000329657308932722,N,0.819304750075787
APCS.2474.54.5,0.1,36686,6237,-0.0804736058978241,-2.12602561074465,0.0335011271190455,-0.154661503009073,-0.00628570878657461,0.0378516634471011,0.0213686131388491,2.09845460091162,0.35020825034502,-0.0269149081341195,0.000724412279868092,Y,1.47494058122144
APCS.2474.54.5,0.2,61030,6237,-0.0584723189573098,-1.54467955837916,0.122423791725996,-0.132664819678378,0.0157201817637587,0.0378540122707813,0.0190087828146953,2.19738276425254,0.333306969889882,-0.0195585694957863,0.000382537640721501,N,0.912134173601938
APCS.2474.54.5,0.5,109146,6237,-0.0265078434080329,-0.411923563631925,0.680395448956989,-0.152634200272619,0.0996185134565526,0.0643513645451928,47.2919086354225,3.84332365491481,0.146363528983203,-0.005216659585795,2.72135372340669e-05,N,0.167238599967576
APCS.2474.54.5,1,146604,6237,-0.0298842585154529,-0.488352303526638,0.625300319901372,-0.149822405570343,0.0900538885394367,0.0611940566260127,42.8716522214039,3.55274665899617,0.169250852631463,-0.00618453007763987,3.82484122812323e-05,N,0.203911349135796
APOB.2797.56.2,5e-05,60,6237,-0.0613123223842533,-1.63131992112594,0.102822832055005,-0.134976563300715,0.0123519185322088,0.0375844870097186,0,0.395833687835421,0.820438074717327,-0.0206551450140382,0.000426635015550948,N,0.987910438507081
APOB.2797.56.2,5e-04,410,6237,-0.0180998483999359,-0.479969818524288,0.631248854180644,-0.0920108520096644,0.0558111552097925,0.0377103886564901,0.0498405143153017,2.3623286107193,0.306921180512664,-0.00607837761732906,3.69466744588469e-05,N,0.199799397187698
APOB.2797.56.2,0.001,777,6237,-0.00628286572245638,-0.0522953156364998,0.95829338579219,-0.241756930384588,0.229191198939675,0.120142036547366,84.0120871748392,9.39864680468809,0.0091014330271706,-0.000662284306989805,4.38620503284967e-07,N,0.0185015093722238
APOB.2797.56.2,0.01,5809,6237,0.0141455071200885,0.110954930130821,0.91165208652096,-0.235727882604368,0.264018896844545,0.127488765964796,86.0518578599034,10.7873466374574,0.00454524649396006,0.00140516701512373,1.97449434039172e-06,N,0.0401708697110466
APOB.2797.56.2,0.05,21226,6237,0.0127798626495895,0.223947157788923,0.82279842086004,-0.0990682660244641,0.124627991323643,0.0570664203813424,37.8162202026997,3.24511321467954,0.197393396022995,0.00283612637993329,8.04361284295353e-06,N,0.084706550487801
APOB.2797.56.2,0.1,36714,6237,0.0318411146551343,0.84785070936222,0.396521118132289,-0.0417655206434534,0.105447749953722,0.0375550958482847,0,1.15114672420568,0.562382327635378,0.0107368311878695,0.000115279543956808,N,0.401733677844267
