Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI_Females,0.001,0.00581529,0.00423118,0.0176965,0.0134653,0.07,0.16,0.0997266,0.10863,776,N,0.964050220463326
ANGPT2.13660.76.3,ANM_Females,5e-04,0.00538695,0.00444376,0.160064,0.155621,0.07,-0.156485,0.108739,0.150126,403,N,0.823544086712864
ANGPT2.13660.76.3,GERAD_Females,0.1,0.000942375,0.000781227,0.0183567,0.0175755,0.07,0.0536809,0.0439022,0.221429,36606,N,0.654765501274814
APCS.2474.54.5,ADNI_Females,5e-08,0.00590983,0.00430009,0.0177654,0.0134653,0.07,-0.156933,0.107074,0.142743,3,N,0.8454451800062
APCS.2474.54.5,ANM_Females,0.05,0.015442,0.0127889,0.16841,0.155621,0.07,-0.261763,0.110998,0.0183607,21318,Y,1.73611076538194
APCS.2474.54.5,GERAD_Females,0.1,0.00203312,0.00168567,0.0192612,0.0175755,0.07,-0.0787683,0.0440927,0.0740304,36570,N,1.13058990403772
APOB.2797.56.2,ADNI_Females,5e-08,0.106859,0.0803659,0.0938312,0.0134653,0.07,0.699661,0.117503,2.61002e-09,2,Y,8.58335616474741
APOB.2797.56.2,ANM_Females,5e-08,0.103075,0.0884285,0.244049,0.155621,0.07,0.677954,0.128082,1.20253e-07,2,Y,6.91990408029971
APOB.2797.56.2,GERAD_Females,5e-08,0.0775166,0.0648717,0.0824471,0.0175755,0.07,0.504872,0.0437836,9.19813e-31,2,Y,30.0363004567011
APOE.2937.10.2,ADNI_Females,5e-08,0.0265429,0.0194423,0.0329076,0.0134653,0.07,0.346629,0.103269,0.000789178,5,Y,3.10282503012509
APOE.2937.10.2,ANM_Females,5e-08,0.01763,0.0146136,0.170234,0.155621,0.07,0.278287,0.117355,0.0177247,4,Y,1.7514211067484
APOE.2937.10.2,GERAD_Females,5e-08,0.0287124,0.023884,0.0414595,0.0175755,0.07,0.310534,0.0404421,1.60969e-14,5,Y,13.7932577539386
C3.2755.8.2,ADNI_Females,0.01,0.0136472,0.00995477,0.02342,0.0134653,0.07,0.245274,0.100977,0.0151402,5830,Y,1.81986838782652
C3.2755.8.2,ANM_Females,5e-04,0.0112401,0.00929346,0.164914,0.155621,0.07,0.222953,0.11071,0.0440261,398,Y,1.35628978429965
C3.2755.8.2,GERAD_Females,5e-05,0.000848792,0.000703638,0.0182791,0.0175755,0.07,0.0513365,0.0438591,0.241805,52,N,0.616534723119752
C4A.C4B.4481.34.2,ADNI_Females,0.05,0.00549804,0.00399994,0.0174652,0.0134653,0.07,0.154305,0.0986921,0.117935,21217,N,0.928357288618921
C4A.C4B.4481.34.2,ANM_Females,0.05,0.00253597,0.0020896,0.15771,0.155621,0.07,0.103864,0.106863,0.331081,21432,N,0.480065741724289
C4A.C4B.4481.34.2,GERAD_Females,0.01,0.000503765,0.000417598,0.0179931,0.0175755,0.07,0.0391745,0.0437873,0.370972,5881,N,0.430658868563913
CCL26.9168.31.3,ADNI_Females,0.001,0.00212484,0.00154419,0.0150095,0.0134653,0.07,-0.0964758,0.0990423,0.330014,807,N,0.481467635898543
CCL26.9168.31.3,ANM_Females,0.01,0.00556048,0.00458721,0.160208,0.155621,0.07,0.165384,0.109334,0.130368,5861,N,0.884828997015949
CCL26.9168.31.3,GERAD_Females,5e-05,0.000910209,0.000754558,0.01833,0.0175755,0.07,-0.0517958,0.0438524,0.237548,69,N,0.62424862170708
CFH.4159.130.1,ADNI_Females,0.2,0.00492516,0.00358249,0.0170478,0.0134653,0.07,0.149502,0.0997783,0.134044,61247,N,0.872752620884455
CFH.4159.130.1,ANM_Females,0.05,0.0030737,0.00253322,0.158154,0.155621,0.07,-0.120082,0.108043,0.266387,21762,N,0.574486973067893
CFH.4159.130.1,GERAD_Females,0.05,0.00138819,0.00115087,0.0187264,0.0175755,0.07,-0.0653502,0.0441746,0.139044,21534,N,0.856847746987613
CLU.4542.24.2,ADNI_Females,0.1,0.0140534,0.0102524,0.0237177,0.0134653,0.07,0.248705,0.100454,0.0132935,36550,Y,1.87636066009811
CLU.4542.24.2,ANM_Females,0.01,0.00868631,0.00717475,0.162795,0.155621,0.07,-0.194644,0.107955,0.0713873,5757,N,1.14637904355304
CLU.4542.24.2,GERAD_Females,5e-05,0.00106403,0.000882093,0.0184576,0.0175755,0.07,0.0569325,0.0439637,0.195324,50,N,0.709244390469525
CRP.4337.49.2,ADNI_Females,5e-08,0.065995,0.048967,0.0624323,0.0134653,0.07,-0.547553,0.10817,4.14948e-07,5,Y,6.38200632431932
CRP.4337.49.2,ANM_Females,5e-08,0.0241907,0.020104,0.175725,0.155621,0.07,-0.334247,0.110231,0.00242744,5,Y,2.61485149591674
CRP.4337.49.2,GERAD_Females,5e-08,0.0167054,0.0138756,0.0314511,0.0175755,0.07,-0.227352,0.0442973,2.86074e-07,5,Y,6.5435216115049
CSF3.8952.65.3,ADNI_Females,5e-05,0.00215126,0.0015634,0.0150287,0.0134653,0.07,0.0988158,0.0998739,0.322465,44,N,0.491517416320959
CSF3.8952.65.3,ANM_Females,1,0.00301873,0.00248787,0.158109,0.155621,0.07,0.12898,0.119124,0.278926,149577,N,0.554511001222516
