Protein,Threshold,nSNP,Total_Sample_n,beta,z,p,ci_lower,ci_upper,se,i2,Q,Q-p,r,r2,Significant,P_MinusLog10
ANGPT2.13660.76.3,5e-05,45,6237,-0.0246612993120376,-0.654501032982841,0.51278906185135,-0.0985118450373388,0.0491892464132636,0.0376795422302782,0,0.65311983934754,0.721401147632116,-0.00828852380206423,6.86996268173853e-05,N,0.290061247194904
ANGPT2.13660.76.3,5e-04,400,6237,-0.000467067246807658,-0.00654845440771978,0.994775126673377,-0.140261120179681,0.139326985686066,0.0713248070043896,56.4882898474174,4.4091484267089,0.110297478501137,-8.29317018686362e-05,6.87766717482835e-09,N,0.00227508235219051
ANGPT2.13660.76.3,0.001,776,6237,0.0238106094111353,0.538038617958238,0.590550387809451,-0.0629265416745474,0.110547760496818,0.0442544616992221,13.5098147101496,3.19027021137528,0.202881116258089,0.00681373341333162,4.64269630279517e-05,N,0.228743040956478
ANGPT2.13660.76.3,0.01,5747,6237,0.0240225917317083,0.640427888780154,0.521894456489195,-0.0494960907528091,0.0975412742162258,0.0375102211389717,0,0.473560142305093,0.789164829044874,0.00811031501720549,6.57772096783089e-05,N,0.282417316152662
ANGPT2.13660.76.3,0.05,21058,6237,0.0383425891291627,1.02107817669519,0.307217401623451,-0.0352561768442769,0.111941355102602,0.0375510808126972,0,0.786270762372263,0.674937367579318,0.0129301766304539,0.000167189467694735,N,0.51255418833128
ANGPT2.13660.76.3,0.1,36670,6237,0.0520682304282712,1.38532952123682,0.165951730809401,-0.0215978936337008,0.125734354490243,0.0375854478158992,0,0.56486835360026,0.753946267481903,0.0175415526934026,0.000307706070895419,N,0.780018213716045
ANGPT2.13660.76.3,0.2,61131,6237,0.0156319468876005,0.416927138839459,0.676731702317147,-0.0578534419341077,0.0891173357093087,0.0374932342641761,0,0.680450303003446,0.711610084645161,0.00528002382992505,2.78786516445764e-05,N,0.169583477988375
ANGPT2.13660.76.3,0.5,109227,6237,0.00960094213555467,0.256109376534793,0.797866381962349,-0.0638735282565274,0.0830754125276367,0.0374876635344523,0,0.719052110938579,0.69800706431958,0.00324343325800997,1.05198592991652e-05,N,0.0980698335054689
ANGPT2.13660.76.3,1,146759,6237,0.00960274621246483,0.256205886881244,0.797791863232545,-0.0638578481486373,0.0830633405735669,0.0374805837967176,0,0.309864324184681,0.85647327686799,0.00324465547633255,1.05277891600948e-05,N,0.0981103974210487
APCS.2474.54.5,5e-08,3,6237,-0.0471137773099725,-1.22092333776541,0.222115047305807,-0.12274613181324,0.0285185771932954,0.0385886450464632,0,1.27036466253952,0.529838873315329,-0.0154603121185947,0.000239021250804366,N,0.653422018936815
APCS.2474.54.5,5e-05,49,6237,-0.0275549654572506,-0.733540872103299,0.463228608844876,-0.101179683513658,0.0460697525991566,0.0375643219146625,0,0.552837316031831,0.75849531413621,-0.00928939327035483,8.62928273313136e-05,N,0.334204626569516
APCS.2474.54.5,5e-04,426,6237,-0.0578433040164578,-1.53891380123026,0.12382534140012,-0.131512662578598,0.0158260545456824,0.0375870981014114,0,1.30321140633325,0.52120819883487,-0.019485591858666,0.000379688290082512,N,0.90719046594608
APCS.2474.54.5,0.001,771,6237,-0.0373132946341908,-0.994662539289171,0.319900419680533,-0.110838445867703,0.0362118565993215,0.0375135215817583,0,0.902253873229688,0.636909989848459,-0.0125957223675524,0.000158652221960459,N,0.494985190160281
APCS.2474.54.5,0.01,5758,6237,-0.0834977247462516,-1.74376123088316,0.081200733362943,-0.177348035439767,0.0103525859472642,0.0478836914523915,20.127559161101,2.76671200572551,0.250735669865785,-0.022078161998072,0.00048744523721311,N,1.09044004841842
APCS.2474.54.5,0.05,21135,6237,-0.085300247132518,-1.42216243341357,0.154979101635442,-0.202857432109491,0.032256937844455,0.0599792577334324,41.031693390425,3.57804088191982,0.167123797138874,-0.0180077953110539,0.000324280691964813,N,0.809726860902717
APCS.2474.54.5,0.1,36695,6237,-0.0812189301796081,-2.14602278302686,0.0318711610501189,-0.155396231219432,-0.0070416291397838,0.0378462571888695,0.0064491559570319,2.19062580643153,0.334434944805206,-0.0271678809315238,0.000738093754309453,Y,1.49660211511192
APCS.2474.54.5,0.2,61049,6237,-0.0590381866680333,-1.55838781374671,0.119141343648068,-0.13328974238554,0.0152133690494737,0.0378841429246628,0.0775634782378602,2.25803120523986,0.323351406080704,-0.0197320746939126,0.000389354771726146,N,0.923937506338473
APCS.2474.54.5,0.5,109178,6237,-0.0271725048646315,-0.419055224916493,0.675175772690011,-0.154261078727491,0.0999160689982284,0.0648423006061939,47.9686476259364,3.89049499600827,0.142951838664699,-0.00530697345372168,2.81639672385067e-05,N,0.170583149877386
APCS.2474.54.5,1,146655,6237,-0.0311098873634572,-0.506755415075655,0.612326443032096,-0.151432743284732,0.0892129685578177,0.0613903402666408,43.1751449348457,3.57977132593786,0.16697926048852,-0.00641757903368159,4.11853206535496e-05,N,0.213016985354479
APOB.2797.56.2,5e-08,2,6237,0.589929559476556,8.11939450367518,4.68515240838378e-16,0.447524766918901,0.732334352034211,0.0726568414934794,47.07887858945,3.64593245033642,0.161545858160435,0.102287250097747,0.010462681532559,Y,15.3292762769121
APOB.2797.56.2,5e-05,66,6237,0.140077101952871,3.70973098129365,0.000207479592216548,0.066070098137561,0.214084105768181,0.0377593692532453,0,1.26326164744313,0.53172394551591,0.0469294453616554,0.0022023728419526,Y,3.6830246142464
APOB.2797.56.2,5e-04,420,6237,0.0888264316714576,2.35335288846764,0.0186049681052053,0.0148483182298199,0.162804545113095,0.0377446289958222,0.0428375750638384,1.55532660069804,0.459478420933488,0.0297903790858417,0.000887466686078156,Y,1.73037107015979
APOB.2797.56.2,0.001,788,6237,0.0889266225687887,0.818663037768187,0.412978690573649,-0.123972909303036,0.301826154440613,0.108624206133964,80.5163658275165,7.89994425358775,0.0192552384731381,0.0103672510053446,0.000107479893407818,N,0.384072357072503
APOB.2797.56.2,0.01,5824,6237,0.0535375301748851,0.426594776026107,0.669674503334766,-0.192437425124566,0.299512485474337,0.12549973226022,85.6227966855173,10.5055232327457,0.00523304675821104,0.00540245261187673,2.91864942235737e-05,N,0.174136235738763
APOB.2797.56.2,0.05,21244,6237,0.0374186332503474,0.668277998671373,0.503956154692005,-0.0723248771857318,0.147162143686427,0.0559926158346388,36.0319475630082,3.16406800798359,0.20555656982142,0.00846298130174703,7.16220525137198e-05,N,0.297607246498193
