Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI_Males,0.001,0.0188477,0.0146991,0.0295378,0.0148386,0.07,-0.26117,0.0951184,0.00603745,773,Y,2.219146452897
ANGPT2.13660.76.3,ANM_Males,1,0.0169651,0.0130531,0.0874884,0.0744353,0.07,0.250101,0.123148,0.0422646,149127,Y,1.37402323691227
ANGPT2.13660.76.3,GERAD_Males,0.1,0.000666154,0.000551037,0.0469988,0.0464478,0.07,-0.0501353,0.056521,0.375067,36625,N,0.425891145255748
APCS.2474.54.5,ADNI_Males,5e-08,0.00664948,0.00517222,0.0200109,0.0148386,0.07,-0.161337,0.102513,0.115529,3,N,0.937308985822858
APCS.2474.54.5,ANM_Males,0.01,0.0131595,0.0101097,0.084545,0.0744353,0.07,-0.223922,0.125231,0.0737645,5774,N,1.13215259703095
APCS.2474.54.5,GERAD_Males,5e-05,0.00465138,0.00384974,0.0502975,0.0464478,0.07,-0.13359,0.0572957,0.0197229,50,Y,1.70502922725486
APOB.2797.56.2,ADNI_Males,1,0.0065645,0.00510603,0.0199447,0.0148386,0.07,-0.149953,0.0920205,0.103194,147028,N,0.986345553122019
APOB.2797.56.2,ANM_Males,0.05,0.0199642,0.0153789,0.0898142,0.0744353,0.07,0.275721,0.125819,0.0284225,21379,Y,1.54633772484439
APOB.2797.56.2,GERAD_Males,1,0.000754504,0.000624127,0.0470719,0.0464478,0.07,-0.0535464,0.0567123,0.34508,145762,N,0.462080210634157
APOE.2937.10.2,ADNI_Males,5e-04,0.00172308,0.00133886,0.0161775,0.0148386,0.07,0.0768926,0.0921533,0.404056,404,N,0.393558439826118
APOE.2937.10.2,ANM_Males,5e-04,0.00574493,0.00440061,0.0788359,0.0744353,0.07,0.146889,0.124142,0.236717,405,N,0.625770551783304
APOE.2937.10.2,GERAD_Males,5e-05,0.00156451,0.00129431,0.0477421,0.0464478,0.07,0.0768914,0.0566418,0.174622,54,N,0.757901041978047
C3.2755.8.2,ADNI_Males,0.1,0.0110821,0.00862833,0.023467,0.0148386,0.07,-0.195597,0.0925158,0.0344976,36773,Y,1.46221111776766
C3.2755.8.2,ANM_Males,5e-04,0.00961297,0.00737479,0.0818101,0.0744353,0.07,0.18996,0.124279,0.126389,399,N,0.898290722312996
C3.2755.8.2,GERAD_Males,0.1,0.0038609,0.00319514,0.0496429,0.0464478,0.07,-0.121601,0.0569925,0.0328732,36656,Y,1.48315801801456
C4A.C4B.4481.34.2,ADNI_Males,1,0.00420179,0.00326659,0.0181052,0.0148386,0.07,0.119831,0.0919198,0.192354,147191,N,0.71589877811274
C4A.C4B.4481.34.2,ANM_Males,5e-08,0.014625,0.0112422,0.0856775,0.0744353,0.07,0.242072,0.129963,0.0625146,37,N,1.20401854331261
C4A.C4B.4481.34.2,GERAD_Males,5e-08,0.0010544,0.000872241,0.04732,0.0464478,0.07,0.0627169,0.0559848,0.262608,35,N,0.580692047846944
CCL26.9168.31.3,ADNI_Males,0.05,0.00970785,0.00755612,0.0223948,0.0148386,0.07,-0.183638,0.0929394,0.0481672,21478,Y,1.31724859885669
CCL26.9168.31.3,ANM_Males,5e-08,0.00580554,0.00444715,0.0788825,0.0744353,0.07,0.14595,0.122406,0.233128,1,N,0.632405562107022
CCL26.9168.31.3,GERAD_Males,5e-08,0.00127996,0.00105886,0.0475066,0.0464478,0.07,0.0695999,0.0565526,0.218431,1,N,0.660685725978556
CFH.4159.130.1,ADNI_Males,5e-08,0.0143722,0.0111979,0.0260366,0.0148386,0.07,-0.226297,0.0943117,0.0164195,6,Y,1.78464007197584
CFH.4159.130.1,ANM_Males,0.01,0.00993551,0.00762321,0.0820585,0.0744353,0.07,-0.191452,0.122855,0.119148,6008,N,0.923913243256709
CFH.4159.130.1,GERAD_Males,0.01,0.00159495,0.0013195,0.0477673,0.0464478,0.07,-0.077513,0.056505,0.170129,5982,N,0.769221650723183
CLU.4542.24.2,ADNI_Males,1,0.0137668,0.0107248,0.0255635,0.0148386,0.07,-0.220877,0.0938953,0.0186539,147240,Y,1.72923035573681
CLU.4542.24.2,ANM_Males,5e-05,0.0134349,0.0103224,0.0847577,0.0744353,0.07,0.227029,0.125824,0.0711781,50,N,1.14765360906228
CLU.4542.24.2,GERAD_Males,0.01,0.00267793,0.00221579,0.0486636,0.0464478,0.07,-0.10091,0.0568224,0.0757527,5699,N,1.12060188329821
CRP.4337.49.2,ADNI_Males,5e-05,0.00905473,0.00704678,0.0218854,0.0148386,0.07,-0.178273,0.0931862,0.0557367,55,N,1.25385874811314
CRP.4337.49.2,ANM_Males,5e-05,0.0103484,0.00794133,0.0823766,0.0744353,0.07,0.198995,0.125468,0.112735,55,N,0.947941230830033
CRP.4337.49.2,GERAD_Males,0.001,0.00049746,0.000411485,0.0468593,0.0464478,0.07,-0.0430392,0.0561417,0.443309,819,N,0.353293451622704
CSF3.8952.65.3,ADNI_Males,0.01,0.00262389,0.00203919,0.0168778,0.0148386,0.07,0.111807,0.10849,0.302739,5976,N,0.518931627957297
CSF3.8952.65.3,ANM_Males,5e-04,0.0339722,0.026316,0.100751,0.0744353,0.07,-0.362518,0.126808,0.00425257,439,Y,2.37134852889387
CSF3.8952.65.3,GERAD_Males,5e-05,0.00240524,0.00199008,0.0484379,0.0464478,0.07,0.0959627,0.0569359,0.0919019,44,N,1.03667550982188
CXCL8.3447.64.2,ADNI_Males,1,0.0221195,0.017263,0.0321016,0.0148386,0.07,0.308479,0.103801,0.0029604,147113,Y,2.52864960446264
CXCL8.3447.64.2,ANM_Males,0.01,0.00942669,0.00723134,0.0816667,0.0744353,0.07,0.19427,0.128147,0.129521,5647,N,0.887659811160139
CXCL8.3447.64.2,GERAD_Males,0.5,0.0010771,0.000891019,0.0473388,0.0464478,0.07,0.0644772,0.0571893,0.259559,108432,N,0.58576390771146
FGA.FGB.FGG.4907.56.1,ADNI_Males,5e-05,0.0156677,0.0122107,0.0270493,0.0148386,0.07,0.234083,0.0934059,0.0122078,52,Y,1.91336259436363
FGA.FGB.FGG.4907.56.1,ANM_Males,0.001,0.00832893,0.00638647,0.0808218,0.0744353,0.07,0.176578,0.123924,0.154189,761,N,0.811946608189753
FGA.FGB.FGG.4907.56.1,GERAD_Males,5e-05,0.000698835,0.000578072,0.0470259,0.0464478,0.07,-0.0512208,0.0563457,0.363326,52,N,0.439703522444199
GC.6581.50.3,ADNI_Males,5e-04,0.0113037,0.00880132,0.02364,0.0148386,0.07,0.199645,0.0937102,0.0331339,373,Y,1.47972744281424
GC.6581.50.3,ANM_Males,0.05,0.026316,0.0203232,0.0947585,0.0744353,0.07,0.335196,0.133167,0.0118324,21008,Y,1.92692715722817
GC.6581.50.3,GERAD_Males,0.001,0.00418279,0.00346168,0.0499095,0.0464478,0.07,0.126199,0.0568616,0.0264596,771,Y,1.57741672549643
HP.3054.3.2,ADNI_Males,0.2,0.00366158,0.00284629,0.0176849,0.0148386,0.07,-0.112029,0.09203,0.223488,61335,N,0.650745790982581
HP.3054.3.2,ANM_Males,0.5,0.00983103,0.00754273,0.081978,0.0744353,0.07,0.189204,0.122204,0.12156,110871,N,0.915209308592095
HP.3054.3.2,GERAD_Males,0.01,0.00226182,0.00187137,0.0483192,0.0464478,0.07,0.0922567,0.0565082,0.102548,6084,N,0.989072805285218
IGFBP2.2570.72.5,ADNI_Males,5e-04,0.01489,0.0116027,0.0264413,0.0148386,0.07,0.227721,0.093243,0.0145965,431,Y,1.83575126838757
IGFBP2.2570.72.5,ANM_Males,0.001,0.011302,0.00867633,0.0831116,0.0744353,0.07,0.206832,0.124675,0.0971227,783,N,1.01267925276385
IGFBP2.2570.72.5,GERAD_Males,5e-04,0.00389308,0.00322179,0.0496696,0.0464478,0.07,0.121617,0.0567269,0.0320411,428,Y,1.49429258260872
IL10.2773.50.2,ADNI_Males,0.001,0.0093762,0.00729746,0.0221361,0.0148386,0.07,0.183178,0.0943527,0.0522072,787,N,1.28226959844142
IL10.2773.50.2,ANM_Males,5e-04,0.00661305,0.00506732,0.0795026,0.0744353,0.07,0.155691,0.1222,0.20264,416,N,0.693274823217508
IL10.2773.50.2,GERAD_Males,0.2,0.00205563,0.00170073,0.0481485,0.0464478,0.07,0.0886992,0.0569794,0.119545,60805,N,0.922468583645405
IL13.3072.4.2,ADNI_Males,1,0.00903186,0.00702894,0.0218676,0.0148386,0.07,0.210067,0.110126,0.0564546,147061,N,1.24830066537365
IL13.3072.4.2,ANM_Males,0.001,0.00994081,0.00762729,0.0820626,0.0744353,0.07,-0.198072,0.127081,0.119086,785,N,0.924139292086732
IL13.3072.4.2,GERAD_Males,5e-05,0.00146922,0.00121546,0.0476632,0.0464478,0.07,0.0741155,0.0563224,0.188203,54,N,0.725373458097595
IL3.4717.55.2,ADNI_Males,0.2,0.00611763,0.00475798,0.0195966,0.0148386,0.07,0.172109,0.109591,0.116307,61210,N,0.934394146235545
IL3.4717.55.2,ANM_Males,0.01,0.00310653,0.00237712,0.0768124,0.0744353,0.07,-0.111723,0.128098,0.383118,5796,N,0.416667443117336
IL3.4717.55.2,GERAD_Males,0.05,0.000886978,0.000733723,0.0471815,0.0464478,0.07,0.0584705,0.0571382,0.306157,20925,N,0.514055806368314
KITLG.9377.25.3,ADNI_Males,0.001,0.00780289,0.0060709,0.0209096,0.0148386,0.07,-0.165575,0.093344,0.0760933,763,N,1.11865358108918
KITLG.9377.25.3,ANM_Males,0.05,0.0097992,0.00751822,0.0819535,0.0744353,0.07,-0.187016,0.120876,0.121822,21304,N,0.914274274791634
KITLG.9377.25.3,GERAD_Males,5e-05,0.00183365,0.00151703,0.0479648,0.0464478,0.07,-0.0828653,0.0563007,0.141066,51,N,0.850577648128772
MMP9.2579.17.5,ADNI_Males,0.05,0.0180003,0.0140357,0.0288743,0.0148386,0.07,0.257594,0.0960309,0.0073094,21227,Y,2.13611827111105
MMP9.2579.17.5,ANM_Males,5e-05,0.0119386,0.00916736,0.0836027,0.0744353,0.07,0.208897,0.122559,0.0882937,60,N,1.05407028343088
MMP9.2579.17.5,GERAD_Males,5e-05,0.00139379,0.00115305,0.0476008,0.0464478,0.07,-0.0729142,0.0568201,0.199406,61,N,0.700261778182397
NPPB.3723.1.2,ADNI_Males,0.5,0.0124049,0.00966101,0.0244997,0.0148386,0.07,0.227378,0.10169,0.0253516,109268,Y,1.59599462610409
NPPB.3723.1.2,ANM_Males,0.5,0.00988865,0.00758711,0.0820224,0.0744353,0.07,0.193502,0.1247,0.120725,110509,N,0.918202785927616
NPPB.3723.1.2,GERAD_Males,0.05,0.00171623,0.00141986,0.0478676,0.0464478,0.07,0.0806874,0.0566685,0.15449,20693,N,0.811099626824088
PLG.3710.49.2,ADNI_Males,5e-08,0.00238715,0.00185511,0.0166938,0.0148386,0.07,0.0921095,0.0933859,0.32397,7,N,0.489495204107218
PLG.3710.49.2,ANM_Males,5e-05,0.00985166,0.00755862,0.0819939,0.0744353,0.07,0.198805,0.128478,0.12177,55,N,0.914459693963052
PLG.3710.49.2,GERAD_Males,5e-04,0.00121706,0.00100682,0.0474546,0.0464478,0.07,-0.0677819,0.0565567,0.230731,437,N,0.636894051666704
PPY.4588.1.2,ADNI_Males,0.01,0.0127582,0.00993692,0.0247756,0.0148386,0.07,-0.211733,0.093582,0.0236643,5725,Y,1.62590633762039
PPY.4588.1.2,ANM_Males,5e-08,0.0233113,0.0179812,0.0924165,0.0744353,0.07,-0.290284,0.122029,0.0173685,1,Y,1.7602376870136
PPY.4588.1.2,GERAD_Males,5e-04,0.00211926,0.00175339,0.0482012,0.0464478,0.07,0.0889647,0.0562468,0.113722,403,N,0.944155511087417
RETN.3046.31.1,ADNI_Males,0.001,0.00832146,0.00647509,0.0213137,0.0148386,0.07,0.172541,0.0945116,0.0679089,769,N,1.16807330425272
RETN.3046.31.1,ANM_Males,5e-04,0.00901541,0.00691472,0.08135,0.0744353,0.07,-0.181556,0.122577,0.138563,412,N,0.858352722401343
RETN.3046.31.1,GERAD_Males,5e-05,0.000947853,0.000784086,0.0472319,0.0464478,0.07,0.0596882,0.0564338,0.290207,57,N,0.537292116279025
SERPING1.4479.14.2,ADNI_Males,0.01,0.000876393,0.000680846,0.0155195,0.0148386,0.07,-0.0550404,0.0924201,0.551479,5935,N,0.258471020590542
SERPING1.4479.14.2,ANM_Males,1,0.00951148,0.00729663,0.0817319,0.0744353,0.07,-0.192804,0.126498,0.127467,149237,N,0.894602235409758
SERPING1.4479.14.2,GERAD_Males,0.01,0.00112733,0.00093258,0.0473804,0.0464478,0.07,-0.0656301,0.0568901,0.248652,5909,N,0.604408043226566
TF.4162.54.2,ADNI_Males,1,0.00435893,0.00338887,0.0182275,0.0148386,0.07,-0.12558,0.0946063,0.184377,147113,N,0.734293255712323
TF.4162.54.2,ANM_Males,0.01,0.0141682,0.0108891,0.0853244,0.0744353,0.07,-0.227319,0.122391,0.063266,5810,N,1.19882962299056
TF.4162.54.2,GERAD_Males,0.001,0.000755061,0.000624587,0.0470724,0.0464478,0.07,0.0532015,0.0563118,0.344779,759,N,0.462459194302844
TNC.4155.3.2,ADNI_Males,5e-08,0.00315875,0.00245515,0.0172938,0.0148386,0.07,0.106882,0.095007,0.260592,16,N,0.584038920968733
TNC.4155.3.2,ANM_Males,0.001,0.00399154,0.0030554,0.0774907,0.0744353,0.07,-0.119796,0.121097,0.322538,816,N,0.491419111360162
