Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI_Males,0.001,0.0188477,0.0146991,0.0295378,0.0148386,0.07,-0.26117,0.0951184,0.00603745,773,Y,2.219146452897
ANGPT2.13660.76.3,ANM_Males,1,0.0162873,0.0125282,0.0869635,0.0744353,0.07,0.244921,0.123055,0.0465543,149172,Y,1.33204019910745
ANGPT2.13660.76.3,GERAD_Males,0.1,0.000639216,0.000528751,0.0469765,0.0464478,0.07,-0.0491091,0.0565178,0.384894,36632,N,0.414658858942306
APCS.2474.54.5,ADNI_Males,5e-08,0.00664948,0.00517222,0.0200109,0.0148386,0.07,-0.161337,0.102513,0.115529,3,N,0.937308985822858
APCS.2474.54.5,ANM_Males,0.01,0.0131218,0.0100806,0.0845159,0.0744353,0.07,-0.223653,0.125256,0.0741697,5775,N,1.12977347760959
APCS.2474.54.5,GERAD_Males,5e-05,0.00465138,0.00384974,0.0502975,0.0464478,0.07,-0.13359,0.0572957,0.0197229,50,Y,1.70502922725486
APOB.2797.56.2,ADNI_Males,5e-08,0.0745038,0.0588118,0.0736505,0.0148386,0.07,0.542091,0.101368,8.90434e-08,2,Y,7.0503982654181
APOB.2797.56.2,ANM_Males,5e-08,0.0883683,0.0699734,0.144409,0.0744353,0.07,0.670881,0.153452,1.23154e-05,2,Y,4.90955147785885
APOB.2797.56.2,GERAD_Males,5e-08,0.0502677,0.0418738,0.0883215,0.0464478,0.07,0.438749,0.0575139,2.37369e-14,2,Y,13.6245759998213
APOE.2937.10.2,ADNI_Males,5e-08,0.00838991,0.00652845,0.0213671,0.0148386,0.07,0.167544,0.0903455,0.063671,4,N,1.19605832916755
APOE.2937.10.2,ANM_Males,5e-08,0.0117729,0.00903952,0.0834748,0.0744353,0.07,0.219169,0.131033,0.0944018,4,N,1.02501972474203
APOE.2937.10.2,GERAD_Males,5e-08,0.0106138,0.00879198,0.0552398,0.0464478,0.07,0.191203,0.0533814,0.000341188,4,Y,3.46700625190495
C3.2755.8.2,ADNI_Males,0.1,0.010853,0.00844958,0.0232882,0.0148386,0.07,-0.193493,0.0924684,0.036391,36784,Y,1.43900601013196
C3.2755.8.2,ANM_Males,5e-04,0.00961297,0.00737479,0.0818101,0.0744353,0.07,0.18996,0.124279,0.126389,399,N,0.898290722312996
C3.2755.8.2,GERAD_Males,0.1,0.00379538,0.00314089,0.0495887,0.0464478,0.07,-0.120557,0.0569876,0.034388,36667,Y,1.46359308193378
C4A.C4B.4481.34.2,ADNI_Males,1,0.00409112,0.00318048,0.0180191,0.0148386,0.07,0.118233,0.0919083,0.198295,147242,N,0.702688236373548
C4A.C4B.4481.34.2,ANM_Males,5e-08,0.014625,0.0112422,0.0856775,0.0744353,0.07,0.242072,0.129963,0.0625146,37,N,1.20401854331261
C4A.C4B.4481.34.2,GERAD_Males,5e-08,0.0010544,0.000872241,0.04732,0.0464478,0.07,0.0627169,0.0559848,0.262608,35,N,0.580692047846944
CCL26.9168.31.3,ADNI_Males,0.05,0.00964681,0.00750852,0.0223472,0.0148386,0.07,-0.18308,0.0929481,0.0488727,21483,Y,1.31093366746436
CCL26.9168.31.3,ANM_Males,5e-08,0.00580554,0.00444715,0.0788825,0.0744353,0.07,0.14595,0.122406,0.233128,1,N,0.632405562107022
CCL26.9168.31.3,GERAD_Males,5e-08,0.00127996,0.00105886,0.0475066,0.0464478,0.07,0.0695999,0.0565526,0.218431,1,N,0.660685725978556
CFH.4159.130.1,ADNI_Males,5e-08,0.0143722,0.0111979,0.0260366,0.0148386,0.07,-0.226297,0.0943117,0.0164195,6,Y,1.78464007197584
CFH.4159.130.1,ANM_Males,5e-08,0.00990836,0.00760229,0.0820376,0.0744353,0.07,0.190776,0.122994,0.120876,7,N,0.917659920001513
CFH.4159.130.1,GERAD_Males,0.01,0.0016176,0.00133825,0.047786,0.0464478,0.07,-0.0780836,0.0565217,0.167131,5986,N,0.776942988285727
CLU.4542.24.2,ADNI_Males,1,0.0140123,0.0109166,0.0257552,0.0148386,0.07,-0.22284,0.0939057,0.0176435,147290,Y,1.75341525821157
CLU.4542.24.2,ANM_Males,5e-05,0.0134349,0.0103224,0.0847577,0.0744353,0.07,0.227029,0.125824,0.0711781,50,N,1.14765360906228
CLU.4542.24.2,GERAD_Males,0.01,0.002664,0.00220426,0.048652,0.0464478,0.07,-0.100624,0.0568096,0.0765182,5701,N,1.11623525478774
CRP.4337.49.2,ADNI_Males,5e-08,0.0362227,0.0283561,0.0431947,0.0148386,0.07,-0.360937,0.0951098,0.000147674,5,Y,3.83069596136033
CRP.4337.49.2,ANM_Males,5e-08,0.0223028,0.0171964,0.0916317,0.0744353,0.07,-0.301033,0.129782,0.0203663,5,Y,1.69108786326975
CRP.4337.49.2,GERAD_Males,5e-08,0.0154223,0.0127838,0.0592316,0.0464478,0.07,-0.245224,0.0577905,2.2023e-05,5,Y,4.65712352120889
CSF3.8952.65.3,ADNI_Males,0.01,0.00271206,0.00210776,0.0169464,0.0148386,0.07,0.113699,0.108519,0.294762,5977,N,0.530528505392505
CSF3.8952.65.3,ANM_Males,5e-04,0.0339722,0.026316,0.100751,0.0744353,0.07,-0.362518,0.126808,0.00425257,439,Y,2.37134852889387
CSF3.8952.65.3,GERAD_Males,5e-05,0.00240524,0.00199008,0.0484379,0.0464478,0.07,0.0959627,0.0569359,0.0919019,44,N,1.03667550982188
CXCL8.3447.64.2,ADNI_Males,1,0.0221129,0.0172578,0.0320965,0.0148386,0.07,0.308358,0.103773,0.00296369,147161,Y,2.5281672252306
CXCL8.3447.64.2,ANM_Males,0.01,0.00932689,0.0071545,0.0815898,0.0744353,0.07,0.193179,0.128105,0.13156,5650,N,0.880876135189383
CXCL8.3447.64.2,GERAD_Males,0.5,0.00110731,0.000916012,0.0473638,0.0464478,0.07,0.0653742,0.057189,0.252986,108468,N,0.596903511594844
FGA.FGB.FGG.4907.56.1,ADNI_Males,5e-05,0.0156677,0.0122107,0.0270493,0.0148386,0.07,0.234083,0.0934059,0.0122078,52,Y,1.91336259436363
FGA.FGB.FGG.4907.56.1,ANM_Males,0.001,0.00832893,0.00638647,0.0808218,0.0744353,0.07,0.176578,0.123924,0.154189,761,N,0.811946608189753
FGA.FGB.FGG.4907.56.1,GERAD_Males,5e-05,0.000698835,0.000578072,0.0470259,0.0464478,0.07,-0.0512208,0.0563457,0.363326,52,N,0.439703522444199
GC.6581.50.3,ADNI_Males,5e-04,0.0113037,0.00880132,0.02364,0.0148386,0.07,0.199645,0.0937102,0.0331339,373,Y,1.47972744281424
GC.6581.50.3,ANM_Males,0.05,0.0266319,0.0205697,0.095005,0.0744353,0.07,0.337337,0.133239,0.0113473,21015,Y,1.94510746310477
GC.6581.50.3,GERAD_Males,0.001,0.00418279,0.00346168,0.0499095,0.0464478,0.07,0.126199,0.0568616,0.0264596,771,Y,1.57741672549643
HP.3054.3.2,ADNI_Males,0.2,0.00399062,0.00310229,0.0179409,0.0148386,0.07,-0.117007,0.0920848,0.203856,61354,N,0.690676501633733
HP.3054.3.2,ANM_Males,0.5,0.00958706,0.00735483,0.0817901,0.0744353,0.07,0.186793,0.122159,0.126241,110903,N,0.898799573919495
HP.3054.3.2,GERAD_Males,0.01,0.00221199,0.00183013,0.0482779,0.0464478,0.07,0.0912328,0.0565053,0.106399,6086,N,0.973062453775207
IGFBP2.2570.72.5,ADNI_Males,5e-04,0.01489,0.0116027,0.0264413,0.0148386,0.07,0.227721,0.093243,0.0145965,431,Y,1.83575126838757
IGFBP2.2570.72.5,ANM_Males,0.001,0.011302,0.00867633,0.0831116,0.0744353,0.07,0.206832,0.124675,0.0971227,783,N,1.01267925276385
IGFBP2.2570.72.5,GERAD_Males,5e-04,0.00389308,0.00322179,0.0496696,0.0464478,0.07,0.121617,0.0567269,0.0320411,428,Y,1.49429258260872
IL10.2773.50.2,ADNI_Males,0.001,0.00911709,0.0070954,0.021934,0.0148386,0.07,0.180601,0.0943259,0.055537,788,N,1.25541758368973
IL10.2773.50.2,ANM_Males,5e-04,0.00618655,0.00473971,0.079175,0.0744353,0.07,0.150619,0.122217,0.217802,417,N,0.661938136586783
IL10.2773.50.2,GERAD_Males,0.2,0.00196858,0.00162869,0.0480765,0.0464478,0.07,0.0868072,0.0569814,0.127651,60831,N,0.893975778644449
IL13.3072.4.2,ADNI_Males,1,0.00887785,0.00690886,0.0217475,0.0148386,0.07,0.20822,0.110094,0.0585847,147109,N,1.23221578966731
IL13.3072.4.2,ANM_Males,0.001,0.0096856,0.00743072,0.081866,0.0744353,0.07,-0.195506,0.127067,0.123899,786,N,0.906932198839711
IL13.3072.4.2,GERAD_Males,5e-05,0.00146922,0.00121546,0.0476632,0.0464478,0.07,0.0741155,0.0563224,0.188203,54,N,0.725373458097595
IL3.4717.55.2,ADNI_Males,0.2,0.0059388,0.00461873,0.0194574,0.0148386,0.07,0.169515,0.109545,0.121756,61231,N,0.914509628037881
IL3.4717.55.2,ANM_Males,0.01,0.0031156,0.00238407,0.0768194,0.0744353,0.07,-0.111885,0.128098,0.382429,5797,N,0.417449182132249
