Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI,0.2,0.00440538,0.00332039,0.0251676,0.0218472,0.07,-0.121418,0.0667953,0.0691,61272,N,1.1605219526258
ANGPT2.13660.76.3,ANM,0.1,0.00409757,0.00325134,0.117084,0.113833,0.07,0.127504,0.0797862,0.110027,37094,N,0.958500728367658
ANGPT2.13660.76.3,GERAD,5e-05,0.000314588,0.000260085,0.0236543,0.0233943,0.07,-0.0339643,0.034091,0.319113,45,N,0.496055503192063
APCS.2474.54.5,ADNI,5e-08,0.00604209,0.00455601,0.0264032,0.0218472,0.07,-0.150578,0.0731915,0.0396553,3,Y,1.4016987602523
APCS.2474.54.5,ANM,0.01,0.0114947,0.00914744,0.12298,0.113833,0.07,-0.216212,0.0812455,0.00778596,5766,Y,2.10868783177942
APCS.2474.54.5,GERAD,5e-05,0.000833945,0.000689509,0.0240838,0.0233943,0.07,-0.0553119,0.0341722,0.105529,50,N,0.976628177245064
APOB.2797.56.2,ADNI,0.01,0.00556075,0.00419251,0.0260397,0.0218472,0.07,-0.136787,0.0670088,0.0412174,5797,Y,1.38491940705623
APOB.2797.56.2,ANM,0.001,0.00667661,0.00530314,0.119136,0.113833,0.07,0.163315,0.0800719,0.04139,781,Y,1.38310457359924
APOB.2797.56.2,GERAD,5e-05,0.00121973,0.00100852,0.0244028,0.0233943,0.07,-0.0667545,0.0340238,0.049763,60,Y,1.30309344575751
APOE.2937.10.2,ADNI,0.001,0.00219363,0.00165238,0.0234995,0.0218472,0.07,0.0858202,0.0668977,0.199543,772,N,0.699963502731853
APOE.2937.10.2,ANM,0.001,0.00244214,0.00193653,0.115769,0.113833,0.07,0.0977572,0.0792035,0.217108,776,N,0.663324173358833
APOE.2937.10.2,GERAD,5e-04,0.000874997,0.000723454,0.0241177,0.0233943,0.07,0.0566676,0.0341041,0.0965923,402,N,1.01505749264036
C3.2755.8.2,ADNI,0.1,0.000918694,0.000691776,0.0225389,0.0218472,0.07,-0.0554129,0.066669,0.405881,36788,N,0.391601278291704
C3.2755.8.2,ANM,5e-04,0.011603,0.00923401,0.123067,0.113833,0.07,0.216893,0.0810508,0.0074503,397,Y,2.12782623923541
C3.2755.8.2,GERAD,5e-05,0.00125414,0.00103699,0.0244312,0.0233943,0.07,0.0677092,0.034054,0.0467795,52,Y,1.32994442443369
C4A.C4B.4481.34.2,ADNI,0.05,0.00154175,0.00116113,0.0230083,0.0218472,0.07,0.0715922,0.0665242,0.281846,21238,N,0.549988124371395
C4A.C4B.4481.34.2,ANM,5e-08,0.00115748,0.000917377,0.11475,0.113833,0.07,0.0681572,0.0803273,0.396163,39,N,0.402126088227536
C4A.C4B.4481.34.2,GERAD,0.001,0.00045927,0.000379707,0.023774,0.0233943,0.07,0.0410345,0.0340531,0.228198,806,N,0.641688166196376
CCL26.9168.31.3,ADNI,0.05,0.00181861,0.00136975,0.0232169,0.0218472,0.07,-0.0777376,0.0665137,0.242506,21483,N,0.615277511764168
CCL26.9168.31.3,ANM,0.01,0.00116359,0.000922224,0.114755,0.113833,0.07,0.0680093,0.0797948,0.394047,5857,N,0.404451974562018
CCL26.9168.31.3,GERAD,0.1,0.000173715,0.000143616,0.0235379,0.0233943,0.07,0.0253439,0.0342293,0.459049,36791,N,0.338140954345504
CFH.4159.130.1,ADNI,5e-05,0.00120447,0.000907038,0.0227542,0.0218472,0.07,-0.0635569,0.0667777,0.341214,50,N,0.466973158049616
CFH.4159.130.1,ANM,5e-08,0.00146435,0.00116073,0.114994,0.113833,0.07,0.0753291,0.0788212,0.339226,7,N,0.469510868609329
CFH.4159.130.1,GERAD,0.01,0.000709267,0.000586414,0.0239807,0.0233943,0.07,-0.0509972,0.0340978,0.134754,5973,N,0.870458334474104
CLU.4542.24.2,ADNI,5e-05,0.000657509,0.000495069,0.0223422,0.0218472,0.07,-0.0468782,0.0666907,0.482106,50,N,0.316857463516627
CLU.4542.24.2,ANM,0.001,0.0100965,0.0080303,0.121863,0.113833,0.07,-0.204846,0.0820859,0.0125778,741,Y,1.90039531528301
CLU.4542.24.2,GERAD,5e-04,0.000520038,0.000429952,0.0238242,0.0233943,0.07,-0.0435473,0.034,0.200262,370,N,0.698401450885981
CRP.4337.49.2,ADNI,5e-08,0.00763395,0.00575884,0.027606,0.0218472,0.07,-0.16024,0.0669797,0.0167405,4,Y,1.77623157477776
CRP.4337.49.2,ANM,5e-05,0.00413647,0.00328226,0.117115,0.113833,0.07,0.127827,0.0796757,0.108638,54,N,0.964018238249131
CRP.4337.49.2,GERAD,0.01,0.000728421,0.000602252,0.0239965,0.0233943,0.07,0.0515712,0.0340314,0.129671,5786,N,0.887157139939127
CSF3.8952.65.3,ADNI,5e-05,0.000768813,0.000578892,0.0224261,0.0218472,0.07,0.0517615,0.0680557,0.446911,44,N,0.349778955743516
CSF3.8952.65.3,ANM,5e-04,0.00883855,0.00702632,0.120859,0.113833,0.07,-0.188148,0.0802869,0.0191064,438,Y,1.71882113436927
