Protein,Threshold,nSNP,Total_Sample_n,beta,z,p,ci_lower,ci_upper,se,i2,Q,Q-p,r,r2,Significant,P_MinusLog10
ANGPT2.13660.76.3,5e-05,45,6237,-0.0160789292013012,-0.567492199570398,0.570379824765297,-0.0716111852717398,0.0394533268691373,0.0283333043405235,0,0.904497160584874,0.636196004278704,-0.0071867154820811,5.16488794203842e-05,N,0.243835844565839
ANGPT2.13660.76.3,5e-04,401,6237,-0.0244624831834096,-0.864650752491519,0.387230507266682,-0.079913294824691,0.0309883284578719,0.0282917502967761,0,0.149965024004151,0.927759710846583,-0.010949554735715,0.000119892748910418,N,0.412030434897582
ANGPT2.13660.76.3,0.001,774,6237,-0.019893362396553,-0.703986389162758,0.481441249889692,-0.07527834487472,0.0354916200816139,0.028258163371897,0,0.937418508839151,0.625809508056754,-0.00891515245201473,7.94799432426642e-05,N,0.317456702112528
ANGPT2.13660.76.3,0.01,5749,6237,-0.00458944647304956,-0.162346577250332,0.871032937804932,-0.0599965264897802,0.0508176335436811,0.0282694378334371,0,0.406486102936653,0.816079867908932,-0.00205600416455541,4.22715312466919e-06,N,0.0599654219883635
ANGPT2.13660.76.3,0.05,21099,6237,0.0128612318483654,0.453492971865125,0.650193803012971,-0.0427240865214919,0.0684465502182227,0.0283603774397424,0.131728346888051,2.69273964266008,0.260183059338971,0.00574308401597129,3.29830140145049e-05,N,0.186957174074122
ANGPT2.13660.76.3,0.1,36726,6237,0.0137745855919344,0.277068985415975,0.78172713593361,-0.0836657382379704,0.111214909421839,0.0497153644651134,54.4026471908393,4.29483376012174,0.116785439279642,0.00350886784734118,1.23121535701047e-05,N,0.106944812206013
ANGPT2.13660.76.3,0.2,61272,6237,-0.0138439217910939,-0.288251206189022,0.773154454457587,-0.107975663593903,0.0802878200117148,0.04802728139155,51.6937075213447,4.14446486870937,0.125904394437054,-0.00365048031307311,1.33260065161343e-05,N,0.111733737623757
ANGPT2.13660.76.3,0.5,109602,6237,-0.00188932920881269,-0.0627689929386413,0.949950457212963,-0.0608836993723143,0.057105040954689,0.0300997215402128,5.68437632241488,2.73280589077533,0.255022642056353,-0.000794926170064801,6.31907615853893e-07,N,0.0222990438901889
ANGPT2.13660.76.3,1,147215,6237,-0.0020695665735527,-0.0729914272698913,0.941812939362261,-0.0576415165886259,0.0535023834415205,0.0283535567252346,0.139667312386953,2.76126494108567,0.25141948734323,-0.000924386174659716,8.54489799902023e-07,N,0.0260353471752811
APCS.2474.54.5,5e-08,3,6237,-0.0595903554594246,-2.03273432551951,0.0420793713963588,-0.117047421569902,-0.00213328934894683,0.0293153683249752,0,1.84275073859655,0.397971306985304,-0.0257346658514739,0.000662273026487017,Y,1.3759307565238
APCS.2474.54.5,5e-05,49,6237,-0.0565187762680014,-1.99304203392713,0.0462568444919881,-0.112099523713296,-0.000938028822706889,0.0283580452925199,0,0.27830579571204,0.870094982629922,-0.0252324796925203,0.000636678031433447,Y,1.33482399686715
APCS.2474.54.5,5e-04,424,6237,-0.0477752797510386,-1.68606483715039,0.0917833117770432,-0.103311594606889,0.00776103510481145,0.0283353751874592,0,0.04772156243452,0.976421636527588,-0.0213479932997858,0.0004557368179277,N,1.03723627590104
APCS.2474.54.5,0.001,772,6237,-0.0113403323299732,-0.401095509793997,0.688349806614339,-0.0667551709325752,0.0440745062726287,0.0282733963683553,0,0.128277461201191,0.937874878559872,-0.0050795351318346,2.58016771555419e-05,N,0.162190805260755
APCS.2474.54.5,0.01,5757,6237,-0.0826293536591289,-1.8013133870336,0.0716534990020608,-0.172536284015326,0.00727757669706836,0.0458717257385195,46.7903145802238,3.88422225353689,0.143400892531286,-0.0228064701228209,0.000520135079463121,N,1.14476259716916
APCS.2474.54.5,0.05,21133,6237,-0.0667933065239567,-1.32124276996116,0.186420429562025,-0.165876138363519,0.0322895253156055,0.0505533941547472,54.7698879417262,4.40264551752878,0.110656689406392,-0.0167302952873269,0.000279902780401153,N,0.729506495630762
APCS.2474.54.5,0.1,36746,6237,-0.0579317884659665,-2.0288188854306,0.0424767410024642,-0.113897463750573,-0.00196611318135959,0.028554440656082,0,1.4377422238547,0.487302055048489,-0.0256851286338801,0.000659725832938967,Y,1.37184881158152
APCS.2474.54.5,0.2,61152,6237,-0.0339396411783614,-1.18970735857677,0.234161432151346,-0.0898529495043502,0.0219736671476274,0.0285277223290968,0,0.879488323988192,0.644201211155724,-0.0150651212020801,0.000226957876833363,N,0.630484634383947
APCS.2474.54.5,0.5,109669,6237,-0.033934710343135,-1.1908596732237,0.233708678038314,-0.0897857997651962,0.0219163790789262,0.0284959774070378,0,1.26925440587983,0.530133083538819,-0.0150797095073762,0.000227397638826853,N,0.631325161145725
APCS.2474.54.5,1,147197,6237,-0.0316622034731537,-1.11133509086401,0.266424140291389,-0.0875020478087753,0.0241776408624679,0.0284902400126121,0,1.2430583954626,0.53712244283758,-0.0140729060754449,0.000198046685408293,N,0.574426426947841
APOB.2797.56.2,5e-05,60,6237,-0.0542546926431149,-1.91034304610312,0.056089058773666,-0.109918644617453,0.00140925933122352,0.0284004973629151,0.162461934618057,1.96240269984614,0.374860489615547,-0.0241861126630006,0.000584968045747356,N,1.25112184779282
APOB.2797.56.2,5e-04,412,6237,-0.00750582832188464,-0.264630163778111,0.791294380946812,-0.0630971977070078,0.0480855410632385,0.028363464749159,0,0.850021271494349,0.653762831836679,-0.00335134144825395,1.12314895027849e-05,N,0.101661918226058
APOB.2797.56.2,0.001,779,6237,0.01478271879646,0.217241502462437,0.828020142609929,-0.118587728867677,0.148153166460597,0.0680473971543077,74.8209688069863,6.37731903591042,0.041227098100051,0.00275120482976955,7.5691280153473e-06,N,0.0819590983383787
APOB.2797.56.2,0.01,5797,6237,0.0154862440837214,0.198340695475796,0.842778513703415,-0.137545792972912,0.168518281140355,0.0780790046468866,80.9855743130615,8.50868676965186,0.0142024132046272,0.00251184150756624,6.30934775913266e-06,N,0.0742865450845736
APOB.2797.56.2,0.05,21273,6237,0.0358809510365046,0.621434370661825,0.534313863412802,-0.0772852577904998,0.149047159863509,0.0577389226126832,65.6154823743577,5.34402555473711,0.0691129761832774,0.00786979811959256,6.19337224431426e-05,N,0.272203557380689
APOB.2797.56.2,0.1,36772,6237,0.0212885646365183,0.454155375856264,0.649716998743199,-0.0705848826202956,0.113162011893332,0.0468750691244839,49.2853454607784,4.00507089763082,0.13499258218712,0.00575147249442461,3.30794358541229e-05,N,0.187275770507534
APOB.2797.56.2,0.2,60882,6237,0.0215909121536804,0.761893904947007,0.446123328038695,-0.0339514802185557,0.0771333045259165,0.0283384760181041,0.010814573627769,2.34284652386105,0.309925522015609,0.00964841676843092,9.30919461373389e-05,N,0.350545066662911
APOB.2797.56.2,0.5,109549,6237,0.0227112005763529,0.801043056799682,0.423106719858345,-0.0328577664067146,0.0782801675594204,0.0283520347421628,0.016606503840069,2.1306418153659,0.344617246698537,0.0101441411875218,0.000102903600432376,N,0.373550077069502
APOB.2797.56.2,1,147132,6237,0.0153103455956437,0.466673988438053,0.640733142594543,-0.0489909154597629,0.0796116066510502,0.0328073686876936,13.9390738794455,2.53124855465323,0.282063155533277,0.00591000408657757,3.49281483033636e-05,N,0.193322811089057
APOE.2937.10.2,5e-05,54,6237,0.0389815675777563,1.37524507668643,0.169055477719096,-0.0165739619845846,0.0945370971400972,0.0283451787892818,0,1.10845338288022,0.574516367883635,0.0174138986058643,0.000303243864655322,N,0.771970752702795
APOE.2937.10.2,5e-04,404,6237,0.0575018814312677,2.0255348376841,0.0428124749556208,0.00186145770128886,0.113142305161247,0.0283884929360251,0,0.23627767031171,0.888572678924146,0.0256435794962455,0.000657593169380263,Y,1.36842966521638
APOE.2937.10.2,0.001,772,6237,0.0542941601846078,1.91780621915296,0.055135586902394,-0.00119350977387227,0.109781830143088,0.0283105559062104,0,0.748968761722048,0.687643749675262,0.024280545406705,0.000589544885247065,N,1.25856799812576
APOE.2937.10.2,0.01,5732,6237,0.0366683979530373,1.29566136257089,0.195092178301742,-0.0188003699170882,0.0921371658231627,0.0283009118063679,0,0.288321580124586,0.865748533106746,0.0164064576316727,0.000269171852019872,N,0.709760142130274
APOE.2937.10.2,0.05,21247,6237,-0.0139351100035385,-0.436086677637634,0.662773842683365,-0.0765655803391499,0.048695360332073,0.0319549087787493,11.5597060120465,1.86906599305169,0.392769247311257,-0.00552265568172929,3.04997257789369e-05,N,0.178634639966705
APOE.2937.10.2,0.1,36821,6237,-0.00397115370443953,-0.140233256335931,0.88847569675587,-0.0594738100724072,0.0515315026635281,0.0283182021740019,0,1.35682060021899,0.507423001829719,-0.00177595560450329,3.15401830916663e-06,N,0.0513544473287679
APOE.2937.10.2,0.2,61308,6237,-0.00182798968939568,-0.0643567541694164,0.948686163778429,-0.0574988202271592,0.0538428408483679,0.0284040068985389,0.231900569938816,1.94193281634887,0.378716866120884,-0.000815034061987013,6.6428052219905e-07,N,0.0228774333905396
APOE.2937.10.2,0.5,109549,6237,0.00373694492392894,0.131609785006376,0.895292945539167,-0.0519145209815555,0.0593884108294134,0.0283941268025618,0.0313147818489886,2.01899764876942,0.364401562992067,0.00166674571592999,2.77804128157099e-06,N,0.0480348375170107
APOE.2937.10.2,1,147339,6237,0.00169267503438754,0.0595441069902533,0.952518735478027,-0.0540237051856184,0.0574090552543935,0.0284272469593777,0.097377035067604,1.77603290124882,0.411471117104691,0.000754085229042666,5.6864453266033e-07,N,0.0211264732537078
C3.2755.8.2,5e-05,52,6237,0.0494481302928122,1.74342158281986,0.0812600009837685,-0.00614172555834697,0.105037986143971,0.0283626925237631,0,1.46926509739372,0.479681686256147,0.0220738637314047,0.000487255460032626,N,1.09012317675185
C3.2755.8.2,5e-04,399,6237,0.0666104919133552,1.12045366514059,0.26252048710938,-0.0499085299832716,0.183129513809982,0.0594495729593574,67.1455391076842,5.46309201731584,0.0651185379831934,0.0141883520039505,0.000201309332588007,N,0.580836798576628
C3.2755.8.2,0.001,753,6237,-0.00621866192324892,-0.21963359495195,0.826156525204695,-0.0617126923527237,0.0492753685062258,0.0283138011041042,0,1.66924707926874,0.434037848727634,-0.00278149869947939,7.73673501520555e-06,N,0.082937662615881
C3.2755.8.2,0.01,5836,6237,-0.0156306445711319,-0.55251690061423,0.580594258509862,-0.071077818006927,0.0398165288646631,0.0282898940353778,0.0448861531125302,2.83963768123974,0.241757809625118,-0.00699707785816326,4.89590985531985e-05,N,0.236127263216391
C3.2755.8.2,0.05,21230,6237,-0.0239614639032892,-0.847896196755488,0.396495782819938,-0.0793498551320879,0.0314269273255094,0.0282599025623406,0,0.25857900341627,0.878719537911546,-0.0107374071550196,0.000115291912412666,N,0.401761427533692
C3.2755.8.2,0.1,36788,6237,-0.0311922655438843,-1.10264865015583,0.270179774341995,-0.0866366875305098,0.0242521564427413,0.0282884902089855,0,0.540001389216602,0.763378964087304,-0.0139629306608663,0.00019496343264016,N,0.568347165382224
C3.2755.8.2,0.2,61231,6237,-0.0320185767302154,-1.13332234301308,0.257078912280668,-0.0873913994883122,0.0233542460278814,0.0282519593190847,0,0.0833038382365594,0.959203602906377,-0.0143512752425504,0.00020595910108744,N,0.589933546288879
C3.2755.8.2,0.5,109493,6237,-0.0320190108373318,-1.13269114906213,0.257343975853543,-0.0874234413510956,0.0233854196764319,0.0282680860213692,0,0.0183788734125539,0.990852657128988,-0.014343284070341,0.000205729797922499,N,0.589485993662835
C3.2755.8.2,1,147228,6237,-0.0322151519566815,-1.13933476159314,0.254563554907361,-0.0876339276493419,0.0232036237359788,0.0282754051246842,0,0.0824823026849962,0.959597693771237,-0.0144273947697503,0.000208149719842217,N,0.594203772856708
