Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI,0.2,0.00456014,0.00343717,0.0252843,0.0218472,0.07,-0.123549,0.0668072,0.0644102,61288,N,1.19104535231495
ANGPT2.13660.76.3,ANM,0.1,0.00408541,0.00324167,0.117074,0.113833,0.07,0.127303,0.079778,0.110552,37101,N,0.956433396177923
ANGPT2.13660.76.3,GERAD,5e-05,0.000314588,0.000260085,0.0236543,0.0233943,0.07,-0.0339643,0.034091,0.319113,45,N,0.496055503192063
APCS.2474.54.5,ADNI,5e-08,0.00604209,0.00455601,0.0264032,0.0218472,0.07,-0.150578,0.0731915,0.0396553,3,Y,1.4016987602523
APCS.2474.54.5,ANM,0.01,0.0114663,0.00912475,0.122958,0.113833,0.07,-0.215975,0.0812572,0.00786248,5767,Y,2.10444044627172
APCS.2474.54.5,GERAD,5e-05,0.000833945,0.000689509,0.0240838,0.0233943,0.07,-0.0553119,0.0341722,0.105529,50,N,0.976628177245064
APOB.2797.56.2,ADNI,5e-08,0.0886838,0.0684051,0.0902523,0.0218472,0.07,0.593011,0.0756208,4.43767e-15,2,Y,14.3528449964951
APOB.2797.56.2,ANM,5e-08,0.0965655,0.0795156,0.193348,0.113833,0.07,0.725554,0.100172,4.38566e-13,2,Y,12.3579650402024
APOB.2797.56.2,GERAD,5e-08,0.0671069,0.0559644,0.0793586,0.0233943,0.07,0.498284,0.0347003,9.2729e-47,2,Y,46.0327844236725
APOE.2937.10.2,ADNI,5e-08,0.0168015,0.0127062,0.0345534,0.0218472,0.07,0.234601,0.0663426,0.000405924,5,Y,3.39155527053679
APOE.2937.10.2,ANM,5e-08,0.0148272,0.011815,0.125648,0.113833,0.07,0.255985,0.0860398,0.00292805,4,Y,2.53342151144606
APOE.2937.10.2,GERAD,5e-08,0.0206271,0.0170983,0.0404926,0.0233943,0.07,0.260779,0.0319086,3.0157e-16,4,Y,15.5206118640041
C3.2755.8.2,ADNI,0.1,0.000888721,0.000669201,0.0225164,0.0218472,0.07,-0.0545021,0.0666685,0.413638,36799,N,0.383379570416451
C3.2755.8.2,ANM,5e-04,0.011603,0.00923401,0.123067,0.113833,0.07,0.216893,0.0810508,0.0074503,397,Y,2.12782623923541
C3.2755.8.2,GERAD,5e-05,0.00125414,0.00103699,0.0244312,0.0233943,0.07,0.0677092,0.034054,0.0467795,52,Y,1.32994442443369
C4A.C4B.4481.34.2,ADNI,0.05,0.00152213,0.00114635,0.0229935,0.0218472,0.07,0.0711281,0.066517,0.284924,21245,N,0.545270967297658
C4A.C4B.4481.34.2,ANM,5e-08,0.00115748,0.000917377,0.11475,0.113833,0.07,0.0681572,0.0803273,0.396163,39,N,0.402126088227536
C4A.C4B.4481.34.2,GERAD,0.001,0.00045927,0.000379707,0.023774,0.0233943,0.07,0.0410345,0.0340531,0.228198,806,N,0.641688166196376
CCL26.9168.31.3,ADNI,0.05,0.00181524,0.0013672,0.0232144,0.0218472,0.07,-0.0776662,0.0665141,0.242942,21488,N,0.614497397539684
CCL26.9168.31.3,ANM,5e-05,0.00115487,0.000915303,0.114748,0.113833,0.07,-0.0670516,0.0789713,0.395847,69,N,0.402472642093178
CCL26.9168.31.3,GERAD,0.1,0.000174488,0.000144255,0.0235385,0.0233943,0.07,0.025401,0.0342304,0.458052,36802,N,0.339085216251297
CFH.4159.130.1,ADNI,5e-05,0.00120447,0.000907038,0.0227542,0.0218472,0.07,-0.0635569,0.0667777,0.341214,50,N,0.466973158049616
CFH.4159.130.1,ANM,5e-08,0.00146435,0.00116073,0.114994,0.113833,0.07,0.0753291,0.0788212,0.339226,7,N,0.469510868609329
CFH.4159.130.1,GERAD,0.01,0.000742534,0.000613923,0.0240082,0.0233943,0.07,-0.0521878,0.0341039,0.125953,5977,N,0.899791483839316
CLU.4542.24.2,ADNI,5e-05,0.000657509,0.000495069,0.0223422,0.0218472,0.07,-0.0468782,0.0666907,0.482106,50,N,0.316857463516627
CLU.4542.24.2,ANM,0.001,0.0100965,0.0080303,0.121863,0.113833,0.07,-0.204846,0.0820859,0.0125778,741,Y,1.90039531528301
CLU.4542.24.2,GERAD,5e-04,0.000520038,0.000429952,0.0238242,0.0233943,0.07,-0.0435473,0.034,0.200262,370,N,0.698401450885981
CRP.4337.49.2,ADNI,5e-08,0.0489703,0.037361,0.0592081,0.0218472,0.07,-0.419893,0.0702139,2.22864e-09,5,Y,8.65196007895824
CRP.4337.49.2,ANM,5e-08,0.0211191,0.0168705,0.130703,0.113833,0.07,-0.295957,0.0821298,0.000313923,5,Y,3.50317686395222
CRP.4337.49.2,GERAD,5e-08,0.0161131,0.0133488,0.036743,0.0233943,0.07,-0.245459,0.0346153,1.3309e-12,5,Y,11.8758545749383
