Protein,Threshold,nSNP,Total_Sample_n,beta,z,p,ci_lower,ci_upper,se,i2,Q,Q-p,r,r2,Significant,P_MinusLog10
ANGPT2.13660.76.3,5e-05,45,6237,-0.0160789292013012,-0.567492199570398,0.570379824765297,-0.0716111852717398,0.0394533268691373,0.0283333043405235,0,0.904497160584874,0.636196004278704,-0.0071867154820811,5.16488794203842e-05,N,0.243835844565839
ANGPT2.13660.76.3,5e-04,401,6237,-0.0244624831834096,-0.864650752491519,0.387230507266682,-0.079913294824691,0.0309883284578719,0.0282917502967761,0,0.149965024004151,0.927759710846583,-0.010949554735715,0.000119892748910418,N,0.412030434897582
ANGPT2.13660.76.3,0.001,774,6237,-0.019893362396553,-0.703986389162758,0.481441249889692,-0.07527834487472,0.0354916200816139,0.028258163371897,0,0.937418508839151,0.625809508056754,-0.00891515245201473,7.94799432426642e-05,N,0.317456702112528
ANGPT2.13660.76.3,0.01,5749,6237,-0.00458944647304956,-0.162346577250332,0.871032937804932,-0.0599965264897802,0.0508176335436811,0.0282694378334371,0,0.406486102936653,0.816079867908932,-0.00205600416455541,4.22715312466919e-06,N,0.0599654219883635
ANGPT2.13660.76.3,0.05,21102,6237,0.0128414070259211,0.453269250482689,0.650354872018506,-0.0426856230005427,0.0683684370523849,0.0283306379425611,0.0382234595484524,2.70052041445906,0.259172813231419,0.00574025087758037,3.29504801375622e-05,N,0.186849601967042
ANGPT2.13660.76.3,0.1,36733,6237,0.0137442389084195,0.275722860675794,0.782760935718949,-0.0839560866626668,0.111444564479506,0.0498480208522881,54.6229737109814,4.30794651908445,0.116022254221118,0.00349182041029059,1.21928097777219e-05,N,0.106370856270333
ANGPT2.13660.76.3,0.2,61288,6237,-0.0159803717483267,-0.334146170242172,0.738269261503923,-0.109714658942407,0.0777539154457536,0.04782449470166,51.3251653296787,4.12115521089619,0.127380373044445,-0.00423169511816276,1.79072435730825e-05,N,0.131785213437395
ANGPT2.13660.76.3,0.5,109634,6237,-0.00423875966059458,-0.139265737788647,0.889240163285126,-0.063893175784787,0.0554156564635978,0.030436485871546,6.74511619520045,2.72447434587224,0.256087224217138,-0.00176370270053523,3.11064721587525e-06,N,0.050980930251958
ANGPT2.13660.76.3,1,147265,6237,-0.00429079288704205,-0.151492640349584,0.879587115987638,-0.0598037175038197,0.0512221317297356,0.0283234411727239,0.0409526320151143,2.74420708140014,0.25357299702406,-0.0019185472820951,3.6808236736345e-06,N,0.0557211407214951
APCS.2474.54.5,5e-08,3,6237,-0.0595903554594246,-2.03273432551951,0.0420793713963588,-0.117047421569902,-0.00213328934894683,0.0293153683249752,0,1.84275073859655,0.397971306985304,-0.0257346658514739,0.000662273026487017,Y,1.3759307565238
APCS.2474.54.5,5e-05,49,6237,-0.0565187762680014,-1.99304203392713,0.0462568444919881,-0.112099523713296,-0.000938028822706889,0.0283580452925199,0,0.27830579571204,0.870094982629922,-0.0252324796925203,0.000636678031433447,Y,1.33482399686715
APCS.2474.54.5,5e-04,424,6237,-0.0477752797510386,-1.68606483715039,0.0917833117770432,-0.103311594606889,0.00776103510481145,0.0283353751874592,0,0.04772156243452,0.976421636527588,-0.0213479932997858,0.0004557368179277,N,1.03723627590104
APCS.2474.54.5,0.001,772,6237,-0.0113403323299732,-0.401095509793997,0.688349806614339,-0.0667551709325752,0.0440745062726287,0.0282733963683553,0,0.128277461201191,0.937874878559872,-0.0050795351318346,2.58016771555419e-05,N,0.162190805260755
APCS.2474.54.5,0.01,5758,6237,-0.0828626170677892,-1.83171852965458,0.0669933665472176,-0.171526755410173,0.00580152127459432,0.0452376365289132,45.5042113671968,3.82440084052417,0.147754905741041,-0.0231912250043734,0.000537832917203472,N,1.17396819751651
APCS.2474.54.5,0.05,21140,6237,-0.066949902401797,-1.31923805353851,0.187089540112635,-0.166415951856657,0.0325161470530626,0.0507489169390025,55.0834500873117,4.42733634051801,0.109298984994705,-0.0167049175656611,0.000279054270875531,N,0.727950492555299
APCS.2474.54.5,0.1,36755,6237,-0.0584760577745752,-2.04465171634833,0.0408892069883356,-0.114530087064581,-0.00242202848456902,0.0285995200586099,0.134686547528066,1.49240198785092,0.474164489167605,-0.0258854406801883,0.000670056039207546,Y,1.38839131213898
APCS.2474.54.5,0.2,61171,6237,-0.0342455296239458,-1.20038226250785,0.229990914395529,-0.0901610548618859,0.0216699956139944,0.0285288534274072,0,0.927676719187319,0.628865196278025,-0.0152002651336596,0.000231048060133549,N,0.638289320094685
APCS.2474.54.5,0.5,109702,6237,-0.0339773360568394,-1.19232181395512,0.233135084324608,-0.0898300045080817,0.0218753323944029,0.0284967830489749,0,1.31392307763567,0.518424155476201,-0.0150982201975408,0.000227956253133428,N,0.632392364909178
APCS.2474.54.5,1,147245,6237,-0.031921495428957,-1.12039342521959,0.262546145469759,-0.0877634701898793,0.0239204793319652,0.0284913269842694,0,1.27875493086422,0.52762078400151,-0.0141875893368415,0.000201287691190858,N,0.580794353356746
APOB.2797.56.2,5e-08,2,6237,0.579515966373886,9.13160041313777,6.74940262075608e-20,0.455131370994022,0.70390056175375,0.0634626943969348,62.3849563681425,5.32499635051806,0.069773696915251,0.114879838852125,0.0131973773746903,Y,19.1707346642046
APOB.2797.56.2,5e-05,66,6237,0.14423372657628,5.0536731202274,4.33393109117312e-07,0.0882956192392571,0.200171833913302,0.0285403751182446,0.0111302849526483,3.01270439396981,0.22171728559746,0.0638706393837174,0.00407945857528487,Y,6.36311799817568
APOB.2797.56.2,5e-04,422,6237,0.0972996850916164,3.4206185235011,0.000624789041512269,0.0415484000019637,0.153050970181269,0.0284450558935836,0,1.37158960134965,0.503689737496956,0.043279207196995,0.00187308977560042,Y,3.20426659637225
APOB.2797.56.2,0.001,790,6237,0.107141491708772,1.41962163656666,0.155717862934883,-0.0407806444365725,0.255063627854117,0.0754718644383956,79.326955404686,7.37476227047375,0.0250374860479402,0.0179756334770683,0.000323123398901898,N,0.807661565151387
APOB.2797.56.2,0.01,5812,6237,0.0549747265141514,0.680360120422164,0.496276465686001,-0.103395055595973,0.213344508624276,0.0808023940028107,82.2146625969241,8.9655513112484,0.0113019991201426,0.00861597638383596,7.4235049046819e-05,N,0.304276319332288
APOB.2797.56.2,0.05,21291,6237,0.0605473560118312,1.0094318676214,0.312767561606868,-0.0570144537039116,0.178109165727574,0.0599816173373875,68.0047520852738,5.63412538398671,0.0597812811070771,0.0127827206481153,0.000163397947167753,N,0.504778295719817
APOB.2797.56.2,0.1,36798,6237,0.0399881416635539,0.832582596305115,0.405080177688293,-0.0541470442231916,0.134123327550299,0.0480290386095213,51.4112011248189,4.12879339202882,0.12689482363217,0.0105435038012401,0.000111165472406765,N,0.392459008189456
APOB.2797.56.2,0.2,60912,6237,0.0378124632431872,1.33239769972739,0.182729537596505,-0.017809867941079,0.0934347944274535,0.0283792618757325,0.120714833047741,2.43193341480733,0.296423321123018,0.0168715050430203,0.000284647682416658,N,0.738191244774923
APOB.2797.56.2,0.5,109590,6237,0.0371127003832443,1.30859658307137,0.190671038981111,-0.0184732281306907,0.0926986288971792,0.0283606887434614,0.0227465301178612,2.21297459019672,0.330718640065725,0.0165702065642339,0.00027457174558138,N,0.719715266921755
APOB.2797.56.2,1,147183,6237,0.0291708590310526,0.864428717774241,0.387352422735227,-0.036969739867803,0.0953114579299082,0.0337458236072521,16.7998572445106,2.61079230929163,0.27106513006192,0.0109467433232293,0.000119831189384665,N,0.411893723349639
APOE.2937.10.2,5e-08,5,6237,0.255873415328271,9.38205079085366,6.47018003528313e-21,0.202419997752065,0.309326832904477,0.0272726529659929,0,0.126450392527429,0.93873205093372,0.11798733809904,0.0139210119516971,Y,20.1890836347498
APOE.2937.10.2,5e-05,63,6237,0.192457178944372,6.79103213103657,1.11334123420722e-11,0.1369119934676,0.248002364421145,0.0283399010976253,0,1.51971853542021,0.467732247408509,0.0856874670361254,0.00734234200706708,Y,10.9533717059077
APOE.2937.10.2,5e-04,414,6237,0.138213439402919,4.85251366014855,1.21906384207346e-06,0.0823880708658135,0.194038807940024,0.0284828542654092,0,0.285101189216798,0.867143680387438,0.0613380565370695,0.00376235717974474,Y,5.91397354989089
APOE.2937.10.2,0.001,785,6237,0.117398307221876,4.13050214616734,3.61971715688781e-05,0.0616916531981395,0.173104961245613,0.0284222845231563,0,0.362678377166495,0.834152375743669,0.0522385660631068,0.00272886778432957,Y,4.44132536372152
APOE.2937.10.2,0.01,5751,6237,0.066999380632734,2.36457112752251,0.0180509607710471,0.0114644163856502,0.122534344879818,0.0283346860886917,0,0.201202449720795,0.904293570789243,0.0299322604356887,0.000895940214789895,Y,1.74349967761098
APOE.2937.10.2,0.05,21272,6237,0.000822199866792987,0.0273630741397172,0.978170149780904,-0.0580703835753882,0.0597147833089742,0.0300477885852589,5.55641512091398,1.71970385705116,0.423224745190373,0.000346534622832379,1.20086244821579e-07,N,0.00958559441111658
APOE.2937.10.2,0.1,36853,6237,0.0108426662796036,0.382783460240082,0.701880326016972,-0.0446749764917983,0.0663603090510056,0.028325848438705,0,1.17950658197849,0.554464059141603,0.00484763410417605,2.34995564079707e-05,N,0.153736930863203
APOE.2937.10.2,0.2,61347,6237,0.0100920397305692,0.355875182333845,0.72193404231618,-0.0454893421256889,0.0656734215868272,0.0283583689775307,0.0663790748452486,1.80038614958215,0.406491168966027,0.00450687033161227,2.03118801859669e-05,N,0.141502478838428
APOE.2937.10.2,0.5,109597,6237,0.0154445870259995,0.543608487634351,0.586710917828163,-0.040240405051267,0.071129579103266,0.0284112323065641,0.0601955205130529,1.95736390515618,0.375806102825349,0.0068842670449743,4.73931327465191e-05,N,0.231575830126248
APOE.2937.10.2,1,147391,6237,0.0133388816554312,0.469387484073959,0.638792692936032,-0.0423586572132615,0.0690364205241239,0.028417633848391,0.0455381355800974,1.69898605863164,0.427631673725426,0.00594436684444502,3.53354971813373e-05,N,0.194640060341492
C3.2755.8.2,5e-05,52,6237,0.0494481302928122,1.74342158281986,0.0812600009837685,-0.00614172555834697,0.105037986143971,0.0283626925237631,0,1.46926509739372,0.479681686256147,0.0220738637314047,0.000487255460032626,N,1.09012317675185
C3.2755.8.2,5e-04,399,6237,0.0666104919133552,1.12045366514059,0.26252048710938,-0.0499085299832716,0.183129513809982,0.0594495729593574,67.1455391076842,5.46309201731584,0.0651185379831934,0.0141883520039505,0.000201309332588007,N,0.580836798576628
C3.2755.8.2,0.001,753,6237,-0.00621866192324892,-0.21963359495195,0.826156525204695,-0.0617126923527237,0.0492753685062258,0.0283138011041042,0,1.66924707926874,0.434037848727634,-0.00278149869947939,7.73673501520555e-06,N,0.082937662615881
C3.2755.8.2,0.01,5837,6237,-0.017218051593843,-0.608231761936248,0.543033771706441,-0.0727014431557291,0.0382653399680431,0.0283083730106941,0.101589364632427,2.90215426283845,0.234317761093274,-0.00770261130340498,5.93302208913422e-05,N,0.265173160448593
C3.2755.8.2,0.05,21236,6237,-0.0249361123775389,-0.882382569361748,0.377569958511488,-0.0803246523050347,0.030452427549957,0.0282599784304169,0,0.260396326086449,0.877921442097375,-0.011174074867257,0.000124859949139064,N,0.423002567794821
C3.2755.8.2,0.1,36799,6237,-0.0311756094830262,-1.102119186327,0.270409859236887,-0.086617046798398,0.0242658278323456,0.0282869673895473,0,0.515877379524195,0.772642601556512,-0.0139562273230193,0.000194776281091791,N,0.567977477914882
C3.2755.8.2,0.2,61252,6237,-0.0321683767980683,-1.13863219354102,0.254856594943045,-0.0875408318568461,0.0232040782607095,0.0282517717139441,0,0.0822859544875518,0.959691906034485,-0.0144185000014344,0.000207893142291364,N,0.593704123659284
C3.2755.8.2,0.5,109529,6237,-0.0308541334245655,-1.09156438797905,0.275024616241248,-0.0862544295063232,0.0245461626571922,0.0282659765785229,0,0.0229725750297001,0.988579428035698,-0.0138225966902041,0.000191064179260042,N,0.560628432645061
