"Protein","T_all_with_apoe","R_all_with_apoe","P_all_with_apoe","T_all_no_apoe","R_all_no_apoe","P_all_no_apoe","T_Males_with_apoe","R_Males_with_apoe","P_Males_with_apoe","T_Males_no_apoe","R_Males_no_apoe","P_Males_no_apoe","T_Females_with_apoe","R_Females_with_apoe","P_Females_with_apoe","T_Females_no_apoe","R_Females_no_apoe","P_Females_no_apoe","T_70.And.Over_with_apoe","R_70.And.Over_with_apoe","P_70.And.Over_with_apoe","T_70.And.Over_no_apoe","R_70.And.Over_no_apoe","P_70.And.Over_no_apoe"
"PPY.4588.1.2",0.001,0.00015318969318496,0.328377918244489,0.001,0.00015318969318496,0.328377918244489,1,0.000175793035176798,0.29508784121982,1,0.000181909401242067,0.286836315317835,0.05,0.000331778199837834,0.150288159243114,0.05,0.000320738415524562,0.157252967593361,0.1,0.000219822551787684,0.241658176023305,0.1,0.000220933227633656,0.24047230406662
"APOE.2937.10.2",5e-08,0.0139210119516971,6.47018003528313e-21,5e-04,0.000657593169380263,0.0428124749556208,5e-08,0.00303090893673318,1.33826245031128e-05,5e-04,0.000249258033107663,0.212470683005342,5e-08,0.0119880703491217,3.38239431847654e-18,0.001,0.00122362976270771,0.00571297573300969,5e-08,0.0104692813848633,4.58631212215651e-16,0.001,0.000670250584524069,0.0408599141844697
"CFH.4159.130.1",0.01,0.000541238766250626,0.0661343135538528,0.01,0.000533177901119426,0.0681868252384562,0.01,0.00099861222167883,0.0125421498908275,0.01,0.00100423130599276,0.012296028884809,0.05,0.000282186472479773,0.184633336330621,0.05,0.000285660477080724,0.181952732089435,0.01,0.000684987882554472,0.0387036696261446,0.01,0.000685211077548249,0.0386719461068912
"SERPING1.4479.14.2",1,0.000805014396557576,0.0250083399084635,1,0.00082276197589234,0.0234596379623271,1,0.000397729867011955,0.115241246365202,1,0.000408665863711995,0.110358963021372,1,0.000323781478996832,0.155297286809891,1,0.000326773168955634,0.15340148173554,1,0.000386973686696868,0.120276631527799,1,0.000405935765561611,0.111556096762602
"C3.2755.8.2",5e-05,0.000487255460032626,0.0812600009837685,5e-05,0.000487255460032626,0.0812600009837685,1,0.000920694991664085,0.0165279060684683,1,0.000949829356159764,0.0149036979345743,5e-04,0.000191267810661611,0.274768922155678,5e-04,0.000191267810661611,0.274768922155678,5e-05,0.000753432656466824,0.0301416593288996,5e-05,0.000753432656466824,0.0301416593288996
"FGA.FGB.FGG.4907.56.1",0.001,0.00063201095263933,0.0470645225472139,0.001,0.00063201095263933,0.0470645225472139,0.001,0.000408681218886643,0.110352269935123,0.001,0.000408681218886643,0.110352269935123,5e-05,0.000288447754289496,0.179834566734575,5e-05,0.000288447754289496,0.179834566734575,0.001,0.00037747512232574,0.124926248593753,0.001,0.00037747512232574,0.124926248593753
"APCS.2474.54.5",0.1,0.000670056039207546,0.0408892069883356,5e-08,0.000662273026487017,0.0420793713963588,5e-05,0.000918840770943604,0.0166372560627342,5e-05,0.000918840770943604,0.0166372560627342,0.1,0.000738093754309453,0.0318711610501189,0.1,0.000724412279868092,0.0335011271190455,5e-04,0.000512774890398647,0.0736926966034581,5e-04,0.000512774890398647,0.0736926966034581
"HP.3054.3.2",0.01,0.0002024946736356,0.261119864947489,0.01,0.000213289579284815,0.248779560253779,0.01,0.00051023008044238,0.0744121637450697,0.01,0.000527823742477363,0.0695876971853887,0.1,0.000118124327548056,0.390754712212776,0.1,0.00014116944284455,0.348115212682828,0.001,0.000205072403090376,0.258105765365032,0.001,0.000205072403090376,0.258105765365032
"IL3.4717.55.2",0.001,0.000113120739468903,0.400979281035002,0.001,0.000113120739468903,0.400979281035002,5e-05,0.000233298872040226,0.227734077443489,5e-05,0.000233298872040226,0.227734077443489,0.001,0.000203551445410619,0.259878959832567,0.001,0.000203551445410619,0.259878959832567,0.001,0.000127915563145704,0.371795241553887,0.001,0.000127915563145704,0.371795241553887
"C4A.C4B.4481.34.2",0.01,0.000215270371149971,0.246593610379202,0.01,0.000213897518026148,0.248106142431175,5e-08,0.000523523961819735,0.0707349894790432,5e-08,0.000523523961819735,0.0707349894790432,0.01,0.00034192727039445,0.144191685654975,0.01,0.000343562336092186,0.14323582005278,0.2,0.000111583085265235,0.404199180166325,0.2,0.000107032237934189,0.413953456974046
