Protein,T_65.And.Over_no_apoe,P_65.And.Over_no_apoe,T_65.And.Over_with_apoe,P_65.And.Over_with_apoe,T_70.And.Over_no_apoe,P_70.And.Over_no_apoe,T_70.And.Over_with_apoe,P_70.And.Over_with_apoe,T_75.And.Over_no_apoe,P_75.And.Over_no_apoe,T_75.And.Over_with_apoe,P_75.And.Over_with_apoe,T_80.And.Over_no_apoe,P_80.And.Over_no_apoe,T_80.And.Over_with_apoe,P_80.And.Over_with_apoe,T_all_no_apoe,P_all_no_apoe,T_all_with_apoe,P_all_with_apoe,T_Females_no_apoe,P_Females_no_apoe,T_Females_with_apoe,P_Females_with_apoe,T_Males_no_apoe,P_Males_no_apoe,T_Males_with_apoe,P_Males_with_apoe
PPY.4588.1.2,0.001,0.362350317,0.001,0.362350317,0.1,0.240472304,0.1,0.241658176,0.001,0.282166897,0.001,0.282166897,5.00E-04,0.248770951,5.00E-04,0.248770951,0.001,0.328377918,0.001,0.328377918,0.05,0.157252968,0.05,0.150288159,1,0.286836315,1,0.295087841
APOE.2937.10.2,5.00E-04,0.075230415,5.00E-08,3.21E-18,0.001,0.040859914,5.00E-08,4.59E-16,5.00E-04,0.070521285,5.00E-08,8.13E-12,0.001,0.261310681,5.00E-08,0.000184737,5.00E-04,0.042812475,5.00E-08,6.47E-21,0.001,0.005712976,5.00E-08,3.38E-18,5.00E-04,0.212470683,5.00E-08,1.34E-05
CFH.4159.130.1,0.01,0.064012529,0.01,0.063250985,0.01,0.038671946,0.01,0.03870367,0.01,0.056820793,0.01,0.056997864,5.00E-04,0.038301988,5.00E-04,0.038301988,0.01,0.068186825,0.01,0.066134314,0.05,0.181952732,0.05,0.184633336,0.01,0.012296029,0.01,0.01254215
SERPING1.4479.14.2,1,0.025171174,1,0.028563979,1,0.111556097,1,0.120276632,1,0.200400237,1,0.216854453,0.01,0.017761394,0.01,0.017761394,1,0.023459638,1,0.02500834,1,0.153401482,1,0.155297287,1,0.110358963,1,0.115241246
C3.2755.8.2,5.00E-05,0.06185055,5.00E-05,0.06185055,5.00E-05,0.030141659,5.00E-05,0.030141659,5.00E-05,0.089278137,5.00E-05,0.089278137,1,0.209786131,1,0.218744643,5.00E-05,0.081260001,5.00E-05,0.081260001,5.00E-04,0.274768922,5.00E-04,0.274768922,1,0.014903698,1,0.016527906
FGA.FGB.FGG.4907.56.1,0.001,0.047197279,0.001,0.047197279,0.001,0.124926249,0.001,0.124926249,0.001,0.190437093,0.001,0.190437093,0.001,0.13877393,0.001,0.13877393,0.001,0.047064523,0.001,0.047064523,5.00E-05,0.179834567,5.00E-05,0.179834567,0.001,0.11035227,0.001,0.11035227
APCS.2474.54.5,5.00E-08,0.045053723,5.00E-08,0.045053723,5.00E-04,0.073692697,5.00E-04,0.073692697,5.00E-05,0.092282279,5.00E-05,0.092282279,0.001,0.06328765,0.001,0.06328765,5.00E-08,0.042079371,0.1,0.040889207,0.1,0.033501127,0.1,0.031871161,5.00E-05,0.016637256,5.00E-05,0.016637256
HP.3054.3.2,0.01,0.235517663,0.01,0.24575345,0.001,0.258105765,0.001,0.258105765,0.01,0.080666452,0.01,0.083345693,0.001,0.600501703,0.001,0.600501703,0.01,0.24877956,0.01,0.261119865,0.1,0.348115213,0.1,0.390754712,0.01,0.069587697,0.01,0.074412164
IL3.4717.55.2,0.001,0.430498515,0.001,0.430498515,0.001,0.371795242,0.001,0.371795242,0.01,0.375939877,0.1,0.353016293,0.5,0.187888721,0.5,0.202112184,0.001,0.400979281,0.001,0.400979281,0.001,0.25987896,0.001,0.25987896,5.00E-05,0.227734077,5.00E-05,0.227734077
C4A.C4B.4481.34.2,0.01,0.217182054,0.01,0.215427511,0.2,0.413953457,0.2,0.40419918,5.00E-05,0.371696038,5.00E-05,0.371696038,1,0.642344647,1,0.626080763,0.01,0.248106142,0.01,0.24659361,0.01,0.14323582,0.01,0.144191686,5.00E-08,0.070734989,5.00E-08,0.070734989
IL10.2773.50.2,0.001,0.366051468,0.001,0.393470422,0.001,0.247438344,0.001,0.269946044,0.001,0.048570963,0.001,0.053716033,5.00E-05,0.13739797,5.00E-05,0.13739797,0.001,0.288903866,0.001,0.32011375,5.00E-04,0.251833116,5.00E-04,0.23283112,0.2,0.050116886,0.2,0.058116662
VTN.13125.45.3,0.2,0.158961361,0.2,0.146270659,0.2,0.290821228,0.2,0.276152668,5.00E-05,0.264327801,5.00E-05,0.264327801,0.5,0.218416415,0.5,0.212551523,0.2,0.224510021,0.2,0.205374807,5.00E-08,0.471894179,5.00E-08,0.471894179,0.2,0.038382774,0.2,0.03421676
IGFBP2.2570.72.5,1,0.023573378,1,0.028212834,1,0.07468616,1,0.08467911,1,0.028451951,1,0.032066992,0.05,0.024710033,0.05,0.026059693,1,0.045040697,1,0.054142875,0.1,0.052461991,0.1,0.055331852,5.00E-04,0.001335477,5.00E-04,0.001335477
