Protein,Phenotype,Set,Threshold,PRS.R2,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP
AHSG.3581.53.3,a2.HS.Glycoprotein,Base,0.1,0.00408933,0.00408933,0,-,0.0646073,0.0499155,0.196279,25734
APP.3171.57.2,amyloid.precursor.protein,Base,0.001,0.00275293,0.00275293,0,-,-0.052657,0.0496169,0.289191,732
APOE.2937.10.2,Apo.E,Base,5.00E-08,0.00866237,0.00866237,0,-,-0.0939404,0.0497525,0.0597109,17
BDNF.2421.7.3,BDNF,Base,0.001,0.00745074,0.00745074,0,-,-0.0866235,0.0494974,0.0808555,732
SERPING1.4479.14.2,C1.Esterase.Inhibitor,Base,0.2,0.00321874,0.00321874,0,-,0.0576061,0.0501875,0.251713,41869
C3.2755.8.2,C3,Base,0.01,0.0067347,0.0067347,0,-,0.0825611,0.0496385,0.0970272,4423
C4A.C4B.4481.34.2,C4b,Base,0.01,0.0067428,0.0067428,0,-,0.0825966,0.0496299,0.0968259,4423
C6.4127.75.1,C6,Base,0.01,0.0042417,0.0042417,0,-,0.0655377,0.0497128,0.18813,4423
CLU.4542.24.2,Clusterin,Base,5.00E-04,0.00331628,0.00331628,0,-,0.0575192,0.0493669,0.244641,418
FGA.FGB.FGG.4907.56.1,D.dimer,Base,0.01,0.001907,0.001907,0,-,-0.043969,0.0497996,0.377798,4423
ERBB2.2616.23.18,ERBB2,Base,0.05,0.00413781,0.00413781,0,-,-0.0656491,0.0504212,0.193642,15382
CFH.4159.130.1,Factor.H,Base,5.00E-05,0.000660189,0.000660189,0,-,0.0259463,0.0499767,0.603924,101
FN1.3435.53.2,Fibronectin,Base,5.00E-05,0.00402635,0.00402635,0,-,-0.0640199,0.0498486,0.199767,101
CSF3.8952.65.3,G.CSF,Base,1,0.00108424,0.00108424,0,-,0.0332852,0.0500175,0.506124,100576
HP.3054.3.2,Haptoglobin..Mixed.Type,Base,0.01,0.010049,0.010049,0,-,0.100824,0.0495428,0.0424846,4423
IGFBP2.2570.72.5,IGFBP.2,Base,5.00E-08,0.00420124,0.00420124,0,-,0.0654047,0.0498513,0.190255,17
IL10.2773.50.2,IL.10,Base,0.001,0.00977194,0.00977194,0,-,-0.0992619,0.0494686,0.0454523,732
IL3.4717.55.2,IL.3,Base,5.00E-08,0.00287765,0.00287765,0,-,-0.0540593,0.0498191,0.27851,17
KLK3.8468.19.3,PSA,Base,5.00E-04,0.00631658,0.00631658,0,-,0.0796144,0.0494362,0.108069,418
APCS.2474.54.5,SAP,Base,0.1,0.00282058,0.00282058,0,-,0.0536293,0.0499217,0.283335,25734
