Pheno,Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,0.000463504,0.743742,0.0236376,0.072222,28,0.128577692691348,N,N,0.994987,0.00218259349060357,N
Angiopoietin.2,Base,5e-05,4.35169e-06,0.974734,-0.00229036,0.0722385,118,0.0111138849101647,N,N,0.994987,0.00218259349060357,N
Angiopoietin.2,Base,5e-04,0.00214481,0.481738,-0.0508476,0.0721612,436,0.317189094728953,N,N,0.994987,0.00218259349060357,N
Angiopoietin.2,Base,0.001,0.000367443,0.771009,-0.0210461,0.0722254,752,0.11294055239324,N,N,0.994987,0.00218259349060357,N
Angiopoietin.2,Base,0.01,0.000585906,0.713208,0.026576,0.0722175,4445,0.146783794021123,N,N,0.994987,0.00218259349060357,N
Angiopoietin.2,Base,0.05,0.000884193,0.65159,-0.0326475,0.0722068,15415,0.18602558946197,N,N,0.994987,0.00218259349060357,N
Angiopoietin.2,Base,0.1,0.00105102,0.622483,-0.0355943,0.0722007,25721,0.205872504645088,N,N,0.994987,0.00218259349060357,N
Angiopoietin.2,Base,0.2,6.29064e-05,0.904151,0.0087081,0.0722364,41728,0.0437590330308153,N,N,0.994987,0.00218259349060357,N
Angiopoietin.2,Base,0.5,9.22636e-06,0.963217,-0.00333496,0.0722384,73881,0.0162758610727125,N,N,0.994987,0.00218259349060357,N
Angiopoietin.2,Base,1,5.46661e-06,0.971683,0.00256705,0.0722385,99686,0.0124753953670798,N,N,0.994987,0.00218259349060357,N
Apo.B,Base,5e-08,0.00127251,0.587981,-0.0353469,0.0651537,28,0.230636707475691,N,N,0.994987,0.00218259349060357,N
Apo.B,Base,5e-05,0.00652483,0.219295,-0.0800398,0.0649822,118,0.658971270270332,N,N,0.994987,0.00218259349060357,N
Apo.B,Base,5e-04,8.39228e-05,0.889381,0.0090774,0.0651925,436,0.0509121526960516,N,N,0.994987,0.00218259349060357,N
Apo.B,Base,0.001,0.00031329,0.788122,0.0175386,0.065185,752,0.10340654922914,N,N,0.994987,0.00218259349060357,N
Apo.B,Base,0.01,2.35808e-05,0.941228,0.00481172,0.0651944,4445,0.0263051617503536,N,N,0.994987,0.00218259349060357,N
Apo.B,Base,0.05,0.00352042,0.367259,0.0587921,0.0650803,15415,0.435027552644733,N,N,0.994987,0.00218259349060357,N
Apo.B,Base,0.1,0.00223665,0.472493,0.0468619,0.0651222,25721,0.325604621194702,N,N,0.994987,0.00218259349060357,N
Apo.B,Base,0.2,0.00474741,0.294941,0.0682732,0.0650403,41728,0.530264851605266,N,N,0.994987,0.00218259349060357,N
Apo.B,Base,0.5,0.00461047,0.302029,0.0672813,0.0650447,73881,0.519951355270302,N,N,0.994987,0.00218259349060357,N
Apo.B,Base,1,0.00444051,0.311133,0.0660295,0.0650503,99686,0.507053923453056,N,N,0.994987,0.00218259349060357,N
Apo.E3,Base,5e-08,0.0022098,0.475165,-0.0451292,0.063095,28,0.323155556382649,N,N,0.994987,0.00218259349060357,N
Apo.E3,Base,5e-05,0.00659639,0.216777,-0.0779713,0.0629561,118,0.663986798254354,N,N,0.994987,0.00218259349060357,N
Apo.E3,Base,5e-04,0.00124508,0.592035,-0.033875,0.0631255,436,0.227652617842028,N,N,0.994987,0.00218259349060357,N
Apo.E3,Base,0.001,0.000767118,0.674057,-0.0265896,0.0631406,752,0.171303376849287,N,N,0.994987,0.00218259349060357,N
Apo.E3,Base,0.01,0.0155757,0.0571309,-0.119813,0.062671,4445,1.24312893431587,N,N,0.954214444444444,0.0203540135840134,N
Apo.E3,Base,0.05,0.00121976,0.595828,-0.0335289,0.0631263,15415,0.224879091655109,N,N,0.994987,0.00218259349060357,N
Apo.E3,Base,0.1,0.000223654,0.820372,-0.0143572,0.0631578,25721,0.0859891708938843,N,N,0.994987,0.00218259349060357,N
Apo.E3,Base,0.2,1.79527e-05,0.948708,-0.00406767,0.0631643,41728,0.0228674372065989,N,N,0.994987,0.00218259349060357,N
Apo.E3,Base,0.5,1.08874e-05,0.960046,-0.00316769,0.0631645,73881,0.0177079575150627,N,N,0.994987,0.00218259349060357,N
Apo.E3,Base,1,7.89827e-06,0.965966,-0.00269803,0.0631646,99686,0.0150381595806228,N,N,0.994987,0.00218259349060357,N
BNP.32,Base,5e-08,0.00449588,0.308129,0.0716346,0.0701344,28,0.511267425515321,N,N,0.994987,0.00218259349060357,N
BNP.32,Base,5e-05,0.00403021,0.334635,0.0678234,0.0701508,118,0.475428637456329,N,N,0.994987,0.00218259349060357,N
BNP.32,Base,5e-04,0.00738158,0.191264,0.0917889,0.0700327,436,0.718366765846412,N,N,0.994987,0.00218259349060357,N
BNP.32,Base,0.001,0.00877856,0.153966,0.100098,0.0699834,752,0.812575172946907,N,N,0.994987,0.00218259349060357,N
BNP.32,Base,0.01,3.9171e-05,0.924297,-0.00668649,0.0702912,4445,0.0341884565550448,N,N,0.994987,0.00218259349060357,N
BNP.32,Base,0.05,0.000233417,0.816561,-0.0163223,0.0702844,15415,0.0880113663788137,N,N,0.994987,0.00218259349060357,N
BNP.32,Base,0.1,1.17379e-05,0.958516,-0.00366025,0.0702922,25721,0.0184006332776092,N,N,0.994987,0.00218259349060357,N
BNP.32,Base,0.2,7.77355e-06,0.966235,0.00297869,0.0702923,41728,0.014917235084272,N,N,0.994987,0.00218259349060357,N
BNP.32,Base,0.5,0.000530916,0.726434,-0.0246166,0.0702739,73881,0.138803837302465,N,N,0.994987,0.00218259349060357,N
BNP.32,Base,1,0.000707615,0.686257,-0.0284193,0.0702677,99686,0.163513212602517,N,N,0.994987,0.00218259349060357,N
C1.Esterase.Inhibitor,Base,5e-08,0.00408713,0.331238,-0.0709821,0.0729028,28,0.479859846272291,N,N,0.994987,0.00218259349060357,N
C1.Esterase.Inhibitor,Base,5e-05,0.0136721,0.0748456,-0.129825,0.0725511,118,1.12583372574027,N,N,0.954214444444444,0.0203540135840134,N
C1.Esterase.Inhibitor,Base,5e-04,0.00101142,0.62912,-0.0353106,0.0730153,436,0.201266508183977,N,N,0.994987,0.00218259349060357,N
C1.Esterase.Inhibitor,Base,0.001,0.00412228,0.329163,-0.0712866,0.0729015,752,0.482588988158794,N,N,0.994987,0.00218259349060357,N
C1.Esterase.Inhibitor,Base,0.01,0.000156114,0.849541,-0.0138727,0.0730465,4445,0.070815656648875,N,N,0.994987,0.00218259349060357,N
C1.Esterase.Inhibitor,Base,0.05,0.0128126,0.0846849,0.125678,0.0725827,15415,1.07219402097154,N,N,0.954214444444444,0.0203540135840134,N
C1.Esterase.Inhibitor,Base,0.1,0.00770931,0.181661,0.0974872,0.0727701,25721,0.740738299454658,N,N,0.994987,0.00218259349060357,N
C1.Esterase.Inhibitor,Base,0.2,0.0163457,0.0512782,0.141952,0.0724527,41728,1.29006722810288,N,N,0.954214444444444,0.0203540135840134,N
C1.Esterase.Inhibitor,Base,0.5,0.0123503,0.090543,0.12339,0.0725997,73881,1.04314511993729,N,N,0.954214444444444,0.0203540135840134,N
