Pheno,Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,0.0897764,0.00189206,0.371832,0.11666,17,2.72306509560032,Y,N,0.4144517,0.382526074632935,N
Angiopoietin.2,Base,5e-05,0.0241845,0.113109,0.192989,0.12079,100,0.946502837206916,N,N,0.645986956521739,0.189776250995354,N
Angiopoietin.2,Base,5e-04,0.0166843,0.189046,0.160295,0.121253,418,0.723432507385317,N,N,0.68617023255814,0.163568126437458,N
Angiopoietin.2,Base,0.001,0.0509139,0.0206096,0.280016,0.119124,737,1.68593043711349,Y,N,0.567404782608696,0.246107007891926,N
Angiopoietin.2,Base,0.01,0.0473267,0.0257547,0.269972,0.119349,4408,1.58914350457212,Y,N,0.567404782608696,0.246107007891926,N
Angiopoietin.2,Base,0.05,0.0061889,0.425003,0.0976274,0.121899,15261,0.371608004352401,N,N,0.807265931034483,0.0929833756175866,N
Angiopoietin.2,Base,0.1,0.0109919,0.287105,0.130107,0.121604,25427,0.541959244098753,N,N,0.732483106796117,0.135202386959968,N
Angiopoietin.2,Base,0.2,0.0130017,0.24673,0.141503,0.12148,41025,0.607778041258807,N,N,0.712775555555556,0.147047202727314,N
Angiopoietin.2,Base,0.5,0.0123319,0.25936,0.13781,0.121521,72078,0.58609700249556,N,N,0.717069052631579,0.144439020437006,N
Angiopoietin.2,Base,1,0.0121967,0.262006,0.137052,0.121529,96840,0.581688763118976,N,N,0.717069052631579,0.144439020437006,N
Apo.B,Base,5e-08,0.0105219,0.297708,-0.0966456,0.0923465,17,0.52620949484883,N,N,0.737181714285714,0.13242544594795,N
Apo.B,Base,5e-05,0.0386996,0.0442372,-0.185348,0.0910221,100,1.35421236956576,Y,N,0.567404782608696,0.246107007891926,N
Apo.B,Base,5e-04,0.0173371,0.180544,-0.124058,0.0920279,418,0.743416939860747,N,N,0.68617023255814,0.163568126437458,N
Apo.B,Base,0.001,0.0065435,0.411998,-0.076215,0.0925319,737,0.385104892197623,N,N,0.807265931034483,0.0929833756175866,N
Apo.B,Base,0.01,0.0016208,0.683434,0.0379315,0.0927609,4408,0.165303419384076,N,N,0.922184,0.0351824171111793,N
Apo.B,Base,0.05,0.0240287,0.11429,0.14605,0.091714,15261,0.941991767284598,N,N,0.645986956521739,0.189776250995354,N
