Pheno,Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,0.0101607,0.0413453,0.100468,0.0490926,17,1.38357385249785,Y,N,0.989824176706827,0.00444194264232626,N
Angiopoietin.2,Base,5e-05,0.00101954,0.519102,0.0319882,0.049572,101,0.284747297864956,N,N,0.989824176706827,0.00444194264232626,N
Angiopoietin.2,Base,5e-04,0.00402216,0.200002,-0.0634958,0.0494664,418,0.698965661412914,N,N,0.989824176706827,0.00444194264232626,N
Angiopoietin.2,Base,0.001,0.00122321,0.480042,-0.0353142,0.0499578,732,0.318720763519683,N,N,0.989824176706827,0.00444194264232626,N
Angiopoietin.2,Base,0.01,1.04593e-05,0.947947,-0.00325704,0.0498586,4423,0.0232159435174079,N,N,0.989824176706827,0.00444194264232626,N
Angiopoietin.2,Base,0.05,0.00227124,0.33575,-0.0486082,0.0504376,15382,0.473983978659247,N,N,0.989824176706827,0.00444194264232626,N
Angiopoietin.2,Base,0.1,0.00375937,0.215385,-0.0620478,0.0500058,25734,0.666784545439449,N,N,0.989824176706827,0.00444194264232626,N
Angiopoietin.2,Base,0.2,0.00182473,0.388298,-0.0433072,0.0501457,41869,0.4108348463615,N,N,0.989824176706827,0.00444194264232626,N
Angiopoietin.2,Base,0.5,0.00191715,0.376531,-0.0442358,0.0499688,74391,0.424199262292735,N,N,0.989824176706827,0.00444194264232626,N
Angiopoietin.2,Base,1,0.00217112,0.346644,-0.0470658,0.0499529,100576,0.460116312526922,N,N,0.989824176706827,0.00444194264232626,N
Apo.B,Base,5e-08,0.00680631,0.0952624,-0.0821621,0.0491363,17,1.02107848125791,N,N,0.989824176706827,0.00444194264232626,N
Apo.B,Base,5e-05,0.00683481,0.0945697,-0.0827568,0.0493879,101,1.02424798865803,N,N,0.989824176706827,0.00444194264232626,N
Apo.B,Base,5e-04,0.00240879,0.321513,-0.0490984,0.0494668,418,0.492801462198167,N,N,0.989824176706827,0.00444194264232626,N
Apo.B,Base,0.001,0.000514728,0.646918,-0.0228897,0.0499354,732,0.189150764778637,N,N,0.989824176706827,0.00444194264232626,N
Apo.B,Base,0.01,0.000729177,0.585611,0.0271732,0.0498007,4423,0.232390774172285,N,N,0.989824176706827,0.00444194264232626,N
Apo.B,Base,0.05,0.00112453,0.498323,0.0341755,0.0504261,15382,0.30248906759,N,N,0.989824176706827,0.00444194264232626,N
Apo.B,Base,0.1,0.000698599,0.593585,0.026726,0.0500424,25734,0.226517082290246,N,N,0.989824176706827,0.00444194264232626,N
Apo.B,Base,0.2,0.0022433,0.338743,0.0479796,0.050095,41869,0.470129670561181,N,N,0.989824176706827,0.00444194264232626,N
Apo.B,Base,0.5,0.00275458,0.289046,0.0529817,0.0499078,74391,0.539033036286955,N,N,0.989824176706827,0.00444194264232626,N
Apo.B,Base,1,0.00274286,0.290076,0.0528588,0.0498986,100576,0.53748820190654,N,N,0.989824176706827,0.00444194264232626,N
Apo.E3,Base,5e-08,0.00577117,0.124593,0.0758677,0.049299,17,0.904506356928627,N,N,0.989824176706827,0.00444194264232626,N
Apo.E3,Base,5e-05,0.000837581,0.558988,0.0290511,0.049675,101,0.252597515172112,N,N,0.989824176706827,0.00444194264232626,N
Apo.E3,Base,5e-04,0.00317328,0.255094,0.0565108,0.0495857,418,0.593299756198269,N,N,0.989824176706827,0.00444194264232626,N
Apo.E3,Base,0.001,0.00320728,0.25256,0.0572966,0.0500072,732,0.597635431115839,N,N,0.989824176706827,0.00444194264232626,N
Apo.E3,Base,0.01,0.00172791,0.401195,-0.0419464,0.0499146,4423,0.396644488129039,N,N,0.989824176706827,0.00444194264232626,N
Apo.E3,Base,0.05,3.59981e-05,0.903598,-0.00613167,0.0505943,15382,0.0440247390065717,N,N,0.989824176706827,0.00444194264232626,N
Apo.E3,Base,0.1,0.000109445,0.832738,0.0106078,0.0501968,25734,0.0794916169031711,N,N,0.989824176706827,0.00444194264232626,N
Apo.E3,Base,0.2,2.14509e-05,0.92551,0.00470484,0.0502906,41869,0.0336188843974558,N,N,0.989824176706827,0.00444194264232626,N
Apo.E3,Base,0.5,0.000248321,0.750389,-0.015952,0.0501098,74391,0.124713540932718,N,N,0.989824176706827,0.00444194264232626,N
Apo.E3,Base,1,0.000150365,0.804486,-0.0124108,0.0501028,100576,0.0944815092724106,N,N,0.989824176706827,0.00444194264232626,N
BNP.32,Base,5e-08,0.00396036,0.203499,-0.0627066,0.0492327,17,0.691437720569223,N,N,0.989824176706827,0.00444194264232626,N
BNP.32,Base,5e-05,3.60685e-06,0.969418,0.0019021,0.0495837,101,0.0134889206271871,N,N,0.99280140077821,0.00313761874762448,N
BNP.32,Base,5e-04,9.10315e-05,0.847267,0.00954977,0.0495504,418,0.0719797084957495,N,N,0.989824176706827,0.00444194264232626,N
BNP.32,Base,0.001,0.00197024,0.369997,0.0448064,0.0499254,732,0.431801797253891,N,N,0.989824176706827,0.00444194264232626,N
BNP.32,Base,0.01,0.000233063,0.757933,-0.0153706,0.0498394,4423,0.120369183571568,N,N,0.989824176706827,0.00444194264232626,N
BNP.32,Base,0.05,5.72034e-05,0.878651,0.00771206,0.0504797,15382,0.0561835923571074,N,N,0.989824176706827,0.00444194264232626,N
BNP.32,Base,0.1,0.000277129,0.736814,0.0168419,0.0500794,25734,0.132642130822903,N,N,0.989824176706827,0.00444194264232626,N
BNP.32,Base,0.2,0.000128553,0.818957,0.0114917,0.0501746,41869,0.0867389006241693,N,N,0.989824176706827,0.00444194264232626,N
BNP.32,Base,0.5,1.36941e-05,0.940452,0.00373761,0.0500028,74391,0.0266633656288689,N,N,0.989824176706827,0.00444194264232626,N
BNP.32,Base,1,1.64003e-05,0.934845,0.00408951,0.0499932,100576,0.0292603904375899,N,N,0.989824176706827,0.00444194264232626,N
C1.Esterase.Inhibitor,Base,5e-08,1.34153e-06,0.981346,0.00115576,0.0494013,17,0.00817784338714788,N,N,0.99280140077821,0.00313761874762448,N
C1.Esterase.Inhibitor,Base,5e-05,0.00133505,0.460614,-0.0366473,0.0496219,101,0.336662866132219,N,N,0.989824176706827,0.00444194264232626,N
