Pheno,Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,1.81322e-06,0.978314,0.00134264,0.0493634,26,0.00952173153086413,N,N,0.999598,0.000174621482995295,N
Angiopoietin.2,Base,5e-05,0.000114133,0.829248,-0.010743,0.0497814,116,0.0813155672489519,N,N,0.999598,0.000174621482995295,N
Angiopoietin.2,Base,5e-04,0.00657792,0.101017,-0.08104,0.0493051,434,0.995605533297358,N,N,0.999598,0.000174621482995295,N
Angiopoietin.2,Base,0.001,0.00291883,0.275092,-0.0542458,0.049636,748,0.560522039222726,N,N,0.999598,0.000174621482995295,N
Angiopoietin.2,Base,0.01,0.000199869,0.775335,-0.0142209,0.0497946,4441,0.110510610763142,N,N,0.999598,0.000174621482995295,N
Angiopoietin.2,Base,0.05,0.00286751,0.279359,-0.054597,0.0504038,15402,0.553837332582411,N,N,0.999598,0.000174621482995295,N
Angiopoietin.2,Base,0.1,0.004415,0.179335,-0.0672335,0.0499838,25754,0.746334942877959,N,N,0.999598,0.000174621482995295,N
Angiopoietin.2,Base,0.2,0.00222993,0.340188,-0.0478891,0.0501506,41891,0.468281010022977,N,N,0.999598,0.000174621482995295,N
Angiopoietin.2,Base,0.5,0.00229076,0.333679,-0.0483901,0.0499963,74416,0.47667112469403,N,N,0.999598,0.000174621482995295,N
Angiopoietin.2,Base,1,0.00256574,0.306223,-0.0512008,0.0499784,100602,0.513962193134973,N,N,0.999598,0.000174621482995295,N
Apo.B,Base,5e-08,0.00139614,0.450526,0.0372264,0.0492894,26,0.346280140687802,N,N,0.999598,0.000174621482995295,N
Apo.B,Base,5e-05,0.000175512,0.789125,0.0133115,0.04974,116,0.10285419766459,N,N,0.999598,0.000174621482995295,N
Apo.B,Base,5e-04,0.000350623,0.70541,0.0186951,0.0494198,434,0.151558387999922,N,N,0.999598,0.000174621482995295,N
Apo.B,Base,0.001,0.000997304,0.523696,0.0316831,0.049644,748,0.280920743235352,N,N,0.999598,0.000174621482995295,N
Apo.B,Base,0.01,0.0027519,0.289282,0.052726,0.0496912,4441,0.538678588626048,N,N,0.999598,0.000174621482995295,N
Apo.B,Base,0.05,0.00235687,0.326792,0.0494579,0.0503763,15402,0.485728583713617,N,N,0.999598,0.000174621482995295,N
Apo.B,Base,0.1,0.00151744,0.431481,0.0393847,0.0500164,25754,0.365038323417672,N,N,0.999598,0.000174621482995295,N
Apo.B,Base,0.2,0.00340545,0.238387,0.059133,0.0500809,41891,0.622717431743061,N,N,0.999598,0.000174621482995295,N
Apo.B,Base,0.5,0.00385639,0.209548,0.0627348,0.0499171,74416,0.678716479870026,N,N,0.999598,0.000174621482995295,N
Apo.B,Base,1,0.0038301,0.211111,0.0625068,0.0499067,100602,0.675489137062599,N,N,0.999598,0.000174621482995295,N
