"Protein","Pheno","T_65_and_over_no_apoe","P_65_and_over_no_apoe","T_65_and_over_with_apoe","P_65_and_over_with_apoe","T_70_and_over_no_apoe","P_70_and_over_no_apoe","T_70_and_over_with_apoe","P_70_and_over_with_apoe","T_75_and_over_no_apoe","P_75_and_over_no_apoe","T_75_and_over_with_apoe","P_75_and_over_with_apoe","T_80_and_over_no_apoe","P_80_and_over_no_apoe","T_80_and_over_with_apoe","P_80_and_over_with_apoe","T_all_no_apoe","P_all_no_apoe","T_all_with_apoe","P_all_with_apoe","T_females_only_no_apoe","P_females_only_no_apoe","T_females_only_with_apoe","P_females_only_with_apoe","T_males_only_no_apoe","P_males_only_no_apoe","T_males_only_with_apoe","P_males_only_with_apoe"
"ANGPT2.13660.76.3","Angiopoietin.2",5e-08,0.00162385,0.1,0.271566,5e-08,0.00252808,0.01,0.545291,5e-08,0.00129443,5e-04,0.481738,5e-08,0.00189206,0.01,0.0426785,5e-08,0.0413453,5e-04,0.101017,5e-08,0.0325996,0.1,0.185507,5e-08,0.280827,0.001,0.162494
"APOB.2797.56.2","Apo.B",5e-05,0.0475501,0.2,0.182685,5e-05,0.0781781,0.2,0.195165,5e-05,0.0176943,5e-05,0.219295,5e-05,0.0442372,5e-05,0.0979419,5e-05,0.0945697,0.5,0.209548,5e-08,0.299602,5e-05,0.569583,5e-05,0.0548007,0.5,0.0726426
"APOE.2937.10.2","Apo.E3",5e-08,0.198898,0.001,0.526936,5e-08,0.254469,0.2,0.401478,0.01,0.105837,0.01,0.0571309,0.01,0.087503,0.01,0.0410818,5e-08,0.124593,0.01,0.29866,0.001,0.244366,0.001,0.223491,5e-08,0.187827,5e-05,0.127049
"NPPB.3723.1.2","BNP.32",5e-08,0.226012,0.001,0.046687,5e-08,0.256199,0.001,0.0254739,5e-08,0.176094,0.001,0.153966,0.01,0.194841,5e-08,0.192217,5e-08,0.203499,0.001,0.0547873,5e-05,0.256708,5e-05,0.0231541,5e-08,0.0928371,0.001,0.141262
"SERPING1.4479.14.2","C1.Esterase.Inhibitor",0.2,0.103946,0.2,0.108498,0.2,0.0621245,0.2,0.065326,0.2,0.038969,0.2,0.0512782,0.05,0.0984095,5e-05,0.0860804,0.2,0.174875,0.2,0.175829,1,0.146097,1,0.153345,5e-08,0.458518,5e-08,0.470238
"C3.2755.8.2","C3",0.01,0.0281065,0.01,0.0405162,5e-05,0.0401851,0.01,0.0511192,5e-05,0.0838836,5e-08,0.0315012,0.001,0.27016,5e-05,0.00424449,0.01,0.0780199,0.01,0.107823,5e-08,0.237734,5e-05,0.274088,0.01,0.0705089,0.01,0.154131
"C4A.C4B.4481.34.2","C4",5e-08,0.103996,0.001,0.362351,5e-08,0.151661,0.01,0.434699,0.01,0.421002,0.01,0.370825,0.01,0.0329333,0.01,0.0615872,5e-08,0.223153,0.01,0.24305,0.5,0.247209,0.5,0.210799,0.01,0.2195,0.001,0.0578137
"CLU.4542.24.2","Clusterin",5e-04,0.372795,5e-04,0.195748,1,0.154884,1,0.127519,0.2,0.0203975,0.2,0.0215545,1,0.0549018,1,0.0599525,5e-04,0.360144,5e-04,0.197255,5e-08,0.345605,5e-08,0.291038,5e-04,0.472078,5e-08,0.0223399
"CRP.4337.49.2","CRP",5e-04,0.0946159,5e-04,0.0356264,0.001,0.109867,0.001,0.0746359,5e-04,0.102429,5e-04,0.13633,0.01,0.0410201,0.01,0.0370701,5e-04,0.0397632,5e-04,0.0108843,5e-04,0.0177575,5e-04,0.077366,5e-04,0.272544,5e-04,0.033413
"FGA.FGB.FGG.4907.56.1","D.dimer",5e-05,0.224611,1,0.368875,5e-05,0.0680546,0.001,0.351913,0.001,0.209348,5e-08,0.250841,0.001,0.0141397,0.01,0.0476416,5e-05,0.211389,0.2,0.502237,0.5,0.0448951,0.5,0.0420842,5e-04,0.251639,5e-04,0.345932
"CFH.4159.130.1","Factor.H",5e-08,0.0177371,5e-04,0.522422,5e-08,0.0525916,5e-04,0.365973,0.01,0.0658806,0.01,0.238447,5e-08,0.0165917,0.01,0.092017,5e-08,0.0206396,0.1,0.497932,5e-08,0.0296019,5e-08,0.350346,5e-08,0.160053,1,0.31507
"CSF3.8952.65.3","G.CSF",5e-08,0.462204,1,0.552632,5e-08,0.374144,5e-05,0.711708,0.05,0.186316,0.05,0.248728,0.01,0.0700351,0.05,0.125066,5e-08,0.401085,1,0.657844,0.05,0.0172698,0.05,0.0141779,0.1,0.0115938,0.05,0.00495938
"HP.3054.3.2","Haptoglobin..Mixed.Type",0.01,0.0307716,0.01,0.00661454,1,0.140556,5e-04,0.00449184,1,0.231179,5e-04,0.0658047,1,0.0385737,1,0.0287409,0.01,0.0285797,0.01,0.010712,0.01,0.0623587,0.01,0.0345291,0.001,0.106447,0.001,0.0619396
"IGFBP2.2570.72.5","IGFBP.2",5e-08,0.00689939,5e-08,0.112068,5e-08,0.000261037,5e-08,0.0460681,5e-08,0.000124901,5e-08,0.166523,5e-08,0.00318809,5e-08,0.382449,5e-08,0.0250202,5e-08,0.128399,5e-08,0.0470185,5e-08,0.137181,5e-08,0.152011,5e-05,0.305428
"IL10.2773.50.2","IL.10",0.001,0.0379876,0.001,0.0806674,5e-04,0.0465831,0.001,0.0823402,5e-05,0.240215,0.05,0.341461,5e-05,0.162651,5e-04,0.134691,0.001,0.0364561,0.001,0.0758356,0.001,0.0886381,0.001,0.135525,5e-05,0.00992534,5e-05,0.20714
"IL13.3072.4.2","IL.13",1,0.123711,1,0.109337,1,0.0501436,1,0.0437235,1,0.0214602,1,0.0157577,0.5,0.0180449,0.5,0.0165817,1,0.117118,1,0.0989804,1,0.3827,1,0.366274,5e-08,0.03277,5e-04,0.0615174
"IL3.4717.55.2","IL.3",5e-05,0.332559,5e-05,0.415134,1,0.186184,1,0.197372,0.05,0.365117,5e-05,0.302029,0.01,0.177849,0.01,0.170498,5e-05,0.393459,0.01,0.451146,0.01,0.12019,0.01,0.102956,0.1,0.205819,5e-05,0.0765673
"CXCL8.3447.64.2","IL.8",5e-05,0.367515,5e-08,0.422523,5e-05,0.254002,5e-05,0.247591,1,0.195619,1,0.192291,0.5,0.400433,5e-08,0.246229,5e-08,0.392321,5e-08,0.240163,5e-08,0.392681,5e-08,0.22219,0.05,0.504731,0.05,0.502486
"MMP9.2579.17.5","MMP.9",0.001,0.421203,5e-05,0.281471,0.001,0.343077,0.001,0.269976,0.05,0.283574,5e-05,0.211188,0.001,0.35993,0.001,0.140738,5e-08,0.442371,5e-05,0.349341,0.05,0.265772,0.05,0.245987,5e-08,0.140141,5e-04,0.318878
"PLG.3710.49.2","Plasminogen",5e-05,0.214994,0.5,0.229624,0.5,0.0206377,0.5,0.0166223,0.1,0.0823155,0.1,0.0798859,5e-05,0.121675,5e-05,0.190241,5e-08,0.133397,1,0.191189,1,0.131865,1,0.133888,5e-05,0.143768,5e-08,0.0634714
"RETN.3046.31.1","resistin",5e-05,0.138439,0.001,0.230533,0.001,0.0210986,0.001,0.0618192,5e-08,0.136654,1,0.41011,5e-08,0.0253549,0.01,0.175306,5e-08,0.132262,0.001,0.315067,5e-08,0.00931148,5e-04,0.0418921,5e-04,0.034611,5e-04,0.0189973
"APCS.2474.54.5","SAP",5e-08,0.293026,5e-08,0.119042,0.1,0.494627,5e-08,0.0231554,5e-05,0.267992,5e-08,0.118976,0.05,0.103441,5e-05,0.0234667,5e-08,0.275292,5e-08,0.152313,5e-08,0.403057,1,0.500465,0.001,0.208369,0.001,0.0395734
"TNC.4155.3.2","Tenascin",0.1,0.626769,5e-05,0.462598,0.1,0.536768,5e-04,0.495588,5e-04,0.462724,5e-08,0.604355,5e-04,0.484995,5e-08,0.309425,0.2,0.561229,5e-05,0.404058,0.2,0.0321054,0.2,0.0301629,0.2,0.100143,0.2,0.10434
"TNF.5936.53.3","TNF.a",0.001,0.043357,0.001,0.100415,0.001,0.0309294,0.001,0.059594,0.001,0.20567,0.001,0.341278,5e-05,0.226734,5e-08,0.49316,0.001,0.0283829,0.001,0.055661,5e-05,0.0285461,0.01,0.0919149,0.001,0.0640093,0.001,0.0749292
"TF.4162.54.2","Transferrin",0.05,0.0693723,0.05,0.0916964,0.05,0.0885758,0.05,0.107417,5e-04,0.015523,0.05,0.0957309,5e-08,0.0103262,0.01,0.44815,0.05,0.0841433,0.05,0.100014,5e-05,0.177277,0.2,0.398513,0.05,0.0927234,0.05,0.0904587
"VCAM1.2967.8.1","VCAM.1",5e-04,0.177468,5e-04,0.193294,5e-05,0.164598,0.01,0.304158,5e-04,0.228452,5e-04,0.26692,0.1,0.320979,0.1,0.306183,5e-04,0.181094,5e-04,0.205397,5e-08,0.344003,5e-08,0.122988,0.001,0.0976288,5e-04,0.01056
