Pheno,Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,0.0185025,0.0325996,0.139265,0.0648021,18,1.4867877287314,Y,N,0.94037,0.0267012343347206,N
Angiopoietin.2,Base,5e-05,0.00279679,0.407941,0.0541449,0.0653186,101,0.389402643839731,N,N,0.961027407407407,0.0172642265707155,N
Angiopoietin.2,Base,5e-04,0.0014792,0.54743,-0.0393769,0.0653617,419,0.261671406272898,N,N,0.961027407407407,0.0172642265707155,N
Angiopoietin.2,Base,0.001,0.000110671,0.869335,0.0107707,0.0654065,729,0.0608128350407891,N,N,0.9884822406639,0.005031128930941,N
Angiopoietin.2,Base,0.01,4.46246e-06,0.973649,0.00216279,0.0654099,4414,0.0115975778612666,N,N,0.991785680933852,0.00358216619645708,N
Angiopoietin.2,Base,0.05,0.00604373,0.223424,-0.079594,0.0652121,15384,0.650870177201934,N,N,0.961027407407407,0.0172642265707155,N
Angiopoietin.2,Base,0.1,0.00624703,0.215774,-0.0809216,0.0652055,25695,0.666000887441822,N,N,0.961027407407407,0.0172642265707155,N
Angiopoietin.2,Base,0.2,0.00245535,0.438163,-0.0507323,0.0653297,41797,0.358364298555934,N,N,0.961027407407407,0.0172642265707155,N
Angiopoietin.2,Base,0.5,0.000665373,0.686645,-0.0264095,0.0653883,74030,0.163267738033371,N,N,0.961027407407407,0.0172642265707155,N
Angiopoietin.2,Base,1,0.000665949,0.686517,-0.0264209,0.0653883,100006,0.163348703999287,N,N,0.961027407407407,0.0172642265707155,N
Apo.B,Base,5e-08,0.00439083,0.299602,-0.0663319,0.0638131,18,0.523455291820152,N,N,0.961027407407407,0.0172642265707155,N
Apo.B,Base,5e-05,0.00116034,0.594173,-0.034099,0.0639166,101,0.226087086994537,N,N,0.961027407407407,0.0172642265707155,N
Apo.B,Base,5e-04,0.00345743,0.357449,-0.0588607,0.063843,419,0.446785913579229,N,N,0.961027407407407,0.0172642265707155,N
Apo.B,Base,0.001,0.00125803,0.57904,-0.0355054,0.0639134,729,0.237291434235876,N,N,0.961027407407407,0.0172642265707155,N
Apo.B,Base,0.01,4.63093e-05,0.915257,0.00681213,0.0639522,4414,0.0384569408952181,N,N,0.9884822406639,0.005031128930941,N
Apo.B,Base,0.05,8.26995e-05,0.886921,0.00910332,0.063951,15384,0.0521150620082124,N,N,0.9884822406639,0.005031128930941,N
