Pheno,Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,0.00239415,0.443935,0.0500961,0.0653317,27,0.352680613686839,N,N,0.993214387351779,0.00295699803588768,N
Angiopoietin.2,Base,5e-05,5.44918e-05,0.908105,0.00755777,0.0654083,117,0.0418639331042607,N,N,0.993214387351779,0.00295699803588768,N
Angiopoietin.2,Base,5e-04,0.00405343,0.318983,-0.0651837,0.0652774,436,0.496232461779575,N,N,0.993214387351779,0.00295699803588768,N
Angiopoietin.2,Base,0.001,0.000228281,0.813225,-0.015469,0.0654026,746,0.0897892788348371,N,N,0.993214387351779,0.00295699803588768,N
Angiopoietin.2,Base,0.01,8.23694e-05,0.887145,-0.00929203,0.0654074,4433,0.0520053908184559,N,N,0.993214387351779,0.00295699803588768,N
Angiopoietin.2,Base,0.05,0.00701894,0.189402,-0.0857755,0.0651801,15404,0.722615439353982,N,N,0.993214387351779,0.00295699803588768,N
Angiopoietin.2,Base,0.1,0.00714352,0.185507,-0.0865335,0.065176,25715,0.731639697887129,N,N,0.993214387351779,0.00295699803588768,N
Angiopoietin.2,Base,0.2,0.00298475,0.392596,-0.0559348,0.0653124,41818,0.406054129562241,N,N,0.993214387351779,0.00295699803588768,N
Angiopoietin.2,Base,0.5,0.0009137,0.636381,-0.0309478,0.0653802,74054,0.196282795270485,N,N,0.993214387351779,0.00295699803588768,N
Angiopoietin.2,Base,1,0.000911324,0.63682,-0.0309075,0.0653803,100031,0.195983305582507,N,N,0.993214387351779,0.00295699803588768,N
Apo.B,Base,5e-08,0.000930944,0.633214,0.0305429,0.0639239,27,0.198449491700503,N,N,0.993214387351779,0.00295699803588768,N
Apo.B,Base,5e-05,0.00132171,0.569583,0.0363929,0.0639114,117,0.244442981303028,N,N,0.993214387351779,0.00295699803588768,N
Apo.B,Base,5e-04,4.23635e-07,0.99188,0.000651545,0.0639537,436,0.00354086664644634,N,N,0.995709652509652,0.0018672827568802,N
Apo.B,Base,0.001,0.000171729,0.837635,0.0131181,0.0639482,746,0.0769451842550796,N,N,0.993214387351779,0.00295699803588768,N
Apo.B,Base,0.01,0.000866418,0.645254,0.0294654,0.063926,4433,0.190269294536836,N,N,0.993214387351779,0.00295699803588768,N
Apo.B,Base,0.05,0.000518614,0.721735,0.0227966,0.0639371,15404,0.141622233404877,N,N,0.993214387351779,0.00295699803588768,N
Apo.B,Base,0.1,7.36763e-05,0.893229,0.00859236,0.0639513,25715,0.0490371853593067,N,N,0.993214387351779,0.00295699803588768,N
Apo.B,Base,0.2,9.8218e-05,0.876844,0.00992074,0.0639505,41818,0.0570776654316126,N,N,0.993214387351779,0.00295699803588768,N
Apo.B,Base,0.5,9.89439e-05,0.876394,0.00995734,0.0639505,74054,0.0573006043835952,N,N,0.993214387351779,0.00295699803588768,N
Apo.B,Base,1,3.2244e-05,0.929248,0.00568425,0.0639526,100031,0.031868364953677,N,N,0.993214387351779,0.00295699803588768,N
Apo.E3,Base,5e-08,3.24944e-05,0.928974,-0.00603759,0.0676659,27,0.0319964408121093,N,N,0.993214387351779,0.00295699803588768,N
Apo.E3,Base,5e-05,0.00208339,0.475168,0.0483442,0.0675964,117,0.323152814431258,N,N,0.993214387351779,0.00295699803588768,N
Apo.E3,Base,5e-04,0.00200017,0.48413,0.0473689,0.0675993,436,0.315038004674188,N,N,0.993214387351779,0.00295699803588768,N
Apo.E3,Base,0.001,0.00604198,0.223491,0.0823283,0.0674622,746,0.650739961252568,N,N,0.993214387351779,0.00295699803588768,N
Apo.E3,Base,0.01,0.00128752,0.574623,-0.0380046,0.0676234,4433,0.240616994819577,N,N,0.993214387351779,0.00295699803588768,N
Apo.E3,Base,0.05,0.000207699,0.821697,-0.0152643,0.0676599,15404,0.0852882986243123,N,N,0.993214387351779,0.00295699803588768,N
Apo.E3,Base,0.1,6.79007e-05,0.897476,0.00872764,0.0676647,25715,0.0469771563506789,N,N,0.993214387351779,0.00295699803588768,N
Apo.E3,Base,0.2,6.49755e-05,0.899696,-0.00853758,0.0676648,41818,0.0459042103664137,N,N,0.993214387351779,0.00295699803588768,N
Apo.E3,Base,0.5,4.096e-05,0.920284,0.0067786,0.0676656,74054,0.0360781285244738,N,N,0.993214387351779,0.00295699803588768,N
Apo.E3,Base,1,7.22519e-06,0.966474,0.00284698,0.0676667,100031,0.0148098248308878,N,N,0.993214387351779,0.00295699803588768,N
BNP.32,Base,5e-08,0.00865115,0.144958,0.0966585,0.0661049,27,0.838757811630257,N,N,0.993214387351779,0.00295699803588768,N
BNP.32,Base,5e-05,0.0208686,0.0231541,0.150124,0.0656963,117,1.63537209537102,Y,N,0.993214387351779,0.00295699803588768,N
BNP.32,Base,5e-04,0.0132958,0.0704338,0.119829,0.0659498,436,1.15221888019333,N,N,0.993214387351779,0.00295699803588768,N
BNP.32,Base,0.001,0.00890821,0.139095,0.0980841,0.0660963,746,0.856688481161351,N,N,0.993214387351779,0.00295699803588768,N
BNP.32,Base,0.01,0.000509125,0.724188,0.0234485,0.0663758,4433,0.140148675841792,N,N,0.993214387351779,0.00295699803588768,N
BNP.32,Base,0.05,0.000175234,0.83601,0.0137566,0.0663869,15404,0.0777885276819828,N,N,0.993214387351779,0.00295699803588768,N
BNP.32,Base,0.1,0.000133886,0.856417,-0.0120246,0.0663882,25715,0.0673147204844244,N,N,0.993214387351779,0.00295699803588768,N
BNP.32,Base,0.2,1.04458e-06,0.987249,0.00106212,0.0663927,41818,0.00557329749488929,N,N,0.995709652509652,0.0018672827568802,N
BNP.32,Base,0.5,1.79202e-05,0.947224,-0.00439921,0.0663921,74054,0.0235473066774066,N,N,0.993214387351779,0.00295699803588768,N
BNP.32,Base,1,6.3159e-05,0.901101,-0.00825888,0.0663906,100031,0.0452265283501886,N,N,0.993214387351779,0.00295699803588768,N
C1.Esterase.Inhibitor,Base,5e-08,0.00255769,0.428762,-0.0456918,0.0576468,27,0.367783711938437,N,N,0.993214387351779,0.00295699803588768,N
C1.Esterase.Inhibitor,Base,5e-05,0.00304414,0.38792,-0.0498479,0.0576328,117,0.411257828892532,N,N,0.993214387351779,0.00295699803588768,N
C1.Esterase.Inhibitor,Base,5e-04,0.000454937,0.738715,-0.0192704,0.0577076,436,0.131523082309609,N,N,0.993214387351779,0.00295699803588768,N
C1.Esterase.Inhibitor,Base,0.001,0.00127421,0.576608,-0.0322504,0.0576839,746,0.239119336398465,N,N,0.993214387351779,0.00295699803588768,N
C1.Esterase.Inhibitor,Base,0.01,0.000274547,0.795552,-0.01497,0.0577128,4433,0.0993314281167314,N,N,0.993214387351779,0.00295699803588768,N
C1.Esterase.Inhibitor,Base,0.05,0.00438043,0.300177,0.0597962,0.0575941,15404,0.522622587095251,N,N,0.993214387351779,0.00295699803588768,N
C1.Esterase.Inhibitor,Base,0.1,0.00351123,0.353729,0.0535358,0.0576193,25715,0.451329333672136,N,N,0.993214387351779,0.00295699803588768,N
C1.Esterase.Inhibitor,Base,0.2,0.00484641,0.275759,0.0628962,0.0575807,41818,0.559470304503174,N,N,0.993214387351779,0.00295699803588768,N
C1.Esterase.Inhibitor,Base,0.5,0.00730628,0.180557,0.0772259,0.0575095,74054,0.743385669782474,N,N,0.993214387351779,0.00295699803588768,N
C1.Esterase.Inhibitor,Base,1,0.00830294,0.153345,0.0823248,0.0574806,100031,0.814330380149777,N,N,0.993214387351779,0.00295699803588768,N
C3,Base,5e-08,0.00079181,0.659873,0.0251524,0.0570839,27,0.180539641286162,N,N,0.993214387351779,0.00295699803588768,N
C3,Base,5e-05,0.00488019,0.274088,0.0624435,0.056967,117,0.562109978133853,N,N,0.993214387351779,0.00295699803588768,N
C3,Base,5e-04,0.00422003,0.309217,0.0580666,0.0569859,436,0.509736637641039,N,N,0.993214387351779,0.00295699803588768,N
C3,Base,0.001,6.03796e-05,0.903291,-0.00694566,0.0571048,746,0.044172316867998,N,N,0.993214387351779,0.00295699803588768,N
C3,Base,0.01,0.00261397,0.423722,0.0457002,0.0570318,4433,0.372918986481523,N,N,0.993214387351779,0.00295699803588768,N
C3,Base,0.05,0.00211654,0.471672,0.0411227,0.057046,15404,0.326359904136792,N,N,0.993214387351779,0.00295699803588768,N
C3,Base,0.1,8.5644e-06,0.963501,0.00261587,0.0571062,25715,0.0161478302620243,N,N,0.993214387351779,0.00295699803588768,N
C3,Base,0.2,0.000541359,0.715956,-0.0207975,0.057091,41818,0.14511366699993,N,N,0.993214387351779,0.00295699803588768,N
C3,Base,0.5,0.000601598,0.701286,-0.0219241,0.0570893,74054,0.154104830976358,N,N,0.993214387351779,0.00295699803588768,N
C3,Base,1,0.000695954,0.679913,-0.0235808,0.0570866,100031,0.167546654995487,N,N,0.993214387351779,0.00295699803588768,N
C4,Base,5e-08,9.73006e-05,0.877416,0.00914691,0.0592397,27,0.0567944503409735,N,N,0.993214387351779,0.00295699803588768,N
C4,Base,5e-05,7.42141e-05,0.892842,0.0079884,0.0592403,117,0.049225388367056,N,N,0.993214387351779,0.00295699803588768,N
C4,Base,5e-04,9.96757e-06,0.960627,-0.0029276,0.0592422,436,0.0174452109656166,N,N,0.993214387351779,0.00295699803588768,N
C4,Base,0.001,8.93187e-05,0.882514,-0.00876371,0.0592399,746,0.0542783963372848,N,N,0.993214387351779,0.00295699803588768,N
C4,Base,0.01,7.77461e-07,0.989,0.000817629,0.0592425,4433,0.0048037084028206,N,N,0.995709652509652,0.0018672827568802,N
C4,Base,0.05,0.000492347,0.728589,0.0205756,0.059228,15404,0.13751738988159,N,N,0.993214387351779,0.00295699803588768,N
C4,Base,0.1,0.00276573,0.41056,0.0487665,0.0591606,25715,0.386623365305166,N,N,0.993214387351779,0.00295699803588768,N
C4,Base,0.2,0.0034565,0.357514,0.0545174,0.0591401,41818,0.446706946859548,N,N,0.993214387351779,0.00295699803588768,N
C4,Base,0.5,0.00638386,0.210799,0.0740898,0.0590531,74054,0.67613145368488,N,N,0.993214387351779,0.00295699803588768,N
C4,Base,1,0.00596536,0.226459,0.0716201,0.0590656,100031,0.64501041477936,N,N,0.993214387351779,0.00295699803588768,N
Clusterin,Base,5e-08,0.00454901,0.291038,-0.0651765,0.061597,27,0.536050302722415,N,N,0.993214387351779,0.00295699803588768,N
Clusterin,Base,5e-05,0.000757024,0.66697,-0.0265881,0.0617142,117,0.175893700007691,N,N,0.993214387351779,0.00295699803588768,N
Clusterin,Base,5e-04,1.29451e-05,0.955135,0.00347684,0.0617372,436,0.019935240341427,N,N,0.993214387351779,0.00295699803588768,N
Clusterin,Base,0.001,7.64961e-06,0.965504,0.00267271,0.0617374,746,0.0152459226361876,N,N,0.993214387351779,0.00295699803588768,N
Clusterin,Base,0.01,5.14539e-06,0.971705,0.00219201,0.0617375,4433,0.0124655625610706,N,N,0.994658661417323,0.00232593121019074,N
Clusterin,Base,0.05,0.000420063,0.748579,-0.0198057,0.0617246,15404,0.12576236037955,N,N,0.993214387351779,0.00295699803588768,N
