Pheno,Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,0.0072198,0.280827,0.0823983,0.0761499,17,0.551561139464954,N,N,0.979218130081301,0.00912055422488877,N
Angiopoietin.2,Base,5e-05,0.00213198,0.558351,0.0447762,0.0763448,102,0.253092701708954,N,N,0.979218130081301,0.00912055422488877,N
Angiopoietin.2,Base,5e-04,0.00317249,0.475128,-0.0546205,0.076305,417,0.323189375206609,N,N,0.979218130081301,0.00912055422488877,N
Angiopoietin.2,Base,0.001,0.00708631,0.285335,-0.081633,0.076155,733,0.544644953283084,N,N,0.979218130081301,0.00912055422488877,N
Angiopoietin.2,Base,0.01,0.000104664,0.896871,0.00992099,0.0764223,4420,0.0472700185133578,N,N,0.979218130081301,0.00912055422488877,N
Angiopoietin.2,Base,0.05,3.56665e-06,0.980911,-0.00183141,0.0764262,15335,0.00837039523201086,N,N,0.994794263565891,0.00226672773348696,N
Angiopoietin.2,Base,0.1,0.00150068,0.623447,-0.0375664,0.076369,25611,0.205200460526883,N,N,0.979218130081301,0.00912055422488877,N
Angiopoietin.2,Base,0.2,0.00122998,0.656711,-0.0340099,0.0763793,41446,0.182625709158894,N,N,0.979218130081301,0.00912055422488877,N
Angiopoietin.2,Base,0.5,0.000237875,0.845072,-0.0149565,0.0764172,73235,0.0731062876531554,N,N,0.979218130081301,0.00912055422488877,N
Angiopoietin.2,Base,1,0.000832271,0.714686,-0.0279762,0.0763945,98642,0.145884725219804,N,N,0.979218130081301,0.00912055422488877,N
Apo.B,Base,5e-08,0.0078236,0.261511,-0.0887344,0.0787536,17,0.582510038579397,N,N,0.979218130081301,0.00912055422488877,N
Apo.B,Base,5e-05,0.0227128,0.0548007,-0.15119,0.0781605,102,1.26121389399381,N,N,0.979218130081301,0.00912055422488877,N
Apo.B,Base,5e-04,0.000634277,0.749634,-0.0252655,0.0790384,417,0.125150724044611,N,N,0.979218130081301,0.00912055422488877,N
Apo.B,Base,0.001,2.10877e-06,0.985322,0.00145681,0.0790634,733,0.00642182029366216,N,N,0.994794263565891,0.00226672773348696,N
Apo.B,Base,0.01,0.00511162,0.364426,0.0717247,0.0788612,4420,0.438390645821658,N,N,0.979218130081301,0.00912055422488877,N
Apo.B,Base,0.05,0.00223274,0.549187,0.0474032,0.0789752,15335,0.260279751652119,N,N,0.979218130081301,0.00912055422488877,N
Apo.B,Base,0.1,0.00104366,0.682251,0.0324091,0.0790222,25611,0.166055819096448,N,N,0.979218130081301,0.00912055422488877,N
Apo.B,Base,0.2,0.0114162,0.174593,0.107189,0.0786109,41446,0.757973172556655,N,N,0.979218130081301,0.00912055422488877,N
Apo.B,Base,0.5,0.0175253,0.0920482,0.132807,0.0783676,73235,1.03598469969349,N,N,0.979218130081301,0.00912055422488877,N
Apo.B,Base,1,0.0161455,0.105998,0.127472,0.0784226,98642,0.974702329048042,N,N,0.979218130081301,0.00912055422488877,N
Apo.E3,Base,5e-08,0.010748,0.187827,0.0949451,0.0717876,17,0.726241978054081,N,N,0.979218130081301,0.00912055422488877,N
Apo.E3,Base,5e-05,0.00260888,0.517288,-0.0467774,0.0720824,102,0.286267596197975,N,N,0.979218130081301,0.00912055422488877,N
Apo.E3,Base,5e-04,0.00186678,0.583936,0.0395691,0.0721092,417,0.233634749411502,N,N,0.979218130081301,0.00912055422488877,N
Apo.E3,Base,0.001,0.000611387,0.754046,-0.0226447,0.0721545,733,0.122602159519088,N,N,0.979218130081301,0.00912055422488877,N
Apo.E3,Base,0.01,0.00219866,0.552255,-0.0429426,0.0720972,4420,0.257860343428317,N,N,0.979218130081301,0.00912055422488877,N
Apo.E3,Base,0.05,0.000177934,0.865794,-0.0122163,0.0721702,15335,0.06258542819706,N,N,0.979218130081301,0.00912055422488877,N
Apo.E3,Base,0.1,0.000236058,0.845657,0.0140708,0.0721681,25611,0.0728057518700085,N,N,0.979218130081301,0.00912055422488877,N
Apo.E3,Base,0.2,0.000104844,0.896783,0.00937736,0.0721728,41446,0.0473126331028362,N,N,0.979218130081301,0.00912055422488877,N
Apo.E3,Base,0.5,0.00363549,0.444516,-0.0552193,0.0720453,73235,0.352112602327846,N,N,0.979218130081301,0.00912055422488877,N
Apo.E3,Base,1,0.0019675,0.573953,-0.0406225,0.0721055,98642,0.241123669755984,N,N,0.979218130081301,0.00912055422488877,N
BNP.32,Base,5e-08,0.0174414,0.0928371,-0.124648,0.0737332,17,1.03227843428321,N,N,0.979218130081301,0.00912055422488877,N
BNP.32,Base,5e-05,0.0165573,0.101609,-0.121448,0.0737663,102,0.993067822788044,N,N,0.979218130081301,0.00912055422488877,N
BNP.32,Base,5e-04,0.00375347,0.437206,-0.0578246,0.074245,417,0.35931388663768,N,N,0.979218130081301,0.00912055422488877,N
BNP.32,Base,0.001,0.00389812,0.42849,0.0589283,0.0742396,733,0.368059309086165,N,N,0.979218130081301,0.00912055422488877,N
BNP.32,Base,0.01,3.93106e-05,0.936688,0.00591768,0.0743832,4420,0.0284050435226531,N,N,0.98464935483871,0.00671839932001457,N
BNP.32,Base,0.05,0.00433974,0.403425,0.0621768,0.0742231,15335,0.394237192326455,N,N,0.979218130081301,0.00912055422488877,N
BNP.32,Base,0.1,0.00838208,0.245082,0.0864117,0.0740723,25611,0.610688584250726,N,N,0.979218130081301,0.00912055422488877,N
BNP.32,Base,0.2,0.00398427,0.423423,0.0595759,0.0742364,41446,0.373225555145639,N,N,0.979218130081301,0.00912055422488877,N
BNP.32,Base,0.5,0.00202967,0.567958,0.0425215,0.0743092,73235,0.245683778800694,N,N,0.979218130081301,0.00912055422488877,N
BNP.32,Base,1,0.000967926,0.693395,0.0293642,0.0743487,98642,0.159019294321155,N,N,0.979218130081301,0.00912055422488877,N
C1.Esterase.Inhibitor,Base,5e-08,0.00341766,0.458518,0.0666181,0.0896543,17,0.338643610599782,N,N,0.979218130081301,0.00912055422488877,N
C1.Esterase.Inhibitor,Base,5e-05,0.000559293,0.764437,-0.0269493,0.0897828,102,0.11665830054567,N,N,0.979218130081301,0.00912055422488877,N
C1.Esterase.Inhibitor,Base,5e-04,0.0015732,0.615173,0.0451981,0.0897373,417,0.21100273401341,N,N,0.979218130081301,0.00912055422488877,N
C1.Esterase.Inhibitor,Base,0.001,0.000883377,0.706447,0.0338689,0.0897682,733,0.150920414807564,N,N,0.979218130081301,0.00912055422488877,N
C1.Esterase.Inhibitor,Base,0.01,0.000495203,0.777971,0.0253583,0.0897857,4420,0.109036591666753,N,N,0.979218130081301,0.00912055422488877,N
C1.Esterase.Inhibitor,Base,0.05,0.00253539,0.523256,0.0573786,0.089694,15335,0.281285783052436,N,N,0.979218130081301,0.00912055422488877,N
C1.Esterase.Inhibitor,Base,0.1,0.000131977,0.884277,0.0130911,0.089802,25611,0.0534116708154524,N,N,0.979218130081301,0.00912055422488877,N
C1.Esterase.Inhibitor,Base,0.2,0.00156974,0.615562,0.0451483,0.0897374,41446,0.210728197969362,N,N,0.979218130081301,0.00912055422488877,N
C1.Esterase.Inhibitor,Base,0.5,0.000716634,0.734448,0.0305054,0.0897757,73235,0.134038947474141,N,N,0.979218130081301,0.00912055422488877,N
C1.Esterase.Inhibitor,Base,1,0.000697916,0.737811,0.0301043,0.0897766,98642,0.132054874178761,N,N,0.979218130081301,0.00912055422488877,N
C3,Base,5e-08,0.0159153,0.108541,0.145029,0.0898772,17,0.964406181535967,N,N,0.979218130081301,0.00912055422488877,N
C3,Base,5e-05,0.00827695,0.248076,0.104588,0.0902253,102,0.605415249318024,N,N,0.979218130081301,0.00912055422488877,N
