Pheno,Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,0.00437488,0.401524,-0.0641415,0.076259,26,0.396288490843447,N,N,0.953260504201681,0.0207884004348927,N
Angiopoietin.2,Base,5e-05,0.000921252,0.700515,-0.0294337,0.0763911,117,0.154582560810067,N,N,0.955633299492386,0.0197087254627347,N
Angiopoietin.2,Base,5e-04,0.0078677,0.260165,-0.0860161,0.0761251,434,0.584751129485691,N,N,0.949960555555556,0.0222944271955807,N
Angiopoietin.2,Base,0.001,0.0120799,0.162494,-0.106583,0.0759633,750,0.789162670469716,N,N,0.828400784313725,0.0817594985968349,N
Angiopoietin.2,Base,0.01,9.55311e-05,0.901449,-0.00947825,0.0764227,4439,0.0450588387087585,N,N,0.982724937238494,0.00756802332351226,N
Angiopoietin.2,Base,0.05,0.000192738,0.860377,-0.0134629,0.076419,15355,0.0653112078924259,N,N,0.970973333333333,0.0127926973270256,N
Angiopoietin.2,Base,0.1,0.00234044,0.539697,-0.0469142,0.0763368,25631,0.267849996029778,N,N,0.955633299492386,0.0197087254627347,N
Angiopoietin.2,Base,0.2,0.00188119,0.582486,-0.0420603,0.0763544,41467,0.234714508406345,N,N,0.955633299492386,0.0197087254627347,N
Angiopoietin.2,Base,0.5,0.000508055,0.775185,-0.021858,0.0764069,73259,0.110594639569592,N,N,0.970973333333333,0.0127926973270256,N
Angiopoietin.2,Base,1,0.00129475,0.648377,-0.0348938,0.0763768,98667,0.188172399360612,N,N,0.955633299492386,0.0197087254627347,N
Apo.B,Base,5e-08,0.00170715,0.600498,0.04145,0.078996,26,0.221488434706388,N,N,0.955633299492386,0.0197087254627347,N
Apo.B,Base,5e-05,0.00104402,0.682199,-0.0324148,0.0790222,117,0.166088921537827,N,N,0.955633299492386,0.0197087254627347,N
Apo.B,Base,5e-04,0.00103914,0.682902,0.032339,0.0790224,434,0.165641615371078,N,N,0.955633299492386,0.0197087254627347,N
Apo.B,Base,0.001,0.00221334,0.550929,0.0471969,0.078976,750,0.258904366474943,N,N,0.955633299492386,0.0197087254627347,N
Apo.B,Base,0.01,0.0089063,0.230786,0.0946755,0.0787106,4439,0.636790540001401,N,N,0.949960555555556,0.0222944271955807,N
Apo.B,Base,0.05,0.0038098,0.43378,0.0619213,0.0789127,15355,0.362730475581098,N,N,0.953260504201681,0.0207884004348927,N
Apo.B,Base,0.1,0.00193488,0.577149,0.0441282,0.078987,25631,0.238712052486984,N,N,0.955633299492386,0.0197087254627347,N
