Phenotype,Set,Threshold,PRS.R2,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Protein,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,0.0253693,0.0253693,0,-,0.156816,0.0494085,0.00162385,17,ANGPT2.13660.76.3,2.78945409035407,Y,N,0.0422201,1.37448074238325,Y
Apo.B,Base,5e-05,0.0101056,0.0101056,0,-,-0.100467,0.0505455,0.0475501,101,APOB.2797.56.2,1.32284856538477,Y,N,0.154537825,0.810965204405894,N
Apo.E3,Base,5e-08,0.00426106,0.00426106,0,-,0.0649815,0.0504949,0.198898,17,APOE.2937.10.2,0.701369583860636,N,N,0.309279578947368,0.509648754562803,N
BNP.32,Base,5e-08,0.0037852,0.0037852,0,-,-0.0619198,0.051063,0.226012,17,NPPB.3723.1.2,0.645868501580792,N,N,0.309279578947368,0.509648754562803,N
C1.Esterase.Inhibitor,Base,0.2,0.0068172,0.0068172,0,-,0.082721,0.0507542,0.103946,41842,SERPING1.4479.14.2,0.983192218322428,N,N,0.225324666666667,0.647191262733178,N
C3,Base,0.01,0.0123968,0.0123968,0,-,0.11212,0.0508702,0.0281065,4412,C3.2755.8.2,1.55119323213445,Y,N,0.154537825,0.810965204405894,N
C4,Base,5e-08,0.00681523,0.00681523,0,-,-0.0814348,0.0499723,0.103996,17,C4A.C4B.4481.34.2,0.982983364656371,N,N,0.225324666666667,0.647191262733178,N
Clusterin,Base,5e-04,0.00205305,0.00205305,0,-,0.0454093,0.0508914,0.372795,418,CLU.4542.24.2,0.428529921122164,N,N,0.421420434782609,0.375284409168939,N
CRP,Base,5e-04,0.0072028,0.0072028,0,-,-0.0858939,0.051261,0.0946159,418,CRP.4337.49.2,1.02403587520475,N,N,0.225324666666667,0.647191262733178,N
D.dimer,Base,5e-05,0.00380809,0.00380809,0,-,0.0619357,0.0509217,0.224611,101,FGA.FGB.FGG.4907.56.1,0.64856897860742,N,N,0.309279578947368,0.509648754562803,N
Factor.H,Base,5e-08,0.0144398,0.0144398,0,-,-0.121697,0.0511074,0.0177371,17,CFH.4159.130.1,1.75111738545986,Y,N,0.153721533333333,0.813265292208701,N
G.CSF,Base,5e-08,0.00139759,0.00139759,0,-,-0.0381067,0.0517788,0.462204,17,CSF3.8952.65.3,0.335166300374844,N,N,0.48069216,0.318132961076064,N
Haptoglobin..Mixed.Type,Base,0.01,0.0119985,0.0119985,0,-,0.103425,0.0477072,0.0307716,4412,HP.3054.3.2,1.51184992159117,Y,N,0.154537825,0.810965204405894,N
IGFBP.2,Base,5e-08,0.0187065,0.0187065,0,-,0.136576,0.0502831,0.00689939,17,IGFBP2.2570.72.5,2.16118930510983,Y,N,0.08969207,1.04724595280299,Y
IL.10,Base,0.001,0.0110777,0.0110777,0,-,-0.107969,0.0518559,0.0379876,732,IL10.2773.50.2,1.42035814365722,Y,N,0.154537825,0.810965204405894,N
IL.13,Base,1,0.00611226,0.00611226,0,-,-0.0795338,0.0515542,0.123711,100633,IL13.3072.4.2,0.907591682530087,N,N,0.247422,0.606561686866106,N
IL.3,Base,5e-05,0.00242627,0.00242627,0,-,0.0501894,0.051732,0.332559,101,IL3.4717.55.2,0.478131294416969,N,N,0.411739714285714,0.385377241180071,N
IL.8,Base,5e-05,0.0020988,0.0020988,0,-,0.0453632,0.0502813,0.367515,101,CXCL8.3447.64.2,0.434724930636154,N,N,0.421420434782609,0.375284409168939,N
MMP.9,Base,0.001,0.00167246,0.00167246,0,-,0.0409595,0.0508695,0.421203,732,MMP9.2579.17.5,0.375508544232026,N,N,0.45630325,0.340746437972814,N
Plasminogen,Base,5e-05,0.00396998,0.00396998,0,-,-0.0636865,0.0512783,0.214994,101,PLG.3710.49.2,0.667573660099519,N,N,0.309279578947368,0.509648754562803,N
resistin,Base,5e-05,0.00566352,0.00566352,0,-,0.0763319,0.0514132,0.138439,101,RETN.3046.31.1,0.858741546448485,N,N,0.257101,0.589896234155905,N
SAP,Base,5e-08,0.00285659,0.00285659,0,-,-0.0541057,0.0513857,0.293026,17,APCS.2474.54.5,0.533093843278778,N,N,0.3809338,0.419150490971941,N
Tenascin,Base,0.1,0.000611626,0.000611626,0,-,-0.0246559,0.0506627,0.626769,25716,TNC.4155.3.2,0.202892491880979,N,N,0.626769,0.202892491880979,N
TNF.a,Base,0.001,0.010504,0.010504,0,-,0.102622,0.0506307,0.043357,732,TNF.5936.53.3,1.36294077555915,Y,N,0.154537825,0.810965204405894,N
Transferrin,Base,0.05,0.00849594,0.00849594,0,-,0.0909074,0.0499212,0.0693723,15386,TF.4162.54.2,1.15881390646991,N,N,0.200408866666667,0.69808306793842,N
VCAM.1,Base,5e-04,0.00469442,0.00469442,0,-,-0.069713,0.0515995,0.177468,418,VCAM1.2967.8.1,0.75087994501056,N,N,0.3076112,0.511997856095423,N
