Phenotype,Set,Threshold,PRS.R2,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Protein,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-04,0.00214481,0.00214481,0,-,-0.0508476,0.0721612,0.481738,436,ANGPT2.13660.76.3,0.317189094728953,N,N,0.50100752,0.300155755430172,N
Apo.B,Base,5e-05,0.00652483,0.00652483,0,-,-0.0800398,0.0649822,0.219295,118,APOB.2797.56.2,0.658971270270332,N,N,0.362325888888889,0.440900633672071,N
Apo.E3,Base,0.01,0.0155757,0.0155757,0,-,-0.119813,0.062671,0.0571309,4445,APOE.2937.10.2,1.24312893431587,N,N,0.2851537,0.54492098887229,N
BNP.32,Base,0.001,0.00877856,0.00877856,0,-,0.100098,0.0699834,0.153966,752,NPPB.3723.1.2,0.812575172946907,N,N,0.360799833333333,0.442733671746588,N
C1.Esterase.Inhibitor,Base,0.2,0.0163457,0.0163457,0,-,0.141952,0.0724527,0.0512782,41728,SERPING1.4479.14.2,1.29006722810288,N,N,0.2851537,0.54492098887229,N
C3,Base,5e-08,0.0198648,0.0198648,0,-,0.153604,0.0709902,0.0315012,28,C3.2755.8.2,1.50167290197383,Y,N,0.2730104,0.563820808722679,N
C4,Base,0.01,0.00346845,0.00346845,0,-,0.0610899,0.0681304,0.370825,4445,C4A.C4B.4481.34.2,0.430830994602911,N,N,0.41919347826087,0.377585482649686,N
Clusterin,Base,0.2,0.0226495,0.0226495,0,-,0.151542,0.065497,0.0215545,41728,CLU.4542.24.2,1.66646204702765,Y,N,0.2730104,0.563820808722679,N
CRP,Base,5e-04,0.00957968,0.00957968,0,-,-0.100368,0.0671463,0.13633,436,CRP.4337.49.2,0.865408565289123,N,N,0.354458,0.450435217318305,N
D.dimer,Base,5e-08,0.00570407,0.00570407,0,-,-0.0796401,0.0691817,0.250841,28,FGA.FGB.FGG.4907.56.1,0.600601476539583,N,N,0.362325888888889,0.440900633672071,N
Factor.H,Base,0.01,0.00601086,0.00601086,0,-,-0.0788996,0.0667561,0.238447,4445,CFH.4159.130.1,0.622608137233644,N,N,0.362325888888889,0.440900633672071,N
G.CSF,Base,0.05,0.00575505,0.00575505,0,-,-0.0790712,0.0683808,0.248728,15415,CSF3.8952.65.3,0.604275322245097,N,N,0.362325888888889,0.440900633672071,N
Haptoglobin..Mixed.Type,Base,5e-04,0.0145756,0.0145756,0,-,0.0978327,0.052927,0.0658047,436,HP.3054.3.2,1.18174308645946,N,N,0.2851537,0.54492098887229,N
IGFBP.2,Base,5e-08,0.00826869,0.00826869,0,-,0.0887996,0.0639858,0.166523,28,IGFBP2.2570.72.5,0.778525773669781,N,N,0.360799833333333,0.442733671746588,N
IL.10,Base,0.05,0.00391814,0.00391814,0,-,0.0556262,0.0583554,0.341461,15415,IL10.2773.50.2,0.466658892134764,N,N,0.403544818181818,0.394108224986152,N
IL.13,Base,1,0.0249711,0.0249711,0,-,-0.164859,0.0677792,0.0157577,99686,IL13.3072.4.2,1.80250717201163,Y,N,0.2730104,0.563820808722679,N
IL.3,Base,5e-05,0.00461046,0.00461046,0,-,0.0724268,0.0700193,0.302029,118,IL3.4717.55.2,0.519951355270302,N,N,0.3926377,0.406008002963466,N
IL.8,Base,1,0.00734764,0.00734764,0,-,0.047412,0.0362582,0.192291,99686,CXCL8.3447.64.2,0.716041042031963,N,N,0.362325888888889,0.440900633672071,N
MMP.9,Base,5e-05,0.00675877,0.00675877,0,-,0.0874359,0.0697393,0.211188,118,MMP9.2579.17.5,0.675330762662105,N,N,0.362325888888889,0.440900633672071,N
Plasminogen,Base,0.1,0.0132176,0.0132176,0,-,0.111089,0.0631538,0.0798859,25721,PLG.3710.49.2,1.09752986765186,N,N,0.296719057142857,0.527654559695303,N
resistin,Base,1,0.00293909,0.00293909,0,-,-0.0547789,0.0663837,0.41011,99686,RETN.3046.31.1,0.387099640876207,N,N,0.444285833333333,0.352337534616995,N
SAP,Base,5e-08,0.0104894,0.0104894,0,-,0.105935,0.0676969,0.118976,28,APCS.2474.54.5,0.924540636244214,N,N,0.343708444444444,0.463809797712721,N
Tenascin,Base,5e-08,0.00116405,0.00116405,0,-,0.0335025,0.0645701,0.604355,28,TNC.4155.3.2,0.218707880499886,N,N,0.604355,0.218707880499886,N
TNF.a,Base,0.001,0.0039211,0.0039211,0,-,0.0648918,0.0680498,0.341278,752,TNF.5936.53.3,0.466891706994005,N,N,0.403544818181818,0.394108224986152,N
Transferrin,Base,0.05,0.0119671,0.0119671,0,-,0.108191,0.0646809,0.0957309,15415,TF.4162.54.2,1.01894785811183,N,N,0.311125425,0.507064497132957,N
VCAM.1,Base,5e-04,0.0053326,0.0053326,0,-,-0.0713977,0.0641575,0.26692,436,VCAM1.2967.8.1,0.573618883821266,N,N,0.365258947368421,0.437399136803277,N
