Phenotype,Set,Threshold,PRS.R2,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Protein,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,0.0101607,0.0101607,0,-,0.100468,0.0490926,0.0413453,17,ANGPT2.13660.76.3,1.38357385249785,Y,N,0.153568257142857,0.813698544541286,N
Apo.B,Base,5e-05,0.00683481,0.00683481,0,-,-0.0827568,0.0493879,0.0945697,101,APOB.2797.56.2,1.02424798865803,N,N,0.24588122,0.609274640687208,N
Apo.E3,Base,5e-08,0.00577117,0.00577117,0,-,0.0758677,0.049299,0.124593,17,APOE.2937.10.2,0.904506356928627,N,N,0.247737285714286,0.606008624979184,N
BNP.32,Base,5e-08,0.00396036,0.00396036,0,-,-0.0627066,0.0492327,0.203499,17,NPPB.3723.1.2,0.691437720569223,N,N,0.305339666666667,0.515216772853582,N
C1.Esterase.Inhibitor,Base,0.2,0.00450667,0.00450667,0,-,0.0681386,0.0501366,0.174875,41869,SERPING1.4479.14.2,0.757272272500116,N,N,0.29427775,0.531242573162092,N
C3,Base,0.01,0.00759212,0.00759212,0,-,0.087798,0.0496956,0.0780199,4423,C3.2755.8.2,1.10779461066965,N,N,0.243080644444444,0.614249620941246,N
C4,Base,5e-08,0.00363498,0.00363498,0,-,-0.0601139,0.0492723,0.223153,17,C4A.C4B.4481.34.2,0.651397270263345,N,N,0.305367263157895,0.515177523245356,N
Clusterin,Base,5e-04,0.00205281,0.00205281,0,-,0.0453338,0.0494847,0.360144,418,CLU.4542.24.2,0.443523816174248,N,N,0.43450875,0.362001473442118,N
CRP,Base,5e-04,0.0103214,0.0103214,0,-,-0.101564,0.0492368,0.0397632,418,CRP.4337.49.2,1.400518672403,Y,N,0.153568257142857,0.813698544541286,N
D.dimer,Base,5e-05,0.00382545,0.00382545,0,-,0.0620461,0.0495691,0.211389,101,FGA.FGB.FGG.4907.56.1,0.674917615721094,N,N,0.305339666666667,0.515216772853582,N
Factor.H,Base,5e-08,0.0130594,0.0130594,0,-,-0.113975,0.0490528,0.0206396,17,CFH.4159.130.1,1.68529872368611,Y,N,0.153568257142857,0.813698544541286,N
G.CSF,Base,5e-08,0.00172872,0.00172872,0,-,-0.0414674,0.0493331,0.401085,17,CSF3.8952.65.3,0.39676357970133,N,N,0.43450875,0.362001473442118,N
Haptoglobin..Mixed.Type,Base,0.01,0.011692,0.011692,0,-,0.108927,0.0495801,0.0285797,4423,HP.3054.3.2,1.54394233429342,Y,N,0.153568257142857,0.813698544541286,N
IGFBP.2,Base,5e-08,0.012249,0.012249,0,-,0.110397,0.0490797,0.0250202,17,IGFBP2.2570.72.5,1.60170922307788,Y,N,0.153568257142857,0.813698544541286,N
IL.10,Base,0.001,0.01068,0.01068,0,-,-0.104453,0.0497708,0.0364561,732,IL10.2773.50.2,1.43822979314328,Y,N,0.153568257142857,0.813698544541286,N
IL.13,Base,1,0.0060074,0.0060074,0,-,-0.0782618,0.0498389,0.117118,100576,IL13.3072.4.2,0.931376352579913,N,N,0.247737285714286,0.606008624979184,N
IL.3,Base,5e-05,0.00178544,0.00178544,0,-,0.0423094,0.0495274,0.393459,101,IL3.4717.55.2,0.405100516167579,N,N,0.43450875,0.362001473442118,N
IL.8,Base,5e-08,0.00179404,0.00179404,0,-,-0.0422576,0.0493479,0.392321,17,CXCL8.3447.64.2,0.406358444508688,N,N,0.43450875,0.362001473442118,N
MMP.9,Base,5e-08,0.0014471,0.0014471,0,-,-0.0378174,0.0491812,0.442371,17,MMP9.2579.17.5,0.354213351307311,N,N,0.46006584,0.337180012008531,N
Plasminogen,Base,5e-08,0.0055123,0.0055123,0,-,-0.0741406,0.0493014,0.133397,17,PLG.3710.49.2,0.874853937271764,N,N,0.247737285714286,0.606008624979184,N
resistin,Base,5e-08,0.00554459,0.00554459,0,-,0.0741399,0.0491564,0.132262,17,RETN.3046.31.1,0.878564914397827,N,N,0.247737285714286,0.606008624979184,N
SAP,Base,5e-08,0.00291641,0.00291641,0,-,-0.05376,0.049212,0.275292,17,APCS.2474.54.5,0.560206409043783,N,N,0.3578796,0.446263056736946,N
Tenascin,Base,0.2,0.000828069,0.000828069,0,-,-0.0292132,0.0502385,0.561229,41869,TNC.4155.3.2,0.250859896063893,N,N,0.561229,0.250859896063893,N
TNF.a,Base,0.001,0.0117209,0.0117209,0,-,0.109301,0.0496881,0.0283829,732,TNF.5936.53.3,1.54694323292176,Y,N,0.153568257142857,0.813698544541286,N
Transferrin,Base,0.05,0.00729333,0.00729333,0,-,0.0871867,0.0503579,0.0841433,15382,TF.4162.54.2,1.07498045947274,N,N,0.243080644444444,0.614249620941246,N
VCAM.1,Base,5e-04,0.00437957,0.00437957,0,-,-0.0662456,0.0494491,0.181094,418,VCAM1.2967.8.1,0.742095938476985,N,N,0.29427775,0.531242573162092,N
